Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,293.74738,51120628.32491,0,1.12076,2.30965,5.61919,83.41974,0,0,0,0,0,0,0,0,0,0.01355,0.03457,0.04815,0,0
0.0001,293.78756,51132660.91892,36864.25552,1.12076,2.30965,5.61919,83.40329,0.0,0.0,0.0,3094.37894,2899.688,3310.04688,1e-05,1e-05,1e-05,0.01355,0.03456,0.04814,2179589.27671,0.0
0.0002,293.82774,51144692.16975,36872.92949,1.12022,2.30919,5.6184,83.38683,5.38521,9.99201,17.84973,3093.3765,7175.06845,8703.07615,2e-05,2e-05,2e-05,0.01354,0.03456,0.04813,2180102.12281,0.0
0.0003,293.86791,51156722.07521,36881.60249,1.11968,2.30873,5.61761,83.37037,5.3868,9.99462,17.85393,3092.37452,7171.77423,8699.94515,2e-05,2e-05,2e-05,0.01353,0.03455,0.04813,2180614.91155,0.0
0.0004,293.90807,51168750.63312,36890.27451,1.11914,2.30827,5.61683,83.3539,5.38839,9.99723,17.85813,3091.373,7168.48227,8696.81564,3e-05,3e-05,3e-05,0.01352,0.03454,0.04812,2181127.64285,0.0
0.0005,293.94822,51180777.84129,36898.94557,1.1186,2.30781,5.61604,83.33743,5.38998,9.99984,17.86233,3090.37194,7165.19257,8693.68763,4e-05,4e-05,4e-05,0.01352,0.03453,0.04811,2181640.31662,0.0
0.0006,293.98836,51192803.69753,36907.61565,1.11806,2.30735,5.61526,83.32096,5.39158,10.00244,17.86653,3089.37134,7161.90512,8690.5611,5e-05,5e-05,5e-05,0.01351,0.03453,0.0481,2182152.93276,0.0
0.0007,294.0285,51204828.19966,36916.28475,1.11753,2.30689,5.61447,83.30448,5.39317,10.00505,17.87073,3088.3712,7158.61993,8687.43606,5e-05,5e-05,5e-05,0.0135,0.03452,0.0481,2182665.49118,0.0
0.0008,294.06862,51216851.34549,36924.95288,1.11699,2.30642,5.61368,83.288,5.39476,10.00766,17.87492,3087.37152,7155.33698,8684.3125,6e-05,6e-05,6e-05,0.01349,0.03451,0.04809,2183177.99179,0.0
0.0009,294.10874,51228873.13283,36933.62002,1.11645,2.30596,5.6129,83.27151,5.39635,10.01026,17.87912,3086.37229,7152.05628,8681.19044,7e-05,7e-05,7e-05,0.01349,0.0345,0.04808,2183690.43449,0.0
0.001,294.14885,51240893.5595,36942.28619,1.11591,2.3055,5.61211,83.25503,5.39794,10.01287,17.88332,3085.37352,7148.77782,8678.06985,8e-05,8e-05,8e-05,0.01348,0.0345,0.04807,2184202.81919,0.0
0.0011,294.18895,51252912.62332,36950.95137,1.11537,2.30504,5.61132,83.23853,5.39953,10.01548,17.88752,3084.37521,7145.5016,8674.95076,8e-05,8e-05,8e-05,0.01347,0.03449,0.04807,2184715.14579,0.0
0.0012,294.22904,51264930.32208,36959.61557,1.11483,2.30458,5.61053,83.22204,5.40112,10.01808,17.89171,3083.37735,7142.22763,8671.83314,9e-05,9e-05,9e-05,0.01346,0.03448,0.04806,2185227.41421,0.0
0.0013,294.26912,51276946.65361,36968.27878,1.11429,2.30412,5.60975,83.20554,5.40271,10.02069,17.89591,3082.37996,7138.95589,8668.71701,0.0001,0.0001,0.0001,0.01346,0.03447,0.04805,2185739.62435,0.0
0.0014,294.3092,51288961.61572,36976.94101,1.11375,2.30365,5.60896,83.18903,5.40431,10.02329,17.90011,3081.38301,7135.68638,8665.60235,0.00011,0.00011,0.00011,0.01345,0.03447,0.04804,2186251.77611,0.0
0.0015,294.34927,51300975.20622,36985.60224,1.11321,2.30319,5.60817,83.17252,5.4059,10.0259,17.9043,3080.38653,7132.41911,8662.48918,0.00011,0.00011,0.00011,0.01344,0.03446,0.04804,2186763.86941,0.0
0.0016,294.38932,51312987.42292,36994.26249,1.11266,2.30273,5.60738,83.15601,5.40749,10.0285,17.9085,3079.39049,7129.15407,8659.37748,0.00012,0.00012,0.00012,0.01343,0.03445,0.04803,2187275.90415,0.0
