Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,1000.71847,157417428.17233,0,2.32985,4.99702,0.85035,80.22277,0,0,0,0,0,0,0,0,0,0.02905,0.03818,0.02257,0,0
0.0001,1000.79602,157436865.61103,29036.16912,2.32985,4.99702,0.85035,80.20782,0.0,0.0,0.0,2160.90297,2526.46024,1337.96671,1e-05,1e-05,1e-05,0.02904,0.03817,0.02257,6108530.42438,0.0
0.0002,1000.87354,157456296.00946,29039.75268,2.32937,4.99626,0.85008,80.19287,4.87767,12.51971,15.23717,2160.13758,4452.72149,8993.7296,1e-05,1e-05,1e-05,0.02904,0.03816,0.02256,6109284.32137,0.0
0.0003,1000.95102,157475719.36489,29043.33494,2.32888,4.99549,0.84981,80.17792,4.87834,12.52141,15.23905,2159.37256,4451.35692,8989.74858,2e-05,2e-05,2e-05,0.02903,0.03816,0.02255,6110037.9451,0.0
0.0004,1001.02848,157495135.6746,29046.9159,2.32839,4.99473,0.84954,80.16296,4.879,12.5231,15.24093,2158.60792,4449.99289,8985.77004,3e-05,3e-05,3e-05,0.02902,0.03815,0.02255,6110791.29545,0.0
0.0005,1001.1059,157514544.93585,29050.49556,2.3279,4.99396,0.84927,80.14801,4.87967,12.52479,15.24281,2157.84365,4448.6294,8981.79396,3e-05,3e-05,3e-05,0.02902,0.03814,0.02254,6111544.37233,0.0
0.0006,1001.18329,157533947.14591,29054.07392,2.32742,4.9932,0.849,80.13305,4.88033,12.52648,15.24469,2157.07975,4447.26645,8977.82036,4e-05,4e-05,4e-05,0.02901,0.03814,0.02253,6112297.17562,0.0
0.0007,1001.26065,157553342.30205,29057.65098,2.32693,4.99243,0.84872,80.11809,4.881,12.52817,15.24657,2156.31623,4445.90404,8973.84922,5e-05,5e-05,5e-05,0.029,0.03813,0.02253,6113049.70522,0.0
0.0008,1001.33798,157572730.40155,29061.22674,2.32644,4.99167,0.84845,80.10313,4.88166,12.52986,15.24845,2155.55308,4444.54217,8969.88054,5e-05,5e-05,5e-05,0.029,0.03812,0.02252,6113801.96102,0.0
0.0009,1001.41528,157592111.44168,29064.8012,2.32595,4.9909,0.84818,80.08817,4.88232,12.53155,15.25033,2154.7903,4443.18083,8965.91433,6e-05,6e-05,6e-05,0.02899,0.03812,0.02251,6114553.94292,0.0
0.001,1001.49254,157611485.41971,29068.37435,2.32546,4.99014,0.84791,80.0732,4.88299,12.53324,15.2522,2154.0279,4441.82004,8961.95057,7e-05,7e-05,7e-05,0.02898,0.03811,0.02251,6115305.65081,0.0
0.0011,1001.56978,157630852.33292,29071.9462,2.32497,4.98937,0.84764,80.05823,4.88365,12.53493,15.25408,2153.26586,4440.45978,8957.98928,7e-05,7e-05,7e-05,0.02898,0.0381,0.0225,6116057.08459,0.0
0.0012,1001.64698,157650212.17858,29075.51675,2.32449,4.98861,0.84736,80.04327,4.88431,12.53662,15.25595,2152.5042,4439.10006,8954.03043,8e-05,8e-05,8e-05,0.02897,0.0381,0.0225,6116808.24415,0.0
0.0013,1001.72415,157669564.95397,29079.08599,2.324,4.98784,0.84709,80.0283,4.88498,12.53831,15.25783,2151.74292,4437.74087,8950.07404,9e-05,9e-05,9e-05,0.02896,0.03809,0.02249,6117559.12938,0.0
0.0014,1001.80129,157688910.65637,29082.65393,2.32351,4.98708,0.84682,80.01332,4.88564,12.54,15.2597,2150.982,4436.38223,8946.1201,9e-05,9e-05,9e-05,0.02896,0.03808,0.02248,6118309.74018,0.0
0.0015,1001.87839,157708249.28305,29086.22056,2.32302,4.98631,0.84655,79.99835,4.8863,12.54168,15.26157,2150.22145,4435.02411,8942.1686,0.0001,0.0001,0.0001,0.02895,0.03808,0.02248,6119060.07644,0.0
0.0016,1001.95547,157727580.83129,29089.78589,2.32253,4.98555,0.84628,79.98337,4.88696,12.54337,15.26345,2149.46128,4433.66654,8938.21955,0.00011,0.00011,0.00011,0.02894,0.03807,0.02247,6119810.13806,0.0
0.0017,1002.03251,157746905.29838,29093.34991,2.32204,4.98478,0.846,79.96839,4.88763,12.54506,15.26532,2148.70147,4432.3095,8934.27295,0.00011,0.00011,0.00011,0.02894,0.03806,0.02246,6120559.92494,0.0
0.0018,1002.10952,157766222.68159,29096.91263,2.32155,4.98402,0.84573,79.95342,4.88829,12.54674,15.26719,2147.94204,4430.953,8930.32878,0.00012,0.00012,0.00012,0.02893,0.03806,0.02246,6121309.43695,0.0
0.0019,1002.1865,157785532.9782,29100.47404,2.32106,4.98325,0.84546,79.93843,4.88895,12.54843,15.26906,2147.18297,4429.59703,8926.38706,0.00012,0.00012,0.00012,0.02893,0.03805,0.02245,6122058.67401,0.0
0.002,1002.26345,157804836.1855,29104.03414,2.32058,4.98248,0.84519,79.92345,4.88961,12.55011,15.27093,2146.42428,4428.24159,8922.44777,0.00013,0.00013,0.00013,0.02892,0.03804,0.02244,6122807.63601,0.0
0.0021,1002.34036,157824132.30077,29107.59293,2.32009,4.98172,0.84492,79.90846,4.89027,12.5518,15.2728,2145.66595,4426.88669,8918.51092,0.00014,0.00014,0.00014,0.02891,0.03804,0.02244,6123556.32284,0.0
0.0022,1002.41725,157843421.3213,29111.15042,2.3196,4.98095,0.84464,79.89348,4.89093,12.55348,15.27467,2144.908,4425.53233,8914.5765,0.00014,0.00014,0.00014,0.02891,0.03803,0.02243,6124304.73439,0.0
0.0023,1002.4941,157862703.24436,29114.70659,2.31911,4.98019,0.84437,79.87849,4.89159,12.55517,15.27653,2144.15041,4424.17849,8910.64451,0.00015,0.00015,0.00015,0.0289,0.03802,0.02242,6125052.87056,0.0
0.0024,1002.57092,157881978.06725,29118.26146,2.31862,4.97942,0.8441,79.8635,4.89225,12.55685,15.2784,2143.39319,4422.8252,8906.71494,0.00016,0.00016,0.00016,0.02889,0.03802,0.02242,6125800.73124,0.0
0.0025,1002.64771,157901245.78725,29121.81502,2.31813,4.97865,0.84383,79.84851,4.89292,12.55853,15.28027,2142.63634,4421.47243,8902.78781,0.00016,0.00016,0.00016,0.02889,0.03801,0.02241,6126548.31633,0.0
0.0026,1002.72447,157920506.40165,29125.36726,2.31764,4.97789,0.84355,79.83351,4.89358,12.56021,15.28213,2141.87985,4420.1202,8898.86309,0.00017,0.00017,0.00017,0.02888,0.038,0.0224,6127295.62573,0.0
0.0027,1002.80119,157939759.90773,29128.9182,2.31715,4.97712,0.84328,79.81852,4.89424,12.56189,15.284,2141.12374,4418.7685,8894.9408,0.00018,0.00018,0.00018,0.02887,0.038,0.0224,6128042.65933,0.0
0.0028,1002.87788,157959006.30279,29132.46782,2.31666,4.97635,0.84301,79.80352,4.89489,12.56358,15.28586,2140.36799,4417.41733,8891.02093,0.00018,0.00018,0.00018,0.02887,0.03799,0.02239,6128789.41701,0.0
0.0029,1002.95455,157978245.58412,29136.01613,2.31617,4.97558,0.84274,79.78852,4.89555,12.56526,15.28772,2139.61261,4416.06669,8887.10348,0.00019,0.00019,0.00019,0.02886,0.03799,0.02238,6129535.89869,0.0
0.003,1003.03118,157997477.74901,29139.56313,2.31568,4.97482,0.84247,79.77352,4.89621,12.56694,15.28959,2138.8576,4414.71659,8883.18844,0.0002,0.0002,0.0002,0.02885,0.03798,0.02238,6130282.10425,0.0
0.0031,1003.10777,158016702.79474,29143.10882,2.31519,4.97405,0.84219,79.75851,4.89687,12.56862,15.29145,2138.10295,4413.36701,8879.27581,0.0002,0.0002,0.0002,0.02885,0.03797,0.02237,6131028.03359,0.0
0.0032,1003.18434,158035920.71861,29146.65319,2.3147,4.97328,0.84192,79.74351,4.89753,12.5703,15.29331,2137.34867,4412.01797,8875.36559,0.00021,0.00021,0.00021,0.02884,0.03797,0.02236,6131773.6866,0.0
0.0033,1003.26087,158055131.51792,29150.19625,2.31421,4.97252,0.84165,79.7285,4.89819,12.57197,15.29517,2136.59476,4410.66946,8871.45779,0.00022,0.00022,0.00022,0.02883,0.03796,0.02236,6132519.06317,0.0
0.0034,1003.33738,158074335.18996,29153.73799,2.31372,4.97175,0.84138,79.71349,4.89885,12.57365,15.29703,2135.84121,4409.32148,8867.55239,0.00022,0.00022,0.00022,0.02883,0.03795,0.02235,6133264.16321,0.0
0.0035,1003.41385,158093531.73202,29157.27842,2.31323,4.97098,0.8411,79.69848,4.89951,12.57533,15.29889,2135.08802,4407.97402,8863.64939,0.00023,0.00023,0.00023,0.02882,0.03795,0.02234,6134008.98661,0.0
0.0036,1003.49028,158112721.14141,29160.81753,2.31274,4.97021,0.84083,79.68347,4.90016,12.57701,15.30075,2134.33521,4406.6271,8859.74879,0.00024,0.00024,0.00024,0.02881,0.03794,0.02234,6134753.53326,0.0
