Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,724.71961,72681327.17436,0,0.93508,2.32555,83.78069,0,0,0,0,0,0,0.01753,0.03633,0,0
0.0001,724.79538,72694324.24288,9393.78393,0.93508,2.32555,83.76946,0.0,0.0,3246.95671,1145.86105,0.0,0.0,0.01753,0.03632,2411544.16616,0.0
0.0002,724.87113,72707320.8182,9395.46338,0.93493,2.32527,83.75823,1.56678,4.37156,3245.79714,1974.30805,1e-05,1e-05,0.01752,0.03632,2411975.31145,0.0
0.0003,724.94687,72720316.89929,9397.14278,0.93477,2.32499,83.74699,1.56726,4.37235,3244.63831,1974.05038,1e-05,1e-05,0.01752,0.03631,2412406.44034,0.0
0.0004,725.02261,72733312.48511,9398.82211,0.93461,2.32471,83.73575,1.56774,4.37313,3243.48022,1973.79271,2e-05,2e-05,0.01752,0.03631,2412837.55281,0.0
0.0005,725.09834,72746307.57464,9400.50137,0.93446,2.32443,83.72451,1.56823,4.37391,3242.32287,1973.53505,2e-05,2e-05,0.01751,0.03631,2413268.64881,0.0
0.0006,725.17406,72759302.16685,9402.18057,0.9343,2.32415,83.71327,1.56871,4.37469,3241.16625,1973.2774,2e-05,2e-05,0.01751,0.0363,2413699.72831,0.0
0.0007,725.24977,72772296.26069,9403.85971,0.93414,2.32387,83.70202,1.56919,4.37547,3240.01037,1973.01976,3e-05,3e-05,0.0175,0.0363,2414130.79128,0.0
0.0008,725.32547,72785289.85515,9405.53878,0.93398,2.32359,83.69078,1.56968,4.37625,3238.85523,1972.76212,3e-05,3e-05,0.0175,0.03629,2414561.83768,0.0
0.0009,725.40117,72798282.94918,9407.21779,0.93383,2.32331,83.67953,1.57016,4.37704,3237.70082,1972.5045,4e-05,4e-05,0.0175,0.03629,2414992.86748,0.0
0.001,725.47686,72811275.54175,9408.89673,0.93367,2.32303,83.66828,1.57064,4.37782,3236.54715,1972.24688,4e-05,4e-05,0.01749,0.03628,2415423.88064,0.0
0.0011,725.55253,72824267.63184,9410.57561,0.93351,2.32275,83.65702,1.57112,4.3786,3235.39421,1971.98927,5e-05,5e-05,0.01749,0.03628,2415854.87714,0.0
