Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,813.56702,5862930208.68075,0,0.86499,0.43978,1.37896,68.04447,0,0,0,0,0,0,0,0,0,0.01669,0.00913,0.02357,0,0
0.0001,816.96965,5909018911.57731,865223.29587,0.86499,0.43978,1.37896,67.01144,0.0,0.0,0.0,67380.57522,86323.57544,82988.31788,0.00027,0.00027,0.00027,0.01642,0.00886,0.0233,116985775.862,0.0
0.0002,820.30414,5954348223.29307,871860.60353,0.8514,0.42774,1.36385,65.97034,135.96135,256.28415,407.43613,66439.70781,185841.86229,245163.34692,0.00054,0.00054,0.00054,0.01615,0.00858,0.02303,117883198.05335,0.0
0.0003,823.56938,5998892774.31418,878383.00324,0.83771,0.41559,1.34862,64.92131,136.86023,258.37045,410.61835,65511.12359,182658.91569,241330.11902,0.00081,0.00081,0.00081,0.01588,0.00831,0.02275,118765083.6827,0.0
0.0004,826.76425,6042627442.02901,884786.81645,0.82394,0.40332,1.33329,63.86448,137.73964,260.42271,413.74744,64594.57628,179539.80539,237560.12849,0.00109,0.00109,0.00109,0.0156,0.00804,0.02248,119630935.37673,0.0
0.0005,829.88767,6085527375.63314,891068.40439,0.81008,0.39094,1.31785,62.80001,138.59904,262.43977,416.82165,63689.82897,176482.53332,233851.73937,0.00136,0.00136,0.00136,0.01533,0.00777,0.02221,120480261.14336,0.0
0.0006,832.93857,6127568021.00735,897224.17175,0.79613,0.37844,1.30231,61.72803,139.43788,264.42048,419.83923,62796.65375,173485.19166,230203.38276,0.00164,0.00164,0.00164,0.01506,0.00749,0.02193,121312574.86421,0.0
0.0007,835.91589,6168725145.5318,903250.57029,0.78211,0.36583,1.28667,60.64869,140.25565,266.36371,422.79847,61914.83125,170545.95808,226613.55365,0.00191,0.00191,0.00191,0.01478,0.00721,0.02166,122127396.78588,0.0
0.0008,838.81862,6208974862.7996,909144.10245,0.768,0.35311,1.27092,59.56217,141.05182,268.26833,425.69767,61044.15036,167663.09116,223080.80791,0.00219,0.00219,0.00219,0.0145,0.00694,0.02138,122924254.00927,0.0
0.0009,841.64573,6248293657.19259,914901.32499,0.75382,0.34028,1.25508,58.46861,141.82589,270.13324,428.53516,60184.40783,164834.92619,219603.75936,0.00246,0.00246,0.00246,0.01423,0.00666,0.0211,123702680.97605,0.0
