Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,45.78785,4906257.78236,0,1.68247,90.57945,0,0,0,0.03726,0,0
0.0001,45.79091,4906816.25518,4918.25072,1.68247,90.56797,0.0,1821.08286,0.0,0.03726,87171.22138,0.0
0.0002,45.79397,4907374.55827,4918.81032,1.68225,90.55649,2.13285,1820.35019,1e-05,0.03725,87181.13982,0.0
0.0003,45.79703,4907932.69154,4919.36976,1.68204,90.545,2.1331,1819.61795,1e-05,0.03725,87191.05524,0.0
0.0004,45.80008,4908490.65494,4919.92902,1.68183,90.53352,2.13334,1818.88614,2e-05,0.03724,87200.96765,0.0
0.0005,45.80314,4909048.4484,4920.48812,1.68161,90.52203,2.13358,1818.15476,2e-05,0.03724,87210.87704,0.0
0.0006,45.80619,4909606.07183,4921.04704,1.6814,90.51054,2.13382,1817.4238,3e-05,0.03723,87220.7834,0.0
0.0007,45.80925,4910163.52519,4921.60579,1.68119,90.49905,2.13407,1816.69328,3e-05,0.03723,87230.68675,0.0
0.0008,45.8123,4910720.80838,4922.16437,1.68097,90.48756,2.13431,1815.96318,4e-05,0.03722,87240.58707,0.0
0.0009,45.81535,4911277.92136,4922.72278,1.68076,90.47606,2.13455,1815.23351,4e-05,0.03722,87250.48436,0.0
0.001,45.8184,4911834.86404,4923.28102,1.68054,90.46457,2.13479,1814.50427,5e-05,0.03721,87260.37864,0.0
0.0011,45.82145,4912391.63636,4923.83909,1.68033,90.45307,2.13504,1813.77546,5e-05,0.03721,87270.26988,0.0
0.0012,45.82449,4912948.23825,4924.39699,1.68012,90.44158,2.13528,1813.04707,6e-05,0.03721,87280.1581,0.0
0.0013,45.82754,4913504.66963,4924.95472,1.6799,90.43008,2.13552,1812.31911,6e-05,0.0372,87290.04329,0.0
0.0014,45.83059,4914060.93046,4925.51228,1.67969,90.41858,2.13576,1811.59158,7e-05,0.0372,87299.92545,0.0
0.0015,45.83363,4914617.02064,4926.06966,1.67948,90.40708,2.136,1810.86446,7e-05,0.03719,87309.80457,0.0
0.0016,45.83667,4915172.94011,4926.62688,1.67926,90.39557,2.13625,1810.13778,7e-05,0.03719,87319.68067,0.0
0.0017,45.83972,4915728.68881,4927.18392,1.67905,90.38407,2.13649,1809.41152,8e-05,0.03718,87329.55373,0.0
0.0018,45.84276,4916284.26667,4927.7408,1.67884,90.37257,2.13673,1808.68568,8e-05,0.03718,87339.42375,0.0
0.0019,45.8458,4916839.67361,4928.2975,1.67862,90.36106,2.13697,1807.96027,9e-05,0.03717,87349.29074,0.0
0.002,45.84884,4917394.90957,4928.85403,1.67841,90.34955,2.13721,1807.23528,9e-05,0.03717,87359.15469,0.0
0.0021,45.85187,4917949.97447,4929.41038,1.6782,90.33804,2.13745,1806.51072,0.0001,0.03716,87369.0156,0.0
0.0022,45.85491,4918504.86826,4929.96657,1.67798,90.32653,2.13769,1805.78658,0.0001,0.03716,87378.87348,0.0
0.0023,45.85795,4919059.59086,4930.52259,1.67777,90.31502,2.13794,1805.06286,0.00011,0.03715,87388.72831,0.0
0.0024,45.86098,4919614.1422,4931.07843,1.67755,90.30351,2.13818,1804.33956,0.00011,0.03715,87398.5801,0.0
0.0025,45.86401,4920168.52221,4931.6341,1.67734,90.292,2.13842,1803.61668,0.00012,0.03714,87408.42884,0.0
0.0026,45.86705,4920722.73082,4932.1896,1.67713,90.28048,2.13866,1802.89423,0.00012,0.03714,87418.27454,0.0
0.0027,45.87008,4921276.76797,4932.74493,1.67691,90.26896,2.1389,1802.1722,0.00013,0.03714,87428.1172,0.0
0.0028,45.87311,4921830.63359,4933.30009,1.6767,90.25745,2.13914,1801.45058,0.00013,0.03713,87437.9568,0.0
0.0029,45.87614,4922384.3276,4933.85507,1.67648,90.24593,2.13938,1800.72939,0.00013,0.03713,87447.79336,0.0
0.003,45.87917,4922937.84995,4934.40988,1.67627,90.23441,2.13962,1800.00862,0.00014,0.03712,87457.62687,0.0
0.0031,45.88219,4923491.20055,4934.96452,1.67606,90.22288,2.13986,1799.28826,0.00014,0.03712,87467.45733,0.0
0.0032,45.88522,4924044.37934,4935.51899,1.67584,90.21136,2.1401,1798.56833,0.00015,0.03711,87477.28473,0.0
0.0033,45.88824,4924597.38626,4936.07329,1.67563,90.19984,2.14034,1797.84882,0.00015,0.03711,87487.10908,0.0
0.0034,45.89127,4925150.22123,4936.62741,1.67541,90.18831,2.14058,1797.12972,0.00016,0.0371,87496.93038,0.0
0.0035,45.89429,4925702.88418,4937.18136,1.6752,90.17678,2.14083,1796.41104,0.00016,0.0371,87506.74862,0.0
0.0036,45.89731,4926255.37505,4937.73514,1.67499,90.16526,2.14107,1795.69278,0.00017,0.03709,87516.56381,0.0
0.0037,45.90033,4926807.69377,4938.28875,1.67477,90.15373,2.14131,1794.97494,0.00017,0.03709,87526.37593,0.0
0.0038,45.90335,4927359.84027,4938.84218,1.67456,90.1422,2.14155,1794.25751,0.00018,0.03708,87536.185,0.0
0.0039,45.90637,4927911.81448,4939.39544,1.67434,90.13066,2.14179,1793.5405,0.00018,0.03708,87545.991,0.0
0.004,45.90939,4928463.61633,4939.94853,1.67413,90.11913,2.14203,1792.82391,0.00019,0.03708,87555.79395,0.0
0.0041,45.9124,4929015.24575,4940.50144,1.67392,90.1076,2.14227,1792.10773,0.00019,0.03707,87565.59383,0.0
