Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,636.8158,198397148.74647,0,5.32911,89.20452,0,0,0,0.04215,0,0
0.0001,636.9864,198482844.44409,24839.05975,5.32911,89.18189,0.0,8125.47625,1e-05,0.04214,4933365.50704,0.0
0.0002,637.15696,198568531.24382,24849.783,5.32776,89.15925,13.51819,8119.45628,3e-05,0.04213,4935495.28457,0.0
0.0003,637.32747,198654209.1095,24860.50512,5.3264,89.1366,13.52403,8113.44336,4e-05,0.04212,4937624.84004,0.0
0.0004,637.49794,198739878.00495,24871.22612,5.32505,89.11394,13.52987,8107.43749,5e-05,0.0421,4939754.17255,0.0
0.0005,637.66836,198825537.894,24881.946,5.3237,89.09128,13.53571,8101.43865,7e-05,0.04209,4941883.28121,0.0
0.0006,637.83874,198911188.74047,24892.66474,5.32234,89.0686,13.54154,8095.44683,8e-05,0.04208,4944012.1651,0.0
0.0007,638.00907,198996830.50815,24903.38234,5.32099,89.04591,13.54738,8089.46202,9e-05,0.04206,4946140.82334,0.0
0.0008,638.17935,199082463.16087,24914.09881,5.31963,89.02322,13.55321,8083.4842,0.00011,0.04205,4948269.25503,0.0
0.0009,638.34959,199168086.66242,24924.81413,5.31828,89.00051,13.55905,8077.51336,0.00012,0.04204,4950397.45926,0.0
0.001,638.51978,199253700.97658,24935.5283,5.31692,88.97779,13.56488,8071.54949,0.00013,0.04202,4952525.43513,0.0
0.0011,638.68993,199339306.06717,24946.24132,5.31556,88.95507,13.57072,8065.59257,0.00014,0.04201,4954653.18175,0.0
0.0012,638.86003,199424901.89794,24956.95317,5.31421,88.93233,13.57655,8059.6426,0.00016,0.042,4956780.69822,0.0
0.0013,639.03008,199510488.4327,24967.66387,5.31285,88.90959,13.58238,8053.69956,0.00017,0.04198,4958907.98362,0.0
0.0014,639.20009,199596065.6352,24978.3734,5.31149,88.88683,13.58821,8047.76344,0.00018,0.04197,4961035.03707,0.0
0.0015,639.37005,199681633.46922,24989.08175,5.31013,88.86407,13.59404,8041.83422,0.0002,0.04196,4963161.85767,0.0
0.0016,639.53997,199767191.89852,24999.78893,5.30877,88.84129,13.59987,8035.91189,0.00021,0.04194,4965288.4445,0.0
0.0017,639.70983,199852740.88686,25010.49492,5.30741,88.81851,13.6057,8029.99645,0.00022,0.04193,4967414.79668,0.0
0.0018,639.87966,199938280.39799,25021.19973,5.30605,88.79571,13.61153,8024.08788,0.00024,0.04192,4969540.91329,0.0
0.0019,640.04943,200023810.39565,25031.90335,5.30469,88.77291,13.61736,8018.18616,0.00025,0.0419,4971666.79345,0.0
