Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,1228.05477,7255269792.66409,0,6.70533,1.5753,2.32753,82.38219,0,0,0,0,0,0,0,0,0,0.04494,0.02469,0.0304,0,0
0.0001,1230.82698,7284792501.64413,1269397.8522,6.70533,1.5753,2.32753,81.94455,0.0,0.0,0.0,84571.08305,47491.914,89015.71421,0.0002,0.0002,0.0002,0.04474,0.02449,0.0302,117003684.46969,0.0
0.0002,1233.56438,7313996744.768,1274486.7828,6.67686,1.56155,2.3134,81.50514,284.69873,422.19548,563.53471,83834.81849,164037.61644,406919.70235,0.00041,0.00041,0.00041,0.04453,0.02428,0.02999,117472744.37042,0.0
0.0003,1236.26669,7342877536.28495,1279519.35095,6.64827,1.54776,2.29919,81.06397,285.84571,423.71649,565.81838,83106.43945,162292.36622,400618.39959,0.00062,0.00062,0.00062,0.04433,0.02408,0.02979,117936609.19802,0.0
0.0004,1238.93362,7371429928.68581,1284494.69453,6.61957,1.53394,2.2849,80.62107,286.98328,425.2194,568.07724,82385.81319,160569.92114,394454.76529,0.00082,0.00082,0.00082,0.04412,0.02387,0.02958,118395199.48876,0.0
0.0005,1241.56491,7399649014.15792,1289411.95833,6.59076,1.52008,2.27054,80.17646,288.11126,426.70397,570.3109,81672.81017,158869.83843,388424.51434,0.00103,0.00103,0.00103,0.04392,0.02367,0.02937,118848436.41649,0.0
0.0006,1244.16029,7427529926.03442,1294270.29433,6.56184,1.50618,2.2561,79.73015,289.2295,428.16992,572.51897,80967.30396,157191.68714,382523.53274,0.00123,0.00123,0.00123,0.04371,0.02346,0.02917,119296241.81592,0.0
0.0007,1246.71949,7455067840.23711,1299068.86191,6.53281,1.49225,2.2416,79.28217,290.33785,429.61702,574.70108,80269.17115,155535.04768,376747.86932,0.00144,0.00144,0.00144,0.0435,0.02325,0.02896,119738538.20577,0.0
0.0008,1249.24225,7482257976.71254,1303806.82814,6.50366,1.47829,2.22701,78.83253,291.43614,431.04501,576.85684,79578.29125,153899.51151,371093.72811,0.00165,0.00165,0.00165,0.0433,0.02305,0.02875,120175248.8119,0.0
0.0009,1251.72831,7509095600.86042,1308483.36799,6.47441,1.4643,2.21236,78.38126,292.52421,432.45364,578.98589,78894.54664,152284.68077,365557.46092,0.00186,0.00186,0.00186,0.04309,0.02284,0.02854,120606297.59016,0.0
0.001,1254.17741,7535576024.95386,1313097.66462,6.44505,1.45028,2.19764,77.92838,293.60191,433.84266,581.08786,78217.82245,150690.16794,360135.56051,0.00206,0.00206,0.00206,0.04288,0.02263,0.02834,121031609.24928,0.0
0.0011,1256.58929,7561694609.55099,1317648.90958,6.41558,1.43622,2.18284,77.47391,294.66909,435.21185,583.16238,77548.00653,149115.59555,354824.65404,0.00227,0.00227,0.00227,0.04267,0.02242,0.02813,121451109.27352,0.0
0.0012,1258.96371,7587446764.89689,1322136.30311,6.38601,1.42214,2.16798,77.01788,295.72559,436.56094,585.20908,76884.98932,147560.59584,349621.49683,0.00248,0.00248,0.00248,0.04246,0.02221,0.02792,121864723.94515,0.0
0.0013,1261.30043,7612827952.31577,1326559.05431,6.35633,1.40803,2.15304,76.56029,296.77126,437.88972,587.22761,76228.66381,146024.81045,344522.96659,0.00269,0.00269,0.00269,0.04225,0.022,0.02771,122272380.36688,0.0
0.0014,1263.59919,7637833685.5923,1330916.38145,6.32655,1.39389,2.13804,76.10119,297.80595,439.19793,589.21761,75578.92547,144507.89018,339526.05782,0.0029,0.0029,0.0029,0.04204,0.0218,0.0275,122674006.48396,0.0
0.0015,1265.85976,7662459532.34184,1335207.51219,6.29667,1.37972,2.12297,75.64058,298.8295,440.48536,591.17874,74935.67217,143009.49464,334627.87661,0.00311,0.00311,0.00311,0.04183,0.02159,0.02729,123069531.10628,0.0
0.0016,1268.08191,7686701115.36869,1339431.68376,6.26669,1.36553,2.10784,75.1785,299.84178,441.75176,593.11064,74298.8041,141529.29204,329825.63561,0.00332,0.00332,0.00332,0.04163,0.02138,0.02708,123458883.93011,0.0
0.0017,1270.26539,7710554114.01192,1343588.1433,6.2366,1.35132,2.09263,74.71496,300.84262,442.99692,595.01297,73668.22376,140066.95891,325116.64936,0.00353,0.00353,0.00353,0.04142,0.02117,0.02687,123841995.55975,0.0
0.0018,1272.40998,7734014265.47813,1347676.14798,6.20642,1.33708,2.07737,74.25,301.83189,444.22062,596.88539,73043.83582,138622.17985,320498.32979,0.00374,0.00374,0.00374,0.0412,0.02096,0.02666,124218797.52894,0.0
0.0019,1274.51546,7757077366.16052,1351694.96533,6.17614,1.32282,2.06204,73.78362,302.80944,445.42262,598.72758,72425.54712,137194.64727,315968.18199,0.00395,0.00395,0.00395,0.04099,0.02075,0.02645,124589222.32204,0.0
0.002,1276.58161,7779739272.94361,1355643.87338,6.14576,1.30853,2.04664,73.31586,303.77514,446.60273,600.53919,71813.26661,135784.06119,311523.80018,0.00416,0.00416,0.00416,0.04078,0.02053,0.02624,124953203.39495,0.0
0.0021,1278.6082,7801995904.49327,1359522.16097,6.11529,1.29423,2.03119,72.84675,304.72883,447.76071,602.31991,71206.90524,134390.12898,307162.86387,0.00437,0.00437,0.00437,0.04057,0.02032,0.02603,125310675.19591,0.0
0.0022,1280.59502,7823843242.53106,1363329.12787,6.08472,1.27991,2.01567,72.3763,305.67037,448.89637,604.06942,70606.37597,133012.56517,302883.13424,0.00458,0.00458,0.00458,0.04036,0.02011,0.02582,125661573.1859,0.0
0.0023,1282.54186,7845277333.09274,1367064.08512,6.05406,1.26557,2.00009,71.90454,306.59964,450.00949,605.78739,70011.59367,131651.09123,298682.45067,0.00479,0.00479,0.00479,0.04015,0.0199,0.02561,126005833.85886,0.0
0.0024,1284.44852,7866294287.76999,1370726.35513,6.02331,1.25121,1.98445,71.43149,307.51649,451.09987,607.47353,69422.47509,130305.43536,294558.72748,0.00501,0.00501,0.00501,0.03994,0.01969,0.02539,126343394.76166,0.0
0.0025,1286.3148,7886890284.93506,1374315.27198,5.99247,1.23683,1.96876,70.95719,308.42079,452.16732,609.12752,68838.93881,128975.33229,290509.95076,0.00522,0.00522,0.00522,0.03972,0.01948,0.02518,126674194.51376,0.0
0.0026,1288.14049,7907061570.94759,1377830.18159,5.96153,1.22244,1.95301,70.48165,309.3124,453.21163,610.74906,68260.90519,127660.52311,286534.17546,0.00543,0.00543,0.00543,0.03951,0.01926,0.02497,126998172.82658,0.0
0.0027,1289.9254,7926804461.34312,1381270.44192,5.93052,1.20804,1.93719,70.00491,310.1912,454.23262,612.33787,67688.29631,126360.75508,282629.52249,0.00564,0.00564,0.00564,0.0393,0.01905,0.02476,127315270.52262,0.0
0.0028,1291.66935,7946115342.00276,1384635.4232,5.89941,1.19362,1.92133,69.52698,311.05705,455.23009,613.89364,67121.03594,125075.78143,278794.1761,0.00586,0.00586,0.00586,0.03909,0.01884,0.02454,127625429.55419,0.0
0.0029,1293.37213,7964990670.30339,1387924.50813,5.86822,1.17919,1.90541,69.04789,311.90983,456.20386,615.4161,66559.0495,123805.36121,275026.38125,0.00607,0.00607,0.00607,0.03887,0.01862,0.02433,127928593.02196,0.0
0.003,1295.03359,7983426976.24799,1391137.09204,5.83694,1.16475,1.88943,68.56768,312.74941,457.15375,616.90496,66002.264,122549.25914,271324.44118,0.00628,0.00628,0.00628,0.03866,0.01841,0.02412,128224705.19304,0.0
0.0031,1296.65352,8001420863.57531,1394272.58312,5.80559,1.1503,1.8734,68.08636,313.57567,458.07958,618.35995,65450.608,121307.2454,267686.71513,0.0065,0.0065,0.0065,0.03845,0.0182,0.0239,128513711.51885,0.0
0.0032,1298.23177,8018969010.84875,1397330.4026,5.77415,1.13584,1.85732,67.60397,314.38848,458.98118,619.78082,64904.01158,120079.09551,264111.61604,0.00671,0.00671,0.00671,0.03823,0.01798,0.02369,128795558.65261,0.0
0.0033,1299.76816,8036068172.52356,1400309.98495,5.74263,1.12138,1.84119,67.12052,315.18773,459.85838,621.16728,64362.4063,118864.5902,260597.60848,0.00693,0.00693,0.00693,0.03802,0.01777,0.02347,129070194.46644,0.0
0.0034,1301.26253,8052715179.99203,1403210.77801,5.71103,1.1069,1.82501,66.63606,315.9733,460.71101,622.51909,63825.72517,117663.5152,257143.20661,0.00714,0.00714,0.00714,0.0378,0.01755,0.02326,129337568.0682,0.0
0.0035,1302.71471,8068906942.60623,1406032.24323,5.67936,1.09242,1.80878,66.15059,316.74506,461.53892,623.836,63293.90258,116475.66115,253746.97228,0.00735,0.00735,0.00735,0.03759,0.01734,0.02305,129597629.81786,0.0
0.0036,1304.12456,8084640448.67759,1408773.85581,5.64761,1.07794,1.7925,65.66416,317.50292,462.34194,625.11776,62766.87429,115300.82347,250407.51313,0.00757,0.00757,0.00757,0.03737,0.01713,0.02283,129850331.34362,0.0
0.0037,1305.49191,8099912766.4532,1411435.1049,5.61578,1.06345,1.77618,65.17679,318.24675,463.11992,626.36414,62244.5774,114138.80219,247123.48087,0.00778,0.00778,0.00778,0.03716,0.01691,0.02262,130095625.55752,0.0
0.0038,1306.81662,8114721045.06793,1414015.49371,5.58388,1.04896,1.75981,64.68851,318.97645,463.87271,627.57489,61726.9503,112989.40183,243893.5696,0.008,0.008,0.008,0.03694,0.0167,0.0224,130333466.6708,0.0
0.0039,1308.09854,8129062515.47229,1416514.53973,5.55191,1.03447,1.7434,64.19934,319.69191,464.60018,628.74981,61213.93265,111852.43131,240716.5142,0.00821,0.00821,0.00821,0.03673,0.01648,0.02219,130563810.20874,0.0
0.004,1309.33755,8142934491.33534,1418931.77487,5.51988,1.01998,1.72694,63.70932,320.39302,465.30217,629.88866,60705.46533,110727.70379,237591.08876,0.00843,0.00843,0.00843,0.03651,0.01626,0.02197,130786613.02522,0.0
