Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,750.46544,17083094646.15841,0,2.48454,1.7384,1.24343,80.24119,0,0,0,0,0,0,0,0,0,0.03216,0.02491,0.01789,0,0
0.0001,764.29924,17701980511.31237,3303784.85545,2.48454,1.7384,1.24343,77.78139,0.0,0.0,0.0,261245.81936,679017.56904,300354.11363,0.00087,0.00087,0.00087,0.03129,0.02404,0.01702,232761597.74876,0.0
0.0002,777.71768,18312521158.71223,3417732.27185,2.41595,1.69438,1.18846,75.23358,685.89173,1126.07322,1675.71883,251703.98747,1723643.44336,925846.89582,0.00176,0.00176,0.00176,0.0304,0.02315,0.01613,240789536.57112,0.0
0.0003,790.68001,18911873507.27226,3529591.57545,2.34567,1.64791,1.13165,72.59906,702.8091,1167.50732,1735.67424,242422.77933,1582007.3914,891212.93585,0.00266,0.00266,0.00266,0.0295,0.02225,0.01523,248670361.5543,0.0
0.0004,803.14582,19497125187.51106,3638819.22015,2.27376,1.59898,1.07301,69.87952,719.09596,1208.41515,1794.74815,233391.30656,1457325.25748,857754.64931,0.00358,0.00358,0.00358,0.02858,0.02133,0.01432,256365778.23891,0.0
0.0005,815.07518,20065317533.19187,3744863.01934,2.2003,1.54758,1.01261,67.0771,734.66119,1248.60885,1852.66242,224599.97623,1346777.25068,825396.68527,0.00451,0.00451,0.00451,0.02765,0.0204,0.01339,263836883.41411,0.0
0.0006,826.42894,20613470497.26085,3847166.79603,2.12535,1.49374,0.95049,64.19432,749.41348,1287.89603,1909.13269,216040.36543,1248120.00531,794072.92951,0.00545,0.00545,0.00545,0.02671,0.01946,0.01244,271044492.73477,0.0
0.0007,837.16899,21138609225.74886,3945175.34242,2.04903,1.43745,0.88671,61.23416,763.26217,1326.08123,1963.87075,207705.10494,1159550.1539,763725.42531,0.00641,0.00641,0.00641,0.02575,0.01851,0.01149,277949490.13913,0.0
0.0008,847.25843,21637791973.21533,4038339.62989,1.97142,1.37877,0.82134,58.2,776.11806,1362.96763,2016.58694,199587.77081,1079604.30111,734303.42334,0.00737,0.00737,0.00737,0.02479,0.01754,0.01052,284513194.90621,0.0
0.0009,856.66188,22108138997.01025,4126122.20162,1.89263,1.31772,0.75448,55.09567,787.89437,1398.35874,2066.99282,191682.78318,1007084.66939,705762.54097,0.00835,0.00835,0.00835,0.02381,0.01656,0.00954,290697741.58362,0.0
0.001,865.3457,22546862026.68376,4208002.67258,1.81278,1.25437,0.68621,51.92537,798.5076,1432.06027,2114.80385,183985.31152,941003.12529,678064.01495,0.00934,0.00934,0.00934,0.02282,0.01557,0.00855,296466467.47792,0.0
0.0011,873.27821,22951293870.8059,4283483.25515,1.73199,1.18877,0.61662,48.69371,807.87849,1463.88202,2159.74227,176491.1858,880538.54987,651174.03413,0.01034,0.01034,0.01034,0.02182,0.01457,0.00755,301784301.95176,0.0
0.0012,880.42994,23318917697.68566,4352094.22391,1.65039,1.121,0.54583,45.40569,815.93291,1493.63984,2201.53996,169196.81317,825004.02125,625063.14109,0.01135,0.01135,0.01135,0.02082,0.01357,0.00655,306618151.4332,0.0
0.0013,886.77384,23647395510.23794,4413399.22996,1.56813,1.05114,0.47395,42.06663,822.60277,1521.15751,2239.94127,162099.09965,773821.29796,599705.69379,0.01236,0.01236,0.01236,0.0198,0.01255,0.00553,310937273.8289,0.0
0.0014,892.28548,23934595329.54962,4467000.37436,1.48535,0.9793,0.40111,38.68221,827.8269,1546.26873,2274.70591,155195.3767,726500.79436,575079.37937,0.01338,0.01338,0.01338,0.01878,0.01153,0.00451,314713635.95818,0.0
0.0015,896.94324,24178616607.26219,4512542.95087,1.4022,0.90557,0.32743,35.25838,831.5518,1568.81893,2305.61164,148483.33247,682625.72993,551164.77406,0.01441,0.01441,0.01441,0.01775,0.0105,0.00348,317922247.69791,0.0
0.0016,900.72847,24377813404.11366,4549719.77186,1.31882,0.83008,0.25305,31.80137,833.73245,1588.66707,2332.45688,141960.94738,641839.48089,527944.944,0.01544,0.01544,0.01544,0.01672,0.00947,0.00245,320541466.7549,0.0
0.0017,903.62567,24530814900.89046,4578274.99638,1.23539,0.75294,0.17811,28.31762,834.33293,1605.68728,2355.06316,135626.4342,603835.41103,505405.08256,0.01648,0.01648,0.01648,0.01568,0.00843,0.00141,322553268.36235,0.0
0.0018,905.62257,24636542848.27727,4598007.38684,1.15206,0.6743,0.10276,24.81376,833.32701,1619.77037,2373.27727,129478.18224,568348.63798,483532.18074,0.01752,0.01752,0.01752,0.01464,0.00739,0.00037,323943474.72625,0.0
0.0019,620.4801,11793201452.94085,2201007.97945,1.06899,0.59428,0.02715,21.29658,830.69862,1630.82517,2386.97318,123514.70598,535149.32246,462314.72764,0.01856,0.01856,0.01856,0.0136,0.00635,-0.00067,155067644.0416,0.0
0.002,621.10593,11816387467.58745,2205335.26949,0.98634,0.51305,0,19.61319,826.44215,1638.77965,1638.77965,83462.37072,437587.07408,0,0.01929,0.01929,0.01856,0.01287,0.00562,0,155372514.66391,0.0
0.0021,621.43439,11828565096.55479,2207608.02458,0.929,0.45571,0,17.92689,573.41703,1146.79968,1146.79968,80727.13028,343646.84962,0,0.02002,0.02002,0.01856,0.01214,0.00489,0,155532637.10746,0.0
0.0022,621.46467,11829688066.09367,2207817.60846,0.87197,0.39787,0,16.23925,570.36181,1148.77888,1148.77888,78050.55969,329699.28375,0,0.02075,0.02075,0.01856,0.01141,0.00416,0,155547402.9233,0.0
0.0023,621.19651,11819745249.84611,2205961.94458,0.81529,0.33958,0,14.55187,566.76395,1149.68684,1149.68684,75432.46061,316336.171,0,0.02148,0.02148,0.01856,0.01068,0.00343,0,155416665.81202,0.0
