Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,75.47295,10850060.17817,0,2.8882,88.5396,0,0,0,0.03825,0,0
0.0001,75.47801,10851322.47496,7452.80855,2.8882,88.52981,0.0,2036.44319,0.0,0.03824,972621.964,0.0
0.0002,75.48306,10852584.54072,7453.67535,2.88788,88.52001,3.19629,2035.82795,1e-05,0.03824,972735.08504,0.0
0.0003,75.48812,10853846.37536,7454.54199,2.88756,88.5102,3.19666,2035.21298,1e-05,0.03823,972848.18537,0.0
0.0004,75.49317,10855107.97876,7455.40847,2.88724,88.5004,3.19703,2034.59828,2e-05,0.03823,972961.26496,0.0
0.0005,75.49822,10856369.35081,7456.2748,2.88692,88.4906,3.1974,2033.98384,2e-05,0.03822,973074.32382,0.0
0.0006,75.50327,10857630.49138,7457.14096,2.8866,88.4808,3.19778,2033.36968,3e-05,0.03822,973187.36194,0.0
0.0007,75.50832,10858891.40038,7458.00697,2.88628,88.47099,3.19815,2032.75578,3e-05,0.03821,973300.37929,0.0
0.0008,75.51337,10860152.07769,7458.87282,2.88596,88.46118,3.19852,2032.14215,4e-05,0.03821,973413.37588,0.0
0.0009,75.51842,10861412.52319,7459.7385,2.88564,88.45138,3.19889,2031.52879,4e-05,0.03821,973526.3517,0.0
0.001,75.52347,10862672.73677,7460.60403,2.88532,88.44157,3.19926,2030.91569,4e-05,0.0382,973639.30672,0.0
0.0011,75.52851,10863932.71832,7461.4694,2.885,88.43176,3.19963,2030.30286,5e-05,0.0382,973752.24095,0.0
0.0012,75.53356,10865192.46773,7462.33461,2.88468,88.42195,3.2,2029.6903,5e-05,0.03819,973865.15437,0.0
0.0013,75.5386,10866451.98488,7463.19966,2.88436,88.41214,3.20038,2029.07801,6e-05,0.03819,973978.04698,0.0
0.0014,75.54364,10867711.26967,7464.06455,2.88404,88.40232,3.20075,2028.46598,6e-05,0.03818,974090.91875,0.0
0.0015,75.54868,10868970.32198,7464.92928,2.88372,88.39251,3.20112,2027.85422,7e-05,0.03818,974203.76969,0.0
0.0016,75.55372,10870229.14169,7465.79385,2.8834,88.38269,3.20149,2027.24272,7e-05,0.03817,974316.59978,0.0
0.0017,75.55876,10871487.7287,7466.65827,2.88308,88.37288,3.20186,2026.63149,8e-05,0.03817,974429.40901,0.0
0.0018,75.56379,10872746.08289,7467.52252,2.88276,88.36306,3.20223,2026.02053,8e-05,0.03816,974542.19738,0.0
0.0019,75.56883,10874004.20415,7468.38661,2.88244,88.35324,3.2026,2025.40983,8e-05,0.03816,974654.96487,0.0
0.002,75.57386,10875262.09237,7469.25054,2.88212,88.34342,3.20297,2024.7994,9e-05,0.03816,974767.71147,0.0
0.0021,75.5789,10876519.74743,7470.11431,2.8818,88.3336,3.20334,2024.18923,9e-05,0.03815,974880.43717,0.0
0.0022,75.58393,10877777.16922,7470.97792,2.88148,88.32378,3.20371,2023.57933,0.0001,0.03815,974993.14196,0.0
0.0023,75.58896,10879034.35763,7471.84137,2.88116,88.31395,3.20408,2022.96969,0.0001,0.03814,975105.82584,0.0
0.0024,75.59399,10880291.31255,7472.70467,2.88084,88.30413,3.20445,2022.36032,0.00011,0.03814,975218.48878,0.0
0.0025,75.59902,10881548.03387,7473.5678,2.88052,88.2943,3.20482,2021.75121,0.00011,0.03813,975331.13079,0.0
0.0026,75.60405,10882804.52147,7474.43076,2.8802,88.28447,3.20519,2021.14237,0.00012,0.03813,975443.75185,0.0
0.0027,75.60907,10884060.77523,7475.29357,2.87988,88.27465,3.20556,2020.53379,0.00012,0.03812,975556.35195,0.0
0.0028,75.6141,10885316.79506,7476.15622,2.87956,88.26482,3.20593,2019.92548,0.00013,0.03812,975668.93108,0.0
0.0029,75.61912,10886572.58083,7477.01871,2.87924,88.25499,3.2063,2019.31742,0.00013,0.03812,975781.48924,0.0
0.003,75.62414,10887828.13243,7477.88104,2.87892,88.24516,3.20667,2018.70964,0.00013,0.03811,975894.0264,0.0
0.0031,75.62916,10889083.44975,7478.7432,2.8786,88.23532,3.20704,2018.10211,0.00014,0.03811,976006.54257,0.0
0.0032,75.63418,10890338.53268,7479.60521,2.87828,88.22549,3.20741,2017.49485,0.00014,0.0381,976119.03772,0.0
0.0033,75.6392,10891593.38111,7480.46705,2.87796,88.21566,3.20778,2016.88786,0.00015,0.0381,976231.51186,0.0
0.0034,75.64422,10892847.99492,7481.32873,2.87763,88.20582,3.20815,2016.28112,0.00015,0.03809,976343.96497,0.0
0.0035,75.64924,10894102.374,7482.19026,2.87731,88.19598,3.20852,2015.67465,0.00016,0.03809,976456.39704,0.0
0.0036,75.65425,10895356.51824,7483.05162,2.87699,88.18614,3.20889,2015.06844,0.00016,0.03808,976568.80806,0.0
0.0037,75.65927,10896610.42752,7483.91281,2.87667,88.1763,3.20926,2014.4625,0.00017,0.03808,976681.19802,0.0
0.0038,75.66428,10897864.10174,7484.77385,2.87635,88.16646,3.20963,2013.85682,0.00017,0.03808,976793.56691,0.0
0.0039,75.66929,10899117.54078,7485.63473,2.87603,88.15662,3.21,2013.2514,0.00017,0.03807,976905.91473,0.0
0.004,75.6743,10900370.74453,7486.49544,2.87571,88.14678,3.21037,2012.64624,0.00018,0.03807,977018.24145,0.0
0.0041,75.67931,10901623.71288,7487.35599,2.87539,88.13694,3.21074,2012.04134,0.00018,0.03806,977130.54707,0.0
0.0042,75.68432,10902876.44571,7488.21639,2.87507,88.12709,3.21111,2011.4367,0.00019,0.03806,977242.83159,0.0
