Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,1075.2273,183871925.99968,0,3.15144,1.38752,2.29071,71.05141,0,0,0,0,0,0,0,0,0,0.0251,0.02362,0.02984,0,0
0.0001,1075.35504,183908366.96239,32991.06979,3.15144,1.38752,2.29071,71.03281,0.0,0.0,0.0,1437.47631,6606.3111,2811.42145,1e-05,1e-05,1e-05,0.02509,0.02362,0.02983,9076067.06983,0.0
0.0002,1075.48273,183944799.65634,32997.6054,3.15048,1.38722,2.29018,71.01422,9.61157,12.63811,17.87406,1437.17435,31004.50409,10949.02142,2e-05,2e-05,2e-05,0.02509,0.02361,0.02982,9077865.06075,0.0
0.0003,1075.61038,183981224.0744,33004.13953,3.14952,1.38692,2.28966,70.99561,9.61259,12.64057,17.8776,1436.87241,30968.80255,10943.86164,2e-05,2e-05,2e-05,0.02508,0.0236,0.02982,9079662.64325,0.0
0.0004,1075.738,184017640.20947,33010.67217,3.14856,1.38661,2.28914,70.97701,9.61361,12.64304,17.88114,1436.5705,30933.16476,10938.70531,3e-05,3e-05,3e-05,0.02507,0.02359,0.02981,9081459.81697,0.0
0.0005,1075.86558,184054048.05441,33017.20332,3.14759,1.38631,2.28861,70.9584,9.61462,12.6455,17.88468,1436.26861,30897.59056,10933.55242,4e-05,4e-05,4e-05,0.02506,0.02359,0.0298,9083256.58156,0.0
0.0006,1075.99312,184090447.60213,33023.73299,3.14663,1.38601,2.28809,70.93978,9.61564,12.64797,17.88822,1435.96676,30862.07979,10928.40297,5e-05,5e-05,5e-05,0.02505,0.02358,0.02979,9085052.93668,0.0
0.0007,1076.12061,184126838.8455,33030.26116,3.14567,1.3857,2.28756,70.92117,9.61666,12.65043,17.89176,1435.66492,30826.6323,10923.25697,5e-05,5e-05,5e-05,0.02505,0.02357,0.02979,9086848.88197,0.0
0.0008,1076.24807,184163221.77741,33036.78785,3.14471,1.3854,2.28704,70.90255,9.61767,12.65289,17.8953,1435.36312,30791.24794,10918.11439,6e-05,6e-05,6e-05,0.02504,0.02356,0.02978,9088644.41709,0.0
0.0009,1076.37549,184199596.39076,33043.31304,3.14375,1.3851,2.28651,70.88392,9.61869,12.65536,17.89883,1435.06134,30755.92655,10912.97525,7e-05,7e-05,7e-05,0.02503,0.02356,0.02977,9090439.54167,0.0
0.001,1076.50287,184235962.67842,33049.83674,3.14278,1.38479,2.28599,70.86529,9.61971,12.65782,17.90237,1434.75958,30720.66798,10907.83954,8e-05,8e-05,8e-05,0.02502,0.02355,0.02976,9092234.25537,0.0
0.0011,1076.63021,184272320.63329,33056.35894,3.14182,1.38449,2.28547,70.84666,9.62072,12.66028,17.90591,1434.45786,30685.47207,10902.70725,8e-05,8e-05,8e-05,0.02502,0.02354,0.02976,9094028.55784,0.0
0.0012,1076.75752,184308670.24826,33062.87965,3.14086,1.38419,2.28494,70.82803,9.62174,12.66274,17.90944,1434.15616,30650.33868,10897.57838,9e-05,9e-05,9e-05,0.02501,0.02353,0.02975,9095822.44872,0.0
0.0013,1076.88478,184345011.51621,33069.39886,3.1399,1.38388,2.28442,70.80939,9.62275,12.6652,17.91297,1433.85448,30615.26765,10892.45293,0.0001,0.0001,0.0001,0.025,0.02353,0.02974,9097615.92768,0.0
0.0014,1077.012,184381344.43005,33075.91657,3.13894,1.38358,2.28389,70.79074,9.62376,12.66766,17.91651,1433.55283,30580.25882,10887.3309,0.00011,0.00011,0.00011,0.02499,0.02352,0.02973,9099408.99435,0.0
0.0015,1077.13919,184417668.98265,33082.43278,3.13797,1.38327,2.28337,70.7721,9.62478,12.67012,17.92004,1433.25121,30545.31205,10882.21227,0.00011,0.00011,0.00011,0.02499,0.02351,0.02973,9101201.64838,0.0
0.0016,1077.26633,184453985.16693,33088.94749,3.13701,1.38297,2.28284,70.75345,9.62579,12.67258,17.92357,1432.94962,30510.42719,10877.09706,0.00012,0.00012,0.00012,0.02498,0.0235,0.02972,9102993.88943,0.0
0.0017,1077.39344,184490292.97576,33095.4607,3.13605,1.38266,2.28232,70.73479,9.6268,12.67503,17.9271,1432.64805,30475.60409,10871.98524,0.00013,0.00013,0.00013,0.02497,0.0235,0.02971,9104785.71714,0.0
0.0018,1077.5205,184526592.40204,33101.97241,3.13509,1.38236,2.28179,70.71614,9.62781,12.67749,17.93063,1432.34651,30440.84259,10866.87683,0.00014,0.00014,0.00014,0.02496,0.02349,0.0297,9106577.13116,0.0
0.0019,1077.64753,184562883.43867,33108.48261,3.13412,1.38205,2.28127,70.69747,9.62883,12.67995,17.93416,1432.04499,30406.14255,10861.77182,0.00014,0.00014,0.00014,0.02496,0.02348,0.02969,9108368.13114,0.0
0.002,1077.77452,184599166.07854,33114.9913,3.13316,1.38175,2.28074,70.67881,9.62984,12.6824,17.93769,1431.7435,30371.50382,10856.6702,0.00015,0.00015,0.00015,0.02495,0.02347,0.02969,9110158.71674,0.0
0.0021,1077.90147,184635440.31456,33121.49848,3.1322,1.38144,2.28021,70.66014,9.63085,12.68486,17.94122,1431.44204,30336.92624,10851.57197,0.00016,0.00016,0.00016,0.02494,0.02347,0.02968,9111948.8876,0.0
0.0022,1078.02837,184671706.13961,33128.00416,3.13123,1.38114,2.27969,70.64147,9.63186,12.68732,17.94474,1431.1406,30302.40968,10846.47712,0.00017,0.00017,0.00017,0.02493,0.02346,0.02967,9113738.64337,0.0
0.0023,1078.15524,184707963.5466,33134.50833,3.13027,1.38083,2.27916,70.62279,9.63287,12.68977,17.94827,1430.83919,30267.95398,10841.38566,0.00017,0.00017,0.00017,0.02493,0.02345,0.02966,9115527.98369,0.0
0.0024,1078.28207,184744212.52842,33141.01098,3.12931,1.38052,2.27864,70.60411,9.63388,12.69222,17.95179,1430.53781,30233.559,10836.29759,0.00018,0.00018,0.00018,0.02492,0.02344,0.02966,9117316.90823,0.0
0.0025,1078.40886,184780453.07797,33147.51212,3.12834,1.38022,2.27811,70.58543,9.63488,12.69468,17.95532,1430.23645,30199.22459,10831.21288,0.00019,0.00019,0.00019,0.02491,0.02343,0.02965,9119105.41663,0.0
0.0026,1078.53561,184816685.18817,33154.01175,3.12738,1.37991,2.27758,70.56674,9.63589,12.69713,17.95884,1429.93512,30164.95061,10826.13156,0.0002,0.0002,0.0002,0.0249,0.02343,0.02964,9120893.50853,0.0
0.0027,1078.66233,184852908.85189,33160.50987,3.12642,1.37961,2.27706,70.54805,9.6369,12.69958,17.96236,1429.63382,30130.7369,10821.0536,0.00021,0.00021,0.00021,0.0249,0.02342,0.02963,9122681.18359,0.0
0.0028,1078.789,184889124.06206,33167.00646,3.12545,1.3793,2.27653,70.52936,9.63791,12.70203,17.96588,1429.33255,30096.58332,10815.97901,0.00021,0.00021,0.00021,0.02489,0.02341,0.02963,9124468.44147,0.0
0.0029,1078.91563,184925330.81156,33173.50154,3.12449,1.37899,2.27601,70.51066,9.63891,12.70449,17.96941,1429.03129,30062.48973,10810.90778,0.00022,0.00022,0.00022,0.02488,0.0234,0.02962,9126255.28179,0.0
0.003,1079.04222,184961529.09331,33179.9951,3.12352,1.37869,2.27548,70.49196,9.63992,12.70694,17.97293,1428.73007,30028.45599,10805.83992,0.00023,0.00023,0.00023,0.02487,0.0234,0.02961,9128041.70423,0.0
0.0031,1079.16878,184997718.90021,33186.48714,3.12256,1.37838,2.27495,70.47325,9.64092,12.70939,17.97644,1428.42887,29994.48195,10800.77541,0.00024,0.00024,0.00024,0.02486,0.02339,0.0296,9129827.70842,0.0
0.0032,1079.29529,185033900.22516,33192.97766,3.1216,1.37807,2.27443,70.45455,9.64193,12.71184,17.97996,1428.1277,29960.56746,10795.71425,0.00024,0.00024,0.00024,0.02486,0.02338,0.0296,9131613.29402,0.0
0.0033,1079.42176,185070073.06107,33199.46666,3.12063,1.37777,2.2739,70.43583,9.64293,12.71428,17.98348,1427.82656,29926.71238,10790.65645,0.00025,0.00025,0.00025,0.02485,0.02337,0.02959,9133398.46068,0.0
0.0034,1079.5482,185106237.40084,33205.95413,3.11967,1.37746,2.27337,70.41712,9.64394,12.71673,17.987,1427.52544,29892.91658,10785.60199,0.00026,0.00026,0.00026,0.02484,0.02337,0.02958,9135183.20805,0.0
0.0035,1079.67459,185142393.23739,33212.44007,3.1187,1.37715,2.27284,70.3984,9.64494,12.71918,17.99051,1427.22435,29859.1799,10780.55087,0.00027,0.00027,0.00027,0.02483,0.02336,0.02957,9136967.53577,0.0
0.0036,1079.80095,185178540.56362,33218.92449,3.11774,1.37684,2.27232,70.37967,9.64595,12.72163,17.99403,1426.92329,29825.50221,10775.5031,0.00027,0.00027,0.00027,0.02483,0.02335,0.02957,9138751.4435,0.0
0.0037,1079.92726,185214679.37244,33225.40738,3.11677,1.37654,2.27179,70.36095,9.64695,12.72408,17.99754,1426.62225,29791.88336,10770.45866,0.00028,0.00028,0.00028,0.02482,0.02334,0.02956,9140534.93088,0.0
0.0038,1080.05354,185250809.65676,33231.88875,3.11581,1.37623,2.27126,70.34222,9.64795,12.72652,18.00106,1426.32124,29758.32322,10765.41756,0.00029,0.00029,0.00029,0.02481,0.02334,0.02955,9142317.99758,0.0
0.0039,1080.17977,185286931.40949,33238.36858,3.11484,1.37592,2.27073,70.32348,9.64895,12.72897,18.00457,1426.02026,29724.82163,10760.37978,0.0003,0.0003,0.0003,0.0248,0.02333,0.02954,9144100.64323,0.0
