Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,984.9785,969169932.48137,0,1.78699,4.9104,1.19781,77.55589,0,0,0,0,0,0,0,0,0,0.02747,0.04013,0.0174,0,0
0.0001,985.27853,969659911.86647,187906.54709,1.78699,4.9104,1.19781,77.48053,0.0,0.0,0.0,8666.79241,15192.73066,5159.2545,3e-05,3e-05,3e-05,0.02744,0.0401,0.01737,39345423.71619,0.0
0.0002,985.57781,970148772.41512,188001.28144,1.78492,4.90708,1.19553,77.40513,20.66568,53.94301,76.71873,8650.97239,26703.51523,18963.10447,6e-05,6e-05,6e-05,0.02741,0.04007,0.01734,39365259.97547,0.0
0.0003,985.87634,970636512.33959,188095.79862,1.78286,4.90375,1.19325,77.32969,20.67565,53.97704,76.75748,8635.18951,26652.61113,18939.8759,9e-05,9e-05,9e-05,0.02738,0.04004,0.01731,39385050.76372,0.0
0.0004,986.17413,971123129.85572,188190.0983,1.78079,4.90041,1.19097,77.25421,20.68559,54.01101,76.79615,8619.44364,26601.8421,18916.67254,0.00013,0.00013,0.00013,0.02735,0.04001,0.01727,39404796.00855,0.0
0.0005,986.47117,971608623.18298,188284.18012,1.77872,4.89708,1.1887,77.1787,20.6955,54.04493,76.83472,8603.73465,26551.20759,18893.49436,0.00016,0.00016,0.00016,0.02732,0.03997,0.01724,39424495.63771,0.0
0.0006,986.76747,972092990.54443,188378.04375,1.77665,4.89374,1.18642,77.10315,20.70538,54.07879,76.87321,8588.0624,26500.70709,18870.34132,0.00019,0.00019,0.00019,0.02728,0.03994,0.01721,39444149.57909,0.0
0.0007,987.06301,972576230.16677,188471.68884,1.77458,4.8904,1.18414,77.02756,20.71524,54.11259,76.91161,8572.42677,26450.34004,18847.21338,0.00022,0.00022,0.00022,0.02725,0.03991,0.01718,39463757.76075,0.0
0.0008,987.35781,973058340.2803,188565.11505,1.7725,4.88706,1.18186,76.95193,20.72507,54.14633,76.94992,8556.82763,26400.10594,18824.11052,0.00025,0.00025,0.00025,0.02722,0.03988,0.01715,39483320.11087,0.0
0.0009,987.65185,973539319.11901,188658.32203,1.77043,4.88372,1.17957,76.87627,20.73487,54.18002,76.98814,8541.26484,26350.00424,18801.03269,0.00028,0.00028,0.00028,0.02719,0.03985,0.01712,39502836.5578,0.0
0.001,987.94515,974019164.9205,188751.30944,1.76836,4.88037,1.17729,76.80057,20.74464,54.21366,77.02627,8525.73827,26300.03444,18777.97986,0.00032,0.00032,0.00032,0.02716,0.03982,0.01708,39522307.03002,0.0
0.0011,988.23769,974497875.92605,188844.07695,1.76628,4.87702,1.17501,76.72483,20.75438,54.24723,77.06431,8510.24781,26250.196,18754.95199,0.00035,0.00035,0.00035,0.02713,0.03978,0.01705,39541731.45617,0.0
0.0012,988.52949,974975450.38062,188936.62421,1.7642,4.87367,1.17273,76.64905,20.76409,54.28075,77.10226,8494.79332,26200.48842,18731.94905,0.00038,0.00038,0.00038,0.02709,0.03975,0.01702,39561109.76504,0.0
0.0013,988.82053,975451886.53285,189028.95088,1.76213,4.87031,1.17045,76.57324,20.77378,54.31422,77.14012,8479.37467,26150.91118,18708.971,0.00041,0.00041,0.00041,0.02706,0.03972,0.01699,39580441.88556,0.0
0.0014,989.11082,975927182.63505,189121.05663,1.76005,4.86696,1.16816,76.49739,20.78343,54.34762,77.1779,8463.99174,26101.46377,18686.0178,0.00044,0.00044,0.00044,0.02703,0.03969,0.01696,39599727.74683,0.0
