Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,512.15374,726868291.93026,0,1.98123,1.71532,71.72637,0,0,0,0,0,0,0.02388,0.01952,0,0
0.0001,512.56055,727902455.97996,147060.46758,1.98123,1.71532,71.57213,0.0,0.0,22201.44113,15951.02537,5e-05,5e-05,0.02383,0.01947,47454272.67463,0.0
0.0002,512.96635,728934677.91174,147269.01068,1.9775,1.7111,71.41767,37.28485,79.49139,22140.32237,31665.33481,0.0001,0.0001,0.02378,0.01942,47521566.50034,0.0
0.0003,513.37113,729964944.92616,147477.15883,1.97377,1.70687,71.26299,37.34513,79.60439,22079.43039,31597.89278,0.00015,0.00015,0.02373,0.01937,47588732.87879,0.0
0.0004,513.77489,730993244.2322,147684.90944,1.97003,1.70264,71.10809,37.40532,79.71717,22018.76379,31530.58747,0.0002,0.0002,0.02368,0.01932,47655770.97608,0.0
0.0005,514.17761,732019563.0475,147892.25992,1.96628,1.69841,70.95298,37.46541,79.82973,21958.32123,31463.41843,0.00026,0.00026,0.02363,0.01926,47722679.95888,0.0
0.0006,514.57931,733043888.59868,148099.2077,1.96253,1.69416,70.79764,37.52541,79.94209,21898.10135,31396.38523,0.00031,0.00031,0.02358,0.01921,47789458.99447,0.0
0.0007,514.97997,734066208.12155,148305.75019,1.95877,1.68992,70.64209,37.58532,80.05422,21838.1028,31329.48742,0.00036,0.00036,0.02352,0.01916,47856107.2507,0.0
0.0008,515.3796,735086508.86143,148511.88482,1.95501,1.68567,70.48632,37.64513,80.16614,21778.32426,31262.72457,0.00041,0.00041,0.02347,0.01911,47922623.89606,0.0
0.0009,515.77818,736104778.07337,148717.60901,1.95124,1.68141,70.33034,37.70485,80.27783,21718.76442,31196.09623,0.00046,0.00046,0.02342,0.01906,47989008.09966,0.0
0.001,516.17572,737121003.02245,148922.9202,1.94746,1.67715,70.17414,37.76447,80.38931,21659.42195,31129.60198,0.00051,0.00051,0.02337,0.01901,48055259.03128,0.0
0.0011,516.57222,738135170.98404,149127.8158,1.94368,1.67288,70.01772,37.82399,80.50056,21600.29557,31063.24138,0.00056,0.00056,0.02332,0.01896,48121375.86134,0.0
0.0012,516.96767,739147269.24406,149332.29326,1.93989,1.66861,69.86109,37.88341,80.61159,21541.384,30997.01401,0.00061,0.00061,0.02327,0.01891,48187357.76099,0.0
0.0013,517.36206,740157285.09928,149536.35,1.93609,1.66433,69.70425,37.94274,80.72239,21482.68595,30930.91944,0.00067,0.00067,0.02322,0.01885,48253203.90206,0.0
0.0014,517.7554,741165205.85752,149739.98347,1.93229,1.66004,69.54719,38.00196,80.83297,21424.20016,30864.95725,0.00072,0.00072,0.02317,0.0188,48318913.4571,0.0
0.0015,518.14769,742171018.83799,149943.19109,1.92849,1.65576,69.38992,38.06109,80.94332,21365.92538,30799.12702,0.00077,0.00077,0.02311,0.01875,48384485.59942,0.0
0.0016,518.53891,743174711.37154,150145.97031,1.92468,1.65146,69.23243,38.12012,81.05344,21307.86037,30733.42833,0.00082,0.00082,0.02306,0.0187,48449919.50306,0.0
0.0017,518.92907,744176270.80091,150348.31857,1.92086,1.64716,69.07473,38.17904,81.16333,21250.00389,30667.86077,0.00087,0.00087,0.02301,0.01865,48515214.34287,0.0
0.0018,519.31816,745175684.48101,150550.23332,1.91703,1.64286,68.91682,38.23786,81.27299,21192.35473,30602.42392,0.00092,0.00092,0.02296,0.0186,48580369.29448,0.0
0.0019,519.70618,746172939.77919,150751.71201,1.9132,1.63855,68.7587,38.29658,81.38241,21134.91166,30537.11738,0.00097,0.00097,0.02291,0.01855,48645383.53431,0.0
0.002,520.09313,747168024.07551,150952.75208,1.90937,1.63424,68.60036,38.35519,81.4916,21077.67349,30471.94074,0.00103,0.00103,0.02286,0.01849,48710256.23963,0.0
0.0021,520.479,748160924.76301,151153.35099,1.90553,1.62992,68.44182,38.4137,81.60055,21020.63902,30406.89358,0.00108,0.00108,0.0228,0.01844,48774986.58856,0.0
0.0022,520.8638,749151629.24798,151353.5062,1.90168,1.6256,68.28306,38.47211,81.70926,20963.80707,30341.97552,0.00113,0.00113,0.02275,0.01839,48839573.76008,0.0
0.0023,521.24751,750140124.95024,151553.21515,1.89783,1.62127,68.1241,38.53041,81.81774,20907.17646,30277.18614,0.00118,0.00118,0.0227,0.01834,48904016.93403,0.0
0.0024,521.63013,751126399.30339,151752.47532,1.89397,1.61693,67.96492,38.5886,81.92597,20850.74604,30212.52506,0.00123,0.00123,0.02265,0.01829,48968315.29118,0.0
0.0025,522.01167,752110439.75509,151951.28417,1.8901,1.6126,67.80554,38.64669,82.03396,20794.51465,30147.99187,0.00128,0.00128,0.0226,0.01824,49032468.0132,0.0
0.0026,522.39212,753092233.76732,152149.63917,1.88623,1.60825,67.64594,38.70466,82.14171,20738.48114,30083.58618,0.00134,0.00134,0.02255,0.01818,49096474.2827,0.0
0.0027,522.77148,754071768.81668,152347.53777,1.88236,1.6039,67.48614,38.76253,82.24922,20682.64438,30019.30761,0.00139,0.00139,0.02249,0.01813,49160333.28324,0.0
0.0028,523.14974,755049032.39464,152544.97747,1.87848,1.59955,67.32613,38.82029,82.35648,20627.00325,29955.15576,0.00144,0.00144,0.02244,0.01808,49224044.19934,0.0
0.0029,523.5269,756024012.00779,152741.95573,1.87459,1.59519,67.16592,38.87794,82.46349,20571.55662,29891.13024,0.00149,0.00149,0.02239,0.01803,49287606.21653,0.0
