Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,177.1691,130373291.87833,0,0.76485,58.20801,0,0,0,0.01395,0,0
0.0001,177.23657,130463124.79931,32893.42018,0.76485,58.09256,0.0,6765.0176,3e-05,0.01392,10360679.25712,0.0
0.0002,177.30389,130552784.23575,32916.02584,0.76334,57.97703,15.17046,6755.52147,6e-05,0.01389,10367799.52704,0.0
0.0003,177.37106,130642269.72511,32938.58765,0.76182,57.86141,15.1809,6746.0391,9e-05,0.01386,10374905.98302,0.0
0.0004,177.43808,130731580.8055,32961.10548,0.7603,57.74572,15.19133,6736.57046,0.00012,0.01384,10381998.58838,0.0
0.0005,177.50494,130820717.01565,32983.57923,0.75878,57.62995,15.20174,6727.11552,0.00015,0.01381,10389077.30649,0.0
0.0006,177.57166,130909677.8949,33006.00877,0.75726,57.51411,15.21212,6717.67424,0.00018,0.01378,10396142.10076,0.0
0.0007,177.63822,130998462.98327,33028.39398,0.75574,57.39818,15.22248,6708.2466,0.0002,0.01375,10403192.93466,0.0
0.0008,177.70463,131087071.82139,33050.73476,0.75421,57.28217,15.23283,6698.83257,0.00023,0.01372,10410229.77172,0.0
0.0009,177.77089,131175503.95054,33073.03099,0.75269,57.16609,15.24315,6689.43211,0.00026,0.01369,10417252.5755,0.0
0.001,177.83699,131263758.91266,33095.28254,0.75116,57.04993,15.25346,6680.04519,0.00029,0.01366,10424261.30963,0.0
0.0011,177.90294,131351836.25033,33117.48931,0.74964,56.93369,15.26374,6670.67178,0.00032,0.01363,10431255.93778,0.0
0.0012,177.96874,131439735.5068,33139.65119,0.74811,56.81737,15.274,6661.31186,0.00035,0.0136,10438236.42368,0.0
0.0013,178.03439,131527456.22597,33161.76804,0.74658,56.70097,15.28424,6651.96539,0.00038,0.01357,10445202.73111,0.0
0.0014,178.09988,131614997.95241,33183.83977,0.74505,56.5845,15.29446,6642.63234,0.00041,0.01354,10452154.8239,0.0
0.0015,178.16522,131702360.23136,33205.86626,0.74352,56.46795,15.30466,6633.31268,0.00044,0.01351,10459092.66593,0.0
0.0016,178.2304,131789542.60874,33227.84739,0.74199,56.35132,15.31484,6624.00638,0.00047,0.01348,10466016.22115,0.0
0.0017,178.29544,131876544.63113,33249.78304,0.74046,56.23461,15.325,6614.71341,0.0005,0.01345,10472925.45355,0.0
0.0018,178.36031,131963365.84581,33271.67311,0.73892,56.11783,15.33513,6605.43375,0.00053,0.01343,10479820.32718,0.0
0.0019,178.42503,132050005.80075,33293.51748,0.73739,56.00097,15.34525,6596.16735,0.00056,0.0134,10486700.80613,0.0
0.002,178.4896,132136464.04458,33315.31603,0.73585,55.88403,15.35535,6586.9142,0.00059,0.01337,10493566.85456,0.0
0.0021,178.55401,132222740.12665,33337.06866,0.73432,55.76702,15.36542,6577.67426,0.00061,0.01334,10500418.43668,0.0
0.0022,178.61827,132308833.59702,33358.77524,0.73278,55.64993,15.37547,6568.44751,0.00064,0.01331,10507255.51677,0.0
0.0023,178.68237,132394744.00641,33380.43567,0.73124,55.53277,15.3855,6559.2339,0.00067,0.01328,10514078.05914,0.0
0.0024,178.74632,132480470.90628,33402.04983,0.7297,55.41553,15.39551,6550.03343,0.0007,0.01325,10520886.02817,0.0
0.0025,178.81011,132566013.84879,33423.61761,0.72816,55.29821,15.4055,6540.84604,0.00073,0.01322,10527679.3883,0.0
