Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,115.89322,131543818.25632,0,0.73239,1.32852,0.3277,83.2337,0,0,0,0,0,0,0,0,0,0.01867,0.01981,0.01048,0,0
0.0001,116.15806,132123257.72536,90144.73113,0.73239,1.32852,0.3277,83.07193,0.0,0.0,0.0,30237.48268,53806.28759,14466.6623,5e-05,5e-05,5e-05,0.01863,0.01977,0.01044,4928796.80634,0.0
0.0002,116.42298,132704087.46388,90541.01822,0.73103,1.32655,0.32639,82.90944,13.65146,33.30413,46.42667,30135.97288,94946.51757,54449.67405,9e-05,9e-05,9e-05,0.01858,0.01972,0.01039,4950464.39015,0.0
0.0003,116.68798,133286301.70516,90938.24992,0.72966,1.32458,0.32507,82.74623,13.71038,33.46534,46.63107,30034.98304,94579.16638,54389.06711,0.00014,0.00014,0.00014,0.01853,0.01968,0.01035,4972183.6222,0.0
0.0004,116.95304,133869894.59848,91336.42224,0.72828,1.32259,0.32375,82.58231,13.76943,33.62701,46.83596,29934.50816,94214.23856,54328.25893,0.00018,0.00018,0.00018,0.01849,0.01963,0.0103,4993954.28422,0.0
0.0005,117.21817,134454860.20879,91735.53114,0.7269,1.3206,0.32243,82.41767,13.82861,33.78912,47.04134,29834.54328,93851.7071,54267.25028,0.00023,0.00023,0.00023,0.01844,0.01958,0.01025,5015776.1548,0.0
0.0006,117.48336,135041192.51652,92135.5725,0.72551,1.31859,0.3211,82.25232,13.88792,33.95169,47.2472,29735.0835,93491.54537,54206.04193,0.00028,0.00028,0.00028,0.0184,0.01954,0.01021,5037649.00941,0.0
0.0007,117.74861,135628885.41734,92536.54217,0.72411,1.31657,0.31976,82.08624,13.94735,34.11471,47.45354,29636.124,93133.72711,54144.63467,0.00032,0.00032,0.00032,0.01835,0.01949,0.01016,5059572.6203,0.0
0.0008,118.01392,136217932.7219,92938.43591,0.72271,1.31455,0.31843,81.91944,14.00691,34.27817,47.66037,29537.66,92778.22643,54083.02925,0.00037,0.00037,0.00037,0.0183,0.01945,0.01011,5081546.7566,0.0
0.0009,118.27929,136808328.15556,93341.24946,0.72131,1.31251,0.31708,81.75192,14.0666,34.44208,47.86768,29439.68679,92425.01783,54021.22646,0.00042,0.00042,0.00042,0.01826,0.0194,0.01007,5103571.18423,0.0
0.001,118.5447,137400065.35825,93744.97846,0.71989,1.31046,0.31574,81.58367,14.12641,34.60644,48.07546,29342.19972,92074.07615,53959.22707,0.00046,0.00046,0.00046,0.01821,0.01935,0.01002,5125645.66593,0.0
0.0011,118.81017,137993137.88416,94149.61852,0.71847,1.3084,0.31439,81.41469,14.18634,34.77125,48.28372,29245.19418,91725.3766,53897.03186,0.00051,0.00051,0.00051,0.01816,0.01931,0.00997,5147769.96124,0.0
0.0012,119.07568,138587539.20156,94555.16519,0.71705,1.30633,0.31303,81.24498,14.2464,34.9365,48.49245,29148.66565,91378.89471,53834.6416,0.00056,0.00056,0.00056,0.01812,0.01926,0.00993,5169943.82651,0.0
0.0013,119.34123,139183262.69255,94961.61395,0.71562,1.30425,0.31167,81.07455,14.30658,35.10219,48.70165,29052.60962,91034.60637,53772.05709,0.0006,0.0006,0.0006,0.01807,0.01921,0.00988,5192167.01484,0.0
0.0014,119.60682,139780301.65288,95368.96022,0.71418,1.30216,0.31031,80.90338,14.36688,35.26832,48.91131,28957.02167,90692.48782,53709.27908,0.00065,0.00065,0.00065,0.01802,0.01916,0.00983,5214439.27615,0.0
0.0015,119.87244,140378649.29172,95777.19937,0.71274,1.30006,0.30894,80.73148,14.42729,35.4349,49.12145,28861.89743,90352.51562,53646.30838,0.0007,0.0007,0.0007,0.01797,0.01912,0.00979,5236760.3571,0.0
0.0016,120.1381,140978298.73146,96186.32672,0.71129,1.29795,0.30756,80.55884,14.48783,35.60191,49.33204,28767.23258,90014.66663,53583.14575,0.00074,0.00074,0.00074,0.01793,0.01907,0.00974,5259130.00113,0.0
