Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,160.90505,7021779.87138,0,2.51042,80.00639,0,0,0,0.02753,0,0
0.0001,160.90988,7022102.77144,2530.73886,2.51042,80.002,0.0,750.18841,0.0,0.02753,271913.96992,0.0
0.0002,160.9147,7022425.65314,2530.85522,2.51029,79.9976,1.37844,750.11735,0.0,0.02753,271926.47273,0.0
0.0003,160.91953,7022748.51648,2530.97158,2.51015,79.99321,1.3785,750.04631,1e-05,0.02753,271938.97484,0.0
0.0004,160.92435,7023071.36145,2531.08793,2.51001,79.98882,1.37856,749.97528,1e-05,0.02753,271951.47623,0.0
0.0005,160.92918,7023394.18804,2531.20428,2.50987,79.98442,1.37863,749.90425,1e-05,0.02753,271963.97691,0.0
0.0006,160.934,7023716.99626,2531.32062,2.50974,79.98003,1.37869,749.83324,1e-05,0.02752,271976.47688,0.0
0.0007,160.93883,7024039.78611,2531.43695,2.5096,79.97564,1.37875,749.76224,1e-05,0.02752,271988.97613,0.0
0.0008,160.94365,7024362.55757,2531.55327,2.50946,79.97124,1.37882,749.69124,1e-05,0.02752,272001.47468,0.0
0.0009,160.94847,7024685.31065,2531.66959,2.50932,79.96685,1.37888,749.62026,2e-05,0.02752,272013.97251,0.0
0.001,160.9533,7025008.04534,2531.78591,2.50918,79.96245,1.37894,749.54928,2e-05,0.02752,272026.46963,0.0
0.0011,160.95812,7025330.76164,2531.90221,2.50905,79.95806,1.37901,749.47831,2e-05,0.02752,272038.96604,0.0
0.0012,160.96294,7025653.45955,2532.01851,2.50891,79.95366,1.37907,749.40736,2e-05,0.02751,272051.46174,0.0
0.0013,160.96776,7025976.13907,2532.1348,2.50877,79.94927,1.37913,749.33641,2e-05,0.02751,272063.95673,0.0
0.0014,160.97258,7026298.80018,2532.25109,2.50863,79.94487,1.3792,749.26547,2e-05,0.02751,272076.451,0.0
0.0015,160.97741,7026621.4429,2532.36737,2.50849,79.94047,1.37926,749.19454,3e-05,0.02751,272088.94456,0.0
0.0016,160.98223,7026944.0672,2532.48364,2.50836,79.93608,1.37932,749.12363,3e-05,0.02751,272101.4374,0.0
0.0017,160.98705,7027266.6731,2532.59991,2.50822,79.93168,1.37939,749.05272,3e-05,0.02751,272113.92954,0.0
0.0018,160.99187,7027589.26059,2532.71617,2.50808,79.92729,1.37945,748.98182,3e-05,0.0275,272126.42096,0.0
0.0019,160.99669,7027911.82967,2532.83242,2.50794,79.92289,1.37951,748.91093,3e-05,0.0275,272138.91167,0.0
0.002,161.00151,7028234.38033,2532.94866,2.5078,79.91849,1.37958,748.84005,3e-05,0.0275,272151.40166,0.0
0.0021,161.00633,7028556.91257,2533.0649,2.50767,79.91409,1.37964,748.76918,4e-05,0.0275,272163.89095,0.0
