Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,309.98223,60942926.0387,0,3.04347,0.88586,60.32771,0,0,0,0,0,0,0.02229,0.0114,0,0
0.0001,310.00949,60951274.9975,30000.97822,3.04347,0.88586,60.30917,0.0,0.0,1698.43741,2629.58619,1e-05,1e-05,0.02229,0.0114,1113795.42232,0.0
0.0002,310.03675,60959622.2617,30005.08685,3.04268,0.88544,60.29062,7.88152,12.07699,1698.09318,7849.67379,1e-05,1e-05,0.02228,0.01139,1113947.95637,0.0
0.0003,310.064,60967967.83048,30009.19464,3.04189,0.88502,60.27208,7.88232,12.07864,1697.74902,7846.48318,2e-05,2e-05,0.02228,0.01138,1114100.45943,0.0
0.0004,310.09125,60976311.70303,30013.3016,3.0411,0.8846,60.25353,7.88312,12.08029,1697.40493,7843.2945,2e-05,2e-05,0.02227,0.01138,1114252.9315,0.0
0.0005,310.11848,60984653.87852,30017.40773,3.04031,0.88418,60.23497,7.88391,12.08195,1697.06092,7840.10773,3e-05,3e-05,0.02226,0.01137,1114405.37256,0.0
0.0006,310.14571,60992994.35616,30021.51301,3.03953,0.88377,60.21642,7.88471,12.0836,1696.71697,7836.92289,4e-05,4e-05,0.02226,0.01137,1114557.78259,0.0
0.0007,310.17294,61001333.13511,30025.61746,3.03874,0.88335,60.19786,7.88551,12.08525,1696.3731,7833.73996,4e-05,4e-05,0.02225,0.01136,1114710.16159,0.0
0.0008,310.20016,61009670.21458,30029.72108,3.03795,0.88292,60.1793,7.88631,12.08691,1696.02929,7830.55894,5e-05,5e-05,0.02225,0.01135,1114862.50952,0.0
0.0009,310.22737,61018005.59375,30033.82386,3.03716,0.8825,60.16074,7.8871,12.08856,1695.68556,7827.37985,5e-05,5e-05,0.02224,0.01135,1115014.82639,0.0
0.001,310.25457,61026339.27179,30037.9258,3.03637,0.88208,60.14217,7.8879,12.09021,1695.3419,7824.20266,6e-05,6e-05,0.02223,0.01134,1115167.11217,0.0
0.0011,310.28176,61034671.24791,30042.0269,3.03558,0.88166,60.12361,7.8887,12.09186,1694.99831,7821.02738,7e-05,7e-05,0.02223,0.01134,1115319.36685,0.0
0.0012,310.30895,61043001.52129,30046.12716,3.03479,0.88124,60.10504,7.8895,12.09351,1694.65479,7817.85402,7e-05,7e-05,0.02222,0.01133,1115471.59041,0.0
0.0013,310.33614,61051330.09111,30050.22659,3.034,0.88082,60.08646,7.89029,12.09517,1694.31134,7814.68256,8e-05,8e-05,0.02222,0.01132,1115623.78285,0.0
0.0014,310.36331,61059656.95657,30054.32518,3.03322,0.8804,60.06789,7.89109,12.09682,1693.96797,7811.51301,8e-05,8e-05,0.02221,0.01132,1115775.94414,0.0
0.0015,310.39048,61067982.11684,30058.42292,3.03243,0.87998,60.04931,7.89188,12.09847,1693.62466,7808.34536,9e-05,9e-05,0.0222,0.01131,1115928.07427,0.0
0.0016,310.41764,61076305.57112,30062.51983,3.03164,0.87956,60.03073,7.89268,12.10012,1693.28143,7805.17961,0.0001,0.0001,0.0222,0.0113,1116080.17322,0.0
0.0017,310.4448,61084627.3186,30066.6159,3.03085,0.87914,60.01215,7.89348,12.10177,1692.93827,7802.01576,0.0001,0.0001,0.02219,0.0113,1116232.24099,0.0
0.0018,310.47195,61092947.35846,30070.71113,3.03006,0.87872,59.99356,7.89427,12.10342,1692.59518,7798.85382,0.00011,0.00011,0.02219,0.01129,1116384.27755,0.0
0.0019,310.49909,61101265.68989,30074.80551,3.02927,0.8783,59.97498,7.89507,12.10506,1692.25216,7795.69377,0.00012,0.00012,0.02218,0.01129,1116536.28289,0.0
0.002,310.52622,61109582.31208,30078.89906,3.02848,0.87788,59.95639,7.89586,12.10671,1691.90921,7792.53562,0.00012,0.00012,0.02217,0.01128,1116688.257,0.0
0.0021,310.55335,61117897.22422,30082.99176,3.02769,0.87746,59.93779,7.89666,12.10836,1691.56633,7789.37936,0.00013,0.00013,0.02217,0.01127,1116840.19986,0.0
0.0022,310.58047,61126210.42549,30087.08362,3.0269,0.87704,59.9192,7.89745,12.11001,1691.22352,7786.22499,0.00013,0.00013,0.02216,0.01127,1116992.11146,0.0
0.0023,310.60758,61134521.91508,30091.17464,3.02611,0.87661,59.9006,7.89825,12.11166,1690.88078,7783.07251,0.00014,0.00014,0.02216,0.01126,1117143.99178,0.0
0.0024,310.63469,61142831.69219,30095.26482,3.02532,0.87619,59.882,7.89904,12.1133,1690.53812,7779.92193,0.00015,0.00015,0.02215,0.01126,1117295.8408,0.0
0.0025,310.66179,61151139.756,30099.35415,3.02453,0.87577,59.8634,7.89983,12.11495,1690.19553,7776.77323,0.00015,0.00015,0.02214,0.01125,1117447.65852,0.0
0.0026,310.68888,61159446.1057,30103.44264,3.02374,0.87535,59.84479,7.90063,12.1166,1689.853,7773.62641,0.00016,0.00016,0.02214,0.01124,1117599.44492,0.0
0.0027,310.71597,61167750.74047,30107.53029,3.02295,0.87493,59.82618,7.90142,12.11824,1689.51055,7770.48149,0.00016,0.00016,0.02213,0.01124,1117751.19997,0.0
0.0028,310.74305,61176053.65952,30111.61709,3.02216,0.87451,59.80757,7.90221,12.11989,1689.16817,7767.33844,0.00017,0.00017,0.02212,0.01123,1117902.92368,0.0
0.0029,310.77012,61184354.86202,30115.70304,3.02137,0.87408,59.78896,7.90301,12.12153,1688.82586,7764.19727,0.00018,0.00018,0.02212,0.01123,1118054.61601,0.0
0.003,310.79718,61192654.34717,30119.78815,3.02058,0.87366,59.77035,7.9038,12.12318,1688.48362,7761.05799,0.00018,0.00018,0.02211,0.01122,1118206.27697,0.0
0.0031,310.82424,61200952.11415,30123.87242,3.01979,0.87324,59.75173,7.90459,12.12482,1688.14145,7757.92058,0.00019,0.00019,0.02211,0.01121,1118357.90653,0.0
0.0032,310.85129,61209248.16216,30127.95583,3.019,0.87282,59.73311,7.90539,12.12647,1687.79935,7754.78505,0.00019,0.00019,0.0221,0.01121,1118509.50467,0.0
0.0033,310.87834,61217542.49039,30132.03841,3.01821,0.8724,59.71448,7.90618,12.12811,1687.45732,7751.65139,0.0002,0.0002,0.02209,0.0112,1118661.07139,0.0
0.0034,310.90538,61225835.09802,30136.12013,3.01742,0.87197,59.69586,7.90697,12.12976,1687.11536,7748.5196,0.00021,0.00021,0.02209,0.0112,1118812.60667,0.0
0.0035,310.93241,61234125.98424,30140.20101,3.01663,0.87155,59.67723,7.90776,12.1314,1686.77348,7745.38969,0.00021,0.00021,0.02208,0.01119,1118964.11049,0.0
0.0036,310.95943,61242415.14825,30144.28104,3.01584,0.87113,59.6586,7.90855,12.13304,1686.43166,7742.26165,0.00022,0.00022,0.02208,0.01118,1119115.58284,0.0
