Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,81.84276,12858381.06143,0,0.50954,0.64695,59.80224,0,0,0,0,0,0,0.00859,0.01466,0,0
0.0001,81.85529,12861735.50355,11036.68887,0.50954,0.64695,59.77421,0.0,0.0,2550.2707,1752.2565,1e-05,1e-05,0.00859,0.01465,556412.26484,0.0
0.0002,81.86783,12865089.6357,11039.56706,0.50923,0.64672,59.74617,3.06052,5.42061,2549.55655,4292.08342,1e-05,1e-05,0.00858,0.01465,556557.36814,0.0
0.0003,81.88036,12868443.45724,11042.44498,0.50893,0.64648,59.71813,3.06141,5.42202,2548.84265,4290.75575,2e-05,2e-05,0.00857,0.01464,556702.458,0.0
0.0004,81.89289,12871796.96749,11045.32264,0.50862,0.64625,59.69008,3.06231,5.42343,2548.129,4289.42856,2e-05,2e-05,0.00857,0.01464,556847.53439,0.0
0.0005,81.90541,12875150.16582,11048.20002,0.50831,0.64601,59.66202,3.06321,5.42485,2547.41561,4288.10184,3e-05,3e-05,0.00856,0.01463,556992.5973,0.0
0.0006,81.91794,12878503.05157,11051.07714,0.50801,0.64577,59.63395,3.06411,5.42626,2546.70246,4286.77561,3e-05,3e-05,0.00856,0.01462,557137.64668,0.0
0.0007,81.93046,12881855.62407,11053.954,0.5077,0.64554,59.60588,3.065,5.42767,2545.98956,4285.44985,4e-05,4e-05,0.00855,0.01462,557282.6825,0.0
0.0008,81.94298,12885207.88267,11056.83058,0.50739,0.6453,59.5778,3.0659,5.42909,2545.27691,4284.12458,5e-05,5e-05,0.00854,0.01461,557427.70475,0.0
0.0009,81.95549,12888559.82673,11059.70689,0.50709,0.64506,59.54971,3.0668,5.4305,2544.56451,4282.79978,5e-05,5e-05,0.00854,0.01461,557572.71339,0.0
0.001,81.96801,12891911.45557,11062.58293,0.50678,0.64483,59.52161,3.06769,5.43191,2543.85236,4281.47547,6e-05,6e-05,0.00853,0.0146,557717.7084,0.0
0.0011,81.98052,12895262.76855,11065.4587,0.50647,0.64459,59.49351,3.06859,5.43333,2543.14046,4280.15163,6e-05,6e-05,0.00853,0.0146,557862.68974,0.0
0.0012,81.99302,12898613.765,11068.3342,0.50617,0.64435,59.4654,3.06949,5.43474,2542.42881,4278.82827,7e-05,7e-05,0.00852,0.01459,558007.65738,0.0
0.0013,82.00553,12901964.44428,11071.20943,0.50586,0.64412,59.43728,3.07039,5.43615,2541.71741,4277.50539,8e-05,8e-05,0.00852,0.01458,558152.61131,0.0
0.0014,82.01803,12905314.80573,11074.08438,0.50555,0.64388,59.40916,3.07128,5.43756,2541.00625,4276.18298,8e-05,8e-05,0.00851,0.01458,558297.55148,0.0
0.0015,82.03053,12908664.84869,11076.95906,0.50525,0.64364,59.38102,3.07218,5.43898,2540.29535,4274.86105,9e-05,9e-05,0.0085,0.01457,558442.47788,0.0
0.0016,82.04303,12912014.5725,11079.83347,0.50494,0.64341,59.35288,3.07308,5.44039,2539.58469,4273.5396,9e-05,9e-05,0.0085,0.01457,558587.39047,0.0
0.0017,82.05553,12915363.97651,11082.7076,0.50463,0.64317,59.32474,3.07398,5.4418,2538.87428,4272.21863,0.0001,0.0001,0.00849,0.01456,558732.28923,0.0
0.0018,82.06802,12918713.06006,11085.58146,0.50432,0.64293,59.29658,3.07487,5.44321,2538.16412,4270.89813,0.0001,0.0001,0.00849,0.01456,558877.17412,0.0
0.0019,82.08051,12922061.8225,11088.45504,0.50402,0.6427,59.26842,3.07577,5.44463,2537.45421,4269.57811,0.00011,0.00011,0.00848,0.01455,559022.04512,0.0
0.002,82.093,12925410.26317,11091.32835,0.50371,0.64246,59.24025,3.07667,5.44604,2536.74454,4268.25857,0.00012,0.00012,0.00848,0.01454,559166.9022,0.0
0.0021,82.10549,12928758.3814,11094.20137,0.5034,0.64222,59.21208,3.07756,5.44745,2536.03512,4266.9395,0.00012,0.00012,0.00847,0.01454,559311.74533,0.0
0.0022,82.11797,12932106.17656,11097.07413,0.50309,0.64199,59.18389,3.07846,5.44886,2535.32595,4265.6209,0.00013,0.00013,0.00846,0.01453,559456.57449,0.0
0.0023,82.13045,12935453.64797,11099.9466,0.50278,0.64175,59.1557,3.07936,5.45027,2534.61703,4264.30278,0.00013,0.00013,0.00846,0.01453,559601.38964,0.0
0.0024,82.14293,12938800.79498,11102.8188,0.50248,0.64151,59.12751,3.08025,5.45168,2533.90836,4262.98514,0.00014,0.00014,0.00845,0.01452,559746.19075,0.0
0.0025,82.1554,12942147.61694,11105.69071,0.50217,0.64128,59.0993,3.08115,5.45309,2533.19993,4261.66797,0.00014,0.00014,0.00845,0.01451,559890.97781,0.0
0.0026,82.16788,12945494.11318,11108.56235,0.50186,0.64104,59.07109,3.08205,5.4545,2532.49175,4260.35127,0.00015,0.00015,0.00844,0.01451,560035.75077,0.0
0.0027,82.18035,12948840.28306,11111.43371,0.50155,0.6408,59.04287,3.08295,5.45592,2531.78381,4259.03505,0.00016,0.00016,0.00843,0.0145,560180.50961,0.0
0.0028,82.19281,12952186.1259,11114.30478,0.50124,0.64056,59.01464,3.08384,5.45733,2531.07612,4257.7193,0.00016,0.00016,0.00843,0.0145,560325.25431,0.0
0.0029,82.20528,12955531.64107,11117.17558,0.50094,0.64033,58.98641,3.08474,5.45874,2530.36868,4256.40402,0.00017,0.00017,0.00842,0.01449,560469.98483,0.0
0.003,82.21774,12958876.82789,11120.04609,0.50063,0.64009,58.95816,3.08564,5.46015,2529.66149,4255.08922,0.00017,0.00017,0.00842,0.01449,560614.70115,0.0
0.0031,82.2302,12962221.68572,11122.91632,0.50032,0.63985,58.92992,3.08653,5.46156,2528.95454,4253.77489,0.00018,0.00018,0.00841,0.01448,560759.40323,0.0
0.0032,82.24266,12965566.21388,11125.78627,0.50001,0.63961,58.90166,3.08743,5.46297,2528.24783,4252.46103,0.00019,0.00019,0.00841,0.01447,560904.09105,0.0
0.0033,82.25511,12968910.41174,11128.65594,0.4997,0.63938,58.8734,3.08833,5.46438,2527.54138,4251.14765,0.00019,0.00019,0.0084,0.01447,561048.76458,0.0
0.0034,82.26757,12972254.27862,11131.52532,0.49939,0.63914,58.84512,3.08922,5.46579,2526.83516,4249.83473,0.0002,0.0002,0.00839,0.01446,561193.4238,0.0
0.0035,82.28002,12975597.81388,11134.39441,0.49908,0.6389,58.81685,3.09012,5.4672,2526.1292,4248.52229,0.0002,0.0002,0.00839,0.01446,561338.06866,0.0
0.0036,82.29246,12978941.01685,11137.26323,0.49877,0.63866,58.78856,3.09102,5.46861,2525.42348,4247.21032,0.00021,0.00021,0.00838,0.01445,561482.69916,0.0
0.0037,82.30491,12982283.88687,11140.13175,0.49846,0.63842,58.76027,3.09191,5.47002,2524.718,4245.89882,0.00021,0.00021,0.00838,0.01444,561627.31524,0.0
0.0038,82.31735,12985626.4233,11142.99999,0.49816,0.63819,58.73197,3.09281,5.47142,2524.01277,4244.58779,0.00022,0.00022,0.00837,0.01444,561771.9169,0.0
0.0039,82.32979,12988968.62546,11145.86794,0.49785,0.63795,58.70366,3.09371,5.47283,2523.30779,4243.27723,0.00023,0.00023,0.00836,0.01443,561916.5041,0.0
0.004,82.34223,12992310.49271,11148.73561,0.49754,0.63771,58.67535,3.0946,5.47424,2522.60304,4241.96714,0.00023,0.00023,0.00836,0.01443,562061.0768,0.0
