Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,175.71922,37780632.97243,0,5.43484,1.28941,75.3279,0,0,0,0,0,0,0.03674,0.01682,0,0
0.0001,175.74263,37788992.32285,32455.96589,5.43484,1.28941,75.30649,0.0,0.0,3731.65951,2516.06489,1e-05,1e-05,0.03673,0.01681,3153494.67356,0.0
0.0002,175.76602,37797349.60152,32463.14373,5.43361,1.28872,75.28507,12.26193,19.11626,3730.29927,7446.87953,2e-05,2e-05,0.03672,0.0168,3154192.08919,0.0
0.0003,175.78941,37805704.80646,32470.3198,5.43238,1.28804,75.26365,12.26469,19.12049,3728.9397,7443.59821,3e-05,3e-05,0.03671,0.01679,3154889.33176,0.0
0.0004,175.81279,37814057.93568,32477.49408,5.43116,1.28735,75.24222,12.26744,19.12471,3727.5808,7440.31885,4e-05,4e-05,0.0367,0.01678,3155586.40111,0.0
0.0005,175.83617,37822408.98719,32484.66658,5.42993,1.28667,75.22078,12.2702,19.12894,3726.22256,7437.04142,5e-05,5e-05,0.03669,0.01677,3156283.29708,0.0
0.0006,175.85953,37830757.959,32491.83729,5.4287,1.28598,75.19934,12.27296,19.13317,3724.86499,7433.76594,6e-05,6e-05,0.03668,0.01676,3156980.0195,0.0
0.0007,175.88289,37839104.84912,32499.00621,5.42747,1.28529,75.1779,12.27572,19.13739,3723.50807,7430.4924,7e-05,7e-05,0.03667,0.01675,3157676.5682,0.0
0.0008,175.90624,37847449.65556,32506.17334,5.42625,1.28461,75.15645,12.27848,19.14161,3722.15183,7427.2208,8e-05,8e-05,0.03666,0.01674,3158372.94302,0.0
0.0009,175.92958,37855792.37633,32513.33869,5.42502,1.28392,75.135,12.28123,19.14584,3720.79624,7423.95114,9e-05,9e-05,0.03665,0.01673,3159069.14379,0.0
0.001,175.95292,37864133.00943,32520.50223,5.42379,1.28324,75.11354,12.28399,19.15006,3719.44132,7420.68341,0.0001,0.0001,0.03664,0.01672,3159765.17034,0.0
0.0011,175.97624,37872471.55289,32527.66399,5.42256,1.28255,75.09208,12.28674,19.15428,3718.08705,7417.41762,0.00011,0.00011,0.03663,0.01671,3160461.02252,0.0
0.0012,175.99956,37880808.00471,32534.82395,5.42133,1.28186,75.07061,12.2895,19.1585,3716.73345,7414.15376,0.00011,0.00011,0.03662,0.01671,3161156.70014,0.0
0.0013,176.02287,37889142.36291,32541.98211,5.4201,1.28117,75.04914,12.29225,19.16272,3715.38051,7410.89183,0.00012,0.00012,0.03661,0.0167,3161852.20305,0.0
0.0014,176.04617,37897474.62549,32549.13847,5.41887,1.28049,75.02767,12.29501,19.16694,3714.02823,7407.63182,0.00013,0.00013,0.0366,0.01669,3162547.53108,0.0
0.0015,176.06947,37905804.79046,32556.29303,5.41764,1.2798,75.00618,12.29776,19.17115,3712.67661,7404.37375,0.00014,0.00014,0.03659,0.01668,3163242.68407,0.0
0.0016,176.09275,37914132.85585,32563.44578,5.41641,1.27911,74.9847,12.30051,19.17537,3711.32564,7401.11759,0.00015,0.00015,0.03658,0.01667,3163937.66185,0.0
0.0017,176.11603,37922458.81966,32570.59673,5.41518,1.27843,74.96321,12.30326,19.17958,3709.97534,7397.86336,0.00016,0.00016,0.03657,0.01666,3164632.46425,0.0
0.0018,176.1393,37930782.6799,32577.74587,5.41395,1.27774,74.94171,12.30602,19.18379,3708.62569,7394.61106,0.00017,0.00017,0.03656,0.01665,3165327.0911,0.0
0.0019,176.16257,37939104.43459,32584.89321,5.41272,1.27705,74.92021,12.30877,19.18801,3707.2767,7391.36067,0.00018,0.00018,0.03655,0.01664,3166021.54225,0.0
0.002,176.18582,37947424.08174,32592.03873,5.41149,1.27636,74.89871,12.31152,19.19222,3705.92837,7388.1122,0.00019,0.00019,0.03655,0.01663,3166715.81752,0.0
0.0021,176.20907,37955741.61936,32599.18245,5.41026,1.27567,74.8772,12.31427,19.19643,3704.58069,7384.86564,0.0002,0.0002,0.03654,0.01662,3167409.91676,0.0
0.0022,176.23231,37964057.04547,32606.32435,5.40903,1.27498,74.85569,12.31702,19.20064,3703.23367,7381.621,0.00021,0.00021,0.03653,0.01661,3168103.83978,0.0
0.0023,176.25554,37972370.35808,32613.46443,5.4078,1.2743,74.83417,12.31977,19.20485,3701.8873,7378.37828,0.00022,0.00022,0.03652,0.0166,3168797.58644,0.0
0.0024,176.27876,37980681.5552,32620.6027,5.40656,1.27361,74.81264,12.32252,19.20905,3700.54159,7375.13746,0.00023,0.00023,0.03651,0.01659,3169491.15656,0.0
0.0025,176.30198,37988990.63485,32627.73915,5.40533,1.27292,74.79111,12.32526,19.21326,3699.19653,7371.89855,0.00024,0.00024,0.0365,0.01658,3170184.54997,0.0
0.0026,176.32519,37997297.59505,32634.87377,5.4041,1.27223,74.76958,12.32801,19.21746,3697.85213,7368.66155,0.00025,0.00025,0.03649,0.01657,3170877.76652,0.0
0.0027,176.34839,38005602.4338,32642.00658,5.40286,1.27154,74.74804,12.33076,19.22167,3696.50838,7365.42646,0.00026,0.00026,0.03648,0.01656,3171570.80603,0.0
0.0028,176.37158,38013905.14912,32649.13756,5.40163,1.27085,74.7265,12.3335,19.22587,3695.16528,7362.19327,0.00027,0.00027,0.03647,0.01655,3172263.66834,0.0
0.0029,176.39476,38022205.73903,32656.26672,5.4004,1.27016,74.70495,12.33625,19.23007,3693.82284,7358.96198,0.00028,0.00028,0.03646,0.01654,3172956.35328,0.0
0.003,176.41794,38030504.20155,32663.39405,5.39916,1.26947,74.6834,12.339,19.23427,3692.48104,7355.73259,0.00029,0.00029,0.03645,0.01653,3173648.8607,0.0
0.0031,176.4411,38038800.53468,32670.51955,5.39793,1.26878,74.66185,12.34174,19.23847,3691.1399,7352.50511,0.0003,0.0003,0.03644,0.01652,3174341.19041,0.0
0.0032,176.46426,38047094.73645,32677.64322,5.3967,1.26809,74.64029,12.34449,19.24267,3689.79941,7349.27951,0.00031,0.00031,0.03643,0.01651,3175033.34227,0.0
