Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,549.38234,6732039052.55134,0,3.32161,2.86796,2.62314,75.04385,0,0,0,0,0,0,0,0,0,0.0328,0.04611,0.03146,0,0
0.0001,549.63603,6738017113.2761,2932825.93415,3.32161,2.86796,2.62314,73.81567,0.0,0.0,0.0,94913.11587,114808.07195,87021.38921,0.00051,0.00051,0.00051,0.0323,0.0456,0.03095,139932099.21284,0.0
0.0002,549.79736,6741820034.62267,2934481.21435,3.26667,2.82569,2.57611,72.58651,549.32744,971.9757,1442.30304,92856.78958,315697.12181,300021.81272,0.00101,0.00101,0.00101,0.03179,0.0451,0.03045,140011076.56749,0.0
0.0003,549.8662,6743443179.50622,2935187.71321,3.21167,2.78341,2.52906,71.35675,550.07788,972.91021,1443.4624,90845.6755,305605.86829,292608.39859,0.00152,0.00152,0.00152,0.03129,0.04459,0.02994,140044785.30807,0.0
0.0004,549.8425,6742884276.2671,2934944.44195,3.1566,2.74112,2.48199,70.1268,550.66259,973.53246,1444.15557,88878.47537,295908.97239,285383.3637,0.00202,0.00202,0.00202,0.03078,0.04409,0.02944,140033178.25778,0.0
0.0005,549.72624,6740143424.17493,2933751.44378,3.10149,2.69884,2.43494,68.89705,551.08105,973.84177,1444.3817,86953.95079,286585.40567,278340.49248,0.00253,0.00253,0.00253,0.03028,0.04358,0.02893,139976257.4782,0.0
0.0006,549.51747,6735223094.13867,2931609.7942,3.04636,2.65659,2.38791,67.66791,551.33295,973.83779,1444.14043,85070.91966,277615.61233,271473.8755,0.00303,0.00303,0.00303,0.02977,0.04308,0.02842,139874074.28406,0.0
0.0007,549.21631,6728128124.61783,2928521.59922,2.99122,2.61438,2.34092,66.43977,551.41811,973.52055,1443.43191,83228.25285,268981.38521,264777.89045,0.00354,0.00354,0.00354,0.02927,0.04257,0.02792,139726729.15831,0.0
0.0008,548.82292,6718865712.74523,2924489.99151,2.93608,2.57223,2.29398,65.21302,551.33656,972.89037,1442.2568,81424.87106,260665.75392,258247.18442,0.00404,0.00404,0.00404,0.02876,0.04207,0.02741,139534371.56774,0.0
0.0009,548.33752,6707445400.68668,2919519.12444,2.88097,2.53014,2.24711,63.98807,551.08849,971.94795,1440.61628,79659.7419,252652.88353,251876.65745,0.00455,0.00455,0.00455,0.02826,0.04156,0.02691,139297199.67976,0.0
0.001,547.76039,6693879057.27795,2913614.16411,2.82591,2.48814,2.20033,62.7653,550.67426,970.6943,1438.51201,77931.87716,244927.9829,245661.4471,0.00505,0.00505,0.00505,0.02775,0.04106,0.0264,139015459.98098,0.0
