Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,474.52778,173848597.87578,0,2.64778,4.43613,1.78178,77.64198,0,0,0,0,0,0,0,0,0,0.03151,0.02912,0.02685,0,0
0.0001,474.6385,173914507.29861,76119.02139,2.64778,4.43613,1.78178,77.60891,0.0,0.0,0.0,7146.39949,4694.80485,8714.91758,1e-05,1e-05,1e-05,0.0315,0.02911,0.02683,3915997.58128,0.0
0.0002,474.74917,173980390.41522,76147.85716,2.64675,4.43414,1.78102,77.57583,10.2885,30.20395,37.76088,7139.89797,7455.18029,50779.0996,3e-05,3e-05,3e-05,0.03149,0.02909,0.02682,3917481.05802,0.0
0.0003,474.85978,174046247.18308,76176.6814,2.64572,4.43215,1.78027,77.54273,10.29285,30.21403,37.7752,7133.40541,7451.93287,50705.02845,4e-05,4e-05,4e-05,0.03147,0.02908,0.0268,3918963.94146,0.0
0.0004,474.97032,174112077.55973,76205.49408,2.64469,4.43015,1.77951,77.50963,10.29721,30.2241,37.7895,7126.92181,7448.68647,50631.12384,6e-05,6e-05,6e-05,0.03146,0.02907,0.02679,3920446.23066,0.0
0.0005,475.08081,174177881.50268,76234.2952,2.64366,4.42816,1.77875,77.47651,10.30157,30.23417,37.8038,7120.44713,7445.44108,50557.38524,7e-05,7e-05,7e-05,0.03144,0.02905,0.02678,3921927.92466,0.0
0.0006,475.19123,174243658.96946,76263.08472,2.64263,4.42617,1.778,77.44337,10.30592,30.24424,37.8181,7113.98137,7442.1967,50483.81213,8e-05,8e-05,8e-05,0.03143,0.02904,0.02676,3923409.0225,0.0
0.0007,475.3016,174309409.91761,76291.86264,2.6416,4.42417,1.77724,77.41023,10.31027,30.2543,37.83239,7107.52451,7438.95333,50410.40399,0.0001,0.0001,0.0001,0.03142,0.02902,0.02675,3924889.52322,0.0
0.0008,475.4119,174375134.30468,76320.62894,2.64057,4.42218,1.77648,77.37707,10.31462,30.26435,37.84667,7101.07652,7435.71097,50337.16029,0.00011,0.00011,0.00011,0.0314,0.02901,0.02673,3926369.42587,0.0
0.0009,475.52214,174440832.08821,76349.38359,2.63953,4.42018,1.77572,77.3439,10.31897,30.27441,37.86095,7094.63738,7432.46961,50264.08052,0.00013,0.00013,0.00013,0.03139,0.029,0.02672,3927848.7295,0.0
0.001,475.63233,174506503.22578,76378.12658,2.6385,4.41818,1.77496,77.31072,10.32331,30.28445,37.87522,7088.20708,7429.22927,50191.16416,0.00014,0.00014,0.00014,0.03137,0.02898,0.02671,3929327.43315,0.0
0.0011,475.74245,174572147.67495,76406.85789,2.63747,4.41619,1.7742,77.27753,10.32766,30.29449,37.88949,7081.78561,7425.98994,50118.4107,0.00015,0.00015,0.00015,0.03136,0.02897,0.02669,3930805.53585,0.0
0.0012,475.85251,174637765.39331,76435.57749,2.63644,4.41419,1.77344,77.24432,10.332,30.30453,37.90375,7075.37293,7422.75162,50045.81963,0.00017,0.00017,0.00017,0.03135,0.02895,0.02668,3932283.03667,0.0
0.0013,475.96251,174703356.33844,76464.28538,2.6354,4.41219,1.77268,77.2111,10.33634,30.31457,37.91801,7068.96904,7419.5143,49973.39044,0.00018,0.00018,0.00018,0.03133,0.02894,0.02666,3933759.93464,0.0
0.0014,476.07245,174768920.46794,76492.98154,2.63437,4.41019,1.77192,77.17787,10.34068,30.3246,37.93225,7062.57391,7416.278,49901.12262,0.0002,0.0002,0.0002,0.03132,0.02893,0.02665,3935236.2288,0.0
0.0015,476.18233,174834457.73942,76521.66594,2.63333,4.4082,1.77116,77.14462,10.34501,30.33462,37.9465,7056.18752,7413.0427,49829.01567,0.00021,0.00021,0.00021,0.0313,0.02891,0.02664,3936711.91821,0.0
0.0016,476.29215,174899968.11049,76550.33856,2.6323,4.4062,1.7704,77.11137,10.34935,30.34464,37.96074,7049.80986,7409.80841,49757.06908,0.00022,0.00022,0.00022,0.03129,0.0289,0.02662,3938187.00191,0.0
0.0017,476.4019,174965451.53878,76578.99939,2.63126,4.4042,1.76964,77.0781,10.35368,30.35466,37.97497,7043.44091,7406.57513,49685.28235,0.00024,0.00024,0.00024,0.03128,0.02888,0.02661,3939661.47895,0.0
0.0018,476.5116,175030907.98191,76607.64841,2.63023,4.4022,1.76887,77.04482,10.35801,30.36467,37.98919,7037.08065,7403.34286,49613.65499,0.00025,0.00025,0.00025,0.03126,0.02887,0.02659,3941135.34836,0.0
0.0019,476.62124,175096337.39753,76636.2856,2.62919,4.40019,1.76811,77.01152,10.36234,30.37468,38.00341,7030.72906,7400.1116,49542.18649,0.00027,0.00027,0.00027,0.03125,0.02886,0.02658,3942608.6092,0.0
0.002,476.73081,175161739.74329,76664.91095,2.62815,4.39819,1.76735,76.97822,10.36667,30.38468,38.01763,7024.38612,7396.88134,49470.87636,0.00028,0.00028,0.00028,0.03123,0.02884,0.02656,3944081.26052,0.0
0.0021,476.84032,175227114.97685,76693.52443,2.62712,4.39619,1.76658,76.9449,10.371,30.39468,38.03183,7018.05182,7393.65209,49399.72411,0.0003,0.0003,0.0003,0.03122,0.02883,0.02655,3945553.30135,0.0
0.0022,476.94977,175292463.05588,76722.12602,2.62608,4.39419,1.76582,76.91156,10.37532,30.40467,38.04604,7011.72613,7390.42384,49328.72924,0.00031,0.00031,0.00031,0.03121,0.02881,0.02654,3947024.73075,0.0
0.0023,477.05916,175357783.93804,76750.71571,2.62504,4.39218,1.76506,76.87822,10.37965,30.41466,38.06023,7005.40905,7387.19661,49257.89127,0.00032,0.00032,0.00032,0.03119,0.0288,0.02652,3948495.54777,0.0
0.0024,477.16849,175423077.58104,76779.29347,2.624,4.39018,1.76429,76.84486,10.38397,30.42464,38.07442,6999.10054,7383.97038,49187.2097,0.00034,0.00034,0.00034,0.03118,0.02879,0.02651,3949965.75144,0.0
0.0025,477.27776,175488343.94256,76807.8593,2.62296,4.38817,1.76352,76.8115,10.38829,30.43462,38.08861,6992.8006,7380.74515,49116.68406,0.00035,0.00035,0.00035,0.03116,0.02877,0.02649,3951435.34083,0.0
0.0026,477.38697,175553582.9803,76836.41317,2.62193,4.38617,1.76276,76.77811,10.3926,30.4446,38.10279,6986.5092,7377.52093,49046.31386,0.00037,0.00037,0.00037,0.03115,0.02876,0.02648,3952904.31497,0.0
0.0027,477.49611,175618794.65199,76864.95506,2.62089,4.38416,1.76199,76.74472,10.39692,30.45457,38.11696,6980.22633,7374.29772,48976.09862,0.00038,0.00038,0.00038,0.03114,0.02874,0.02647,3954372.67292,0.0
0.0028,477.60519,175683978.91534,76893.48495,2.61985,4.38216,1.76123,76.71131,10.40123,30.46454,38.13113,6973.95197,7371.07551,48906.03785,0.00039,0.00039,0.00039,0.03112,0.02873,0.02645,3955840.41371,0.0
0.0029,477.71422,175749135.72809,76922.00283,2.61881,4.38015,1.76046,76.6779,10.40555,30.4745,38.14529,6967.6861,7367.85431,48836.13109,0.00041,0.00041,0.00041,0.03111,0.02871,0.02644,3957307.53641,0.0
0.003,477.82318,175814265.04797,76950.50867,2.61776,4.37814,1.75969,76.64446,10.40986,30.48446,38.15944,6961.42871,7364.63411,48766.37785,0.00042,0.00042,0.00042,0.03109,0.0287,0.02642,3958774.04006,0.0
0.0031,477.93207,175879366.83274,76979.00247,2.61672,4.37613,1.75892,76.61102,10.41416,30.49441,38.17359,6955.17977,7361.41491,48696.77765,0.00044,0.00044,0.00044,0.03108,0.02869,0.02641,3960239.9237,0.0
0.0032,478.04091,175944441.04016,77007.48419,2.61568,4.37413,1.75816,76.57757,10.41847,30.50436,38.18773,6948.93927,7358.19672,48627.33004,0.00045,0.00045,0.00045,0.03106,0.02867,0.0264,3961705.18639,0.0
0.0033,478.14969,176009487.62799,77035.95383,2.61464,4.37212,1.75739,76.5441,10.42278,30.5143,38.20187,6942.70719,7354.97954,48558.03453,0.00046,0.00046,0.00046,0.03105,0.02866,0.02638,3963169.82718,0.0
0.0034,478.2584,176074506.55402,77064.41136,2.6136,4.37011,1.75662,76.51062,10.42708,30.52424,38.216,6936.48351,7351.76336,48488.89066,0.00048,0.00048,0.00048,0.03104,0.02864,0.02637,3964633.84511,0.0
0.0035,478.36705,176139497.77603,77092.85676,2.61255,4.3681,1.75585,76.47712,10.43138,30.53418,38.23013,6930.26822,7348.54818,48419.89796,0.00049,0.00049,0.00049,0.03102,0.02863,0.02635,3966097.23923,0.0
0.0036,478.47564,176204461.25182,77121.29002,2.61151,4.36609,1.75508,76.44362,10.43568,30.54411,38.24425,6924.0613,7345.33401,48351.05597,0.00051,0.00051,0.00051,0.03101,0.02862,0.02634,3967560.0086,0.0
0.0037,478.58417,176269396.9392,77149.71111,2.61047,4.36407,1.75431,76.4101,10.43998,30.55403,38.25836,6917.86273,7342.12083,48282.36422,0.00052,0.00052,0.00052,0.03099,0.0286,0.02633,3969022.15226,0.0
0.0038,478.69264,176334304.79598,77178.12003,2.60942,4.36206,1.75354,76.37657,10.44427,30.56396,38.27247,6911.67249,7338.90867,48213.82226,0.00053,0.00053,0.00053,0.03098,0.02859,0.02631,3970483.66927,0.0
0.0039,478.80104,176399184.78,77206.51675,2.60838,4.36005,1.75277,76.34303,10.44857,30.57387,38.28657,6905.49057,7335.6975,48145.42961,0.00055,0.00055,0.00055,0.03097,0.02857,0.0263,3971944.55867,0.0
0.004,478.90939,176464036.84908,77234.90124,2.60733,4.35804,1.75199,76.30948,10.45286,30.58378,38.30066,6899.31695,7332.48734,48077.18584,0.00056,0.00056,0.00056,0.03095,0.02856,0.02628,3973404.81952,0.0
0.0041,479.01767,176528860.96108,77263.27351,2.60628,4.35602,1.75122,76.27591,10.45715,30.59369,38.31475,6893.15162,7329.27817,48009.09047,0.00058,0.00058,0.00058,0.03094,0.02855,0.02627,3974864.45086,0.0
0.0042,479.12588,176593657.07385,77291.63351,2.60524,4.35401,1.75045,76.24233,10.46144,30.6036,38.32883,6886.99454,7326.07002,47941.14305,0.00059,0.00059,0.00059,0.03092,0.02853,0.02625,3976323.45175,0.0
0.0043,479.23404,176658425.14525,77319.98125,2.60419,4.35199,1.74968,76.20874,10.46572,30.61349,38.34291,6880.84572,7322.86286,47873.34314,0.00061,0.00061,0.00061,0.03091,0.02852,0.02624,3977781.82124,0.0
0.0044,479.34214,176723165.13316,77348.31669,2.60315,4.34998,1.7489,76.17513,10.47001,30.62339,38.35698,6874.70512,7319.6567,47805.69028,0.00062,0.00062,0.00062,0.0309,0.0285,0.02623,3979239.55838,0.0
0.0045,479.45017,176787876.99548,77376.63982,2.6021,4.34796,1.74813,76.14152,10.47429,30.63328,38.37105,6868.57274,7316.45155,47738.18403,0.00063,0.00063,0.00063,0.03088,0.02849,0.02621,3980696.66222,0.0
0.0046,479.55814,176852560.69008,77404.95063,2.60105,4.34595,1.74735,76.10789,10.47857,30.64316,38.3851,6862.44856,7313.24739,47670.82393,0.00065,0.00065,0.00065,0.03087,0.02848,0.0262,3982153.13181,0.0
0.0047,479.66605,176917216.17488,77433.24908,2.6,4.34393,1.74658,76.07425,10.48285,30.65304,38.39916,6856.33255,7310.04424,47603.60954,0.00066,0.00066,0.00066,0.03085,0.02846,0.02618,3983608.96621,0.0
0.0048,479.77389,176981843.4078,77461.53517,2.59895,4.34191,1.74581,76.0406,10.48713,30.66292,38.4132,6850.22471,7306.84209,47536.54041,0.00068,0.00068,0.00068,0.03084,0.02845,0.02617,3985064.16446,0.0
0.0049,479.88167,177046442.34676,77489.80888,2.5979,4.33989,1.74503,76.00693,10.4914,30.67279,38.42724,6844.12502,7303.64093,47469.61612,0.00069,0.00069,0.00069,0.03082,0.02843,0.02616,3986518.72563,0.0
0.005,479.98939,177111012.94969,77518.07019,2.59685,4.33788,1.74425,75.97325,10.49568,30.68265,38.44128,6838.03345,7300.44078,47402.83621,0.0007,0.0007,0.0007,0.03081,0.02842,0.02614,3987972.64876,0.0
0.0051,480.09705,177175555.17454,77546.31907,2.5958,4.33586,1.74348,75.93956,10.49995,30.69251,38.4553,6831.95,7297.24163,47336.20024,0.00072,0.00072,0.00072,0.0308,0.0284,0.02613,3989425.93291,0.0
