Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,708.71484,98040936.78127,0,2.82084,3.74746,2.41918,78.79878,0,0,0,0,0,0,0,0,0,0.02352,0.04503,0.03219,0,0
0.0001,708.77808,98054754.46304,26502.85868,2.82084,3.74746,2.41918,78.78262,0.0,0.0,0.0,1900.27961,3250.96733,2636.22647,1e-05,1e-05,1e-05,0.02351,0.04502,0.03218,8554304.28342,0.0
0.0002,708.8413,98068567.99745,26506.59229,2.82005,3.7469,2.41869,78.76647,7.92593,13.56376,18.42675,1899.80127,9362.90646,11660.28971,1e-05,1e-05,1e-05,0.02351,0.04501,0.03217,8555509.37722,0.0
0.0003,708.9045,98082377.38258,26510.32477,2.81925,3.74633,2.41821,78.75031,7.9269,13.56558,18.42935,1899.32307,9357.82631,11654.53766,2e-05,2e-05,2e-05,0.0235,0.04501,0.03217,8556714.10904,0.0
0.0004,708.96768,98096182.61649,26514.05614,2.81846,3.74577,2.41772,78.73414,7.92788,13.56739,18.43194,1898.845,9352.75028,11648.78975,3e-05,3e-05,3e-05,0.02349,0.045,0.03216,8557918.4787,0.0
0.0005,709.03083,98109983.69727,26517.78638,2.81767,3.7452,2.41723,78.71798,7.92886,13.5692,18.43454,1898.36706,9347.67835,11643.04597,4e-05,4e-05,4e-05,0.02349,0.04499,0.03215,8559122.48604,0.0
0.0006,709.09396,98123780.623,26521.5155,2.81687,3.74464,2.41675,78.70181,7.92984,13.57102,18.43713,1897.88927,9342.61051,11637.30632,4e-05,4e-05,4e-05,0.02348,0.04499,0.03215,8560326.1309,0.0
0.0007,709.15707,98137573.39176,26525.2435,2.81608,3.74408,2.41626,78.68564,7.93082,13.57283,18.43973,1897.4116,9337.54677,11631.57079,5e-05,5e-05,5e-05,0.02347,0.04498,0.03214,8561529.4131,0.0
0.0008,709.22016,98151362.00162,26528.97037,2.81529,3.74351,2.41577,78.66947,7.9318,13.57464,18.44232,1896.93408,9332.48711,11625.83937,6e-05,6e-05,6e-05,0.02346,0.04497,0.03213,8562732.33248,0.0
0.0009,709.28322,98165146.45067,26532.69612,2.81449,3.74295,2.41529,78.6533,7.93277,13.57646,18.44491,1896.45669,9327.43154,11620.11208,6e-05,6e-05,6e-05,0.02346,0.04496,0.03212,8563934.88887,0.0
