Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,79.03184,9629410.16997,0,2.09657,79.58574,0,0,0,0.03781,0,0
0.0001,79.03135,9629301.6275,7472.43368,2.09657,79.57105,0.0,944.31101,1e-05,0.0378,472883.58097,0.0
0.0002,79.03086,9629192.6562,7472.34912,2.09618,79.55636,3.87056,943.99526,1e-05,0.0378,472878.22951,0.0
0.0003,79.03037,9629083.2561,7472.26423,2.0958,79.54166,3.87052,943.67964,2e-05,0.03779,472872.857,0.0
0.0004,79.02988,9628973.4272,7472.179,2.09541,79.52697,3.87047,943.36413,2e-05,0.03779,472867.46344,0.0
0.0005,79.02939,9628863.16952,7472.09344,2.09502,79.51228,3.87043,943.04875,3e-05,0.03778,472862.04881,0.0
0.0006,79.02889,9628752.48308,7472.00754,2.09463,79.49759,3.87038,942.73348,3e-05,0.03778,472856.61313,0.0
0.0007,79.02839,9628641.36789,7471.92132,2.09425,79.4829,3.87034,942.41834,4e-05,0.03777,472851.1564,0.0
0.0008,79.0279,9628529.82397,7471.83476,2.09386,79.46821,3.8703,942.10331,4e-05,0.03777,472845.67861,0.0
0.0009,79.02739,9628417.85133,7471.74787,2.09347,79.45351,3.87025,941.78841,5e-05,0.03776,472840.17977,0.0
0.001,79.02689,9628305.44999,7471.66064,2.09309,79.43882,3.87021,941.47362,5e-05,0.03775,472834.65987,0.0
0.0011,79.02639,9628192.61996,7471.57308,2.0927,79.42413,3.87016,941.15896,6e-05,0.03775,472829.11892,0.0
0.0012,79.02588,9628079.36127,7471.48519,2.09231,79.40944,3.87012,940.84441,7e-05,0.03774,472823.55692,0.0
0.0013,79.02537,9627965.67392,7471.39697,2.09192,79.39475,3.87007,940.52998,7e-05,0.03774,472817.97387,0.0
0.0014,79.02486,9627851.55794,7471.30842,2.09154,79.38006,3.87002,940.21568,8e-05,0.03773,472812.36977,0.0
0.0015,79.02434,9627737.01334,7471.21953,2.09115,79.36537,3.86998,939.90149,8e-05,0.03773,472806.74462,0.0
0.0016,79.02383,9627622.04013,7471.13031,2.09076,79.35068,3.86993,939.58742,9e-05,0.03772,472801.09842,0.0
0.0017,79.02331,9627506.63834,7471.04075,2.09038,79.33599,3.86989,939.27347,9e-05,0.03772,472795.43118,0.0
0.0018,79.02279,9627390.80797,7470.95087,2.08999,79.3213,3.86984,938.95965,0.0001,0.03771,472789.74288,0.0
0.0019,79.02227,9627274.54905,7470.86065,2.0896,79.30661,3.86979,938.64594,0.0001,0.0377,472784.03355,0.0
0.002,79.02175,9627157.8616,7470.7701,2.08922,79.29192,3.86975,938.33235,0.00011,0.0377,472778.30316,0.0
0.0021,79.02123,9627040.74561,7470.67922,2.08883,79.27723,3.8697,938.01887,0.00012,0.03769,472772.55174,0.0
0.0022,79.0207,9626923.20113,7470.588,2.08844,79.26254,3.86965,937.70552,0.00012,0.03769,472766.77927,0.0
0.0023,79.02017,9626805.22815,7470.49645,2.08806,79.24785,3.86961,937.39229,0.00013,0.03768,472760.98575,0.0
0.0024,79.01964,9626686.82671,7470.40457,2.08767,79.23317,3.86956,937.07917,0.00013,0.03768,472755.1712,0.0
0.0025,79.01911,9626567.99681,7470.31236,2.08728,79.21848,3.86951,936.76618,0.00014,0.03767,472749.3356,0.0
0.0026,79.01857,9626448.73847,7470.21981,2.08689,79.20379,3.86946,936.4533,0.00014,0.03767,472743.47897,0.0
0.0027,79.01804,9626329.05171,7470.12694,2.08651,79.1891,3.86942,936.14054,0.00015,0.03766,472737.60129,0.0
0.0028,79.0175,9626208.93654,7470.03373,2.08612,79.17441,3.86937,935.82791,0.00015,0.03766,472731.70258,0.0
0.0029,79.01696,9626088.39299,7469.94018,2.08573,79.15973,3.86932,935.51538,0.00016,0.03765,472725.78283,0.0
0.003,79.01642,9625967.42106,7469.84631,2.08535,79.14504,3.86927,935.20298,0.00016,0.03764,472719.84204,0.0
0.0031,79.01587,9625846.02079,7469.7521,2.08496,79.13035,3.86922,934.8907,0.00017,0.03764,472713.88022,0.0
0.0032,79.01533,9625724.19217,7469.65756,2.08457,79.11566,3.86917,934.57853,0.00018,0.03763,472707.89736,0.0
0.0033,79.01478,9625601.93524,7469.56269,2.08419,79.10098,3.86913,934.26649,0.00018,0.03763,472701.89347,0.0
0.0034,79.01423,9625479.25001,7469.46748,2.0838,79.08629,3.86908,933.95456,0.00019,0.03762,472695.86854,0.0
0.0035,79.01368,9625356.13649,7469.37194,2.08341,79.0716,3.86903,933.64275,0.00019,0.03762,472689.82258,0.0
0.0036,79.01313,9625232.59471,7469.27607,2.08303,79.05692,3.86898,933.33106,0.0002,0.03761,472683.75559,0.0
0.0037,79.01257,9625108.62468,7469.17987,2.08264,79.04223,3.86893,933.01948,0.0002,0.03761,472677.66757,0.0
0.0038,79.01201,9624984.22641,7469.08334,2.08225,79.02754,3.86888,932.70803,0.00021,0.0376,472671.55852,0.0
0.0039,79.01145,9624859.39994,7468.98647,2.08186,79.01286,3.86883,932.39669,0.00021,0.0376,472665.42844,0.0
0.004,79.01089,9624734.14526,7468.88927,2.08148,78.99817,3.86878,932.08547,0.00022,0.03759,472659.27733,0.0
0.0041,79.01033,9624608.46241,7468.79174,2.08109,78.98349,3.86873,931.77437,0.00022,0.03758,472653.10519,0.0
0.0042,79.00977,9624482.3514,7468.69388,2.0807,78.9688,3.86868,931.46339,0.00023,0.03758,472646.91203,0.0
0.0043,79.0092,9624355.81224,7468.59568,2.08032,78.95412,3.86863,931.15252,0.00024,0.03757,472640.69784,0.0
0.0044,79.00863,9624228.84496,7468.49715,2.07993,78.93943,3.86858,930.84177,0.00024,0.03757,472634.46263,0.0
0.0045,79.00806,9624101.44958,7468.39829,2.07954,78.92475,3.86853,930.53114,0.00025,0.03756,472628.2064,0.0
0.0046,79.00749,9623973.6261,7468.2991,2.07916,78.91006,3.86848,930.22063,0.00025,0.03756,472621.92914,0.0
0.0047,79.00691,9623845.37456,7468.19958,2.07877,78.89538,3.86842,929.91023,0.00026,0.03755,472615.63086,0.0
0.0048,79.00634,9623716.69496,7468.09972,2.07838,78.88069,3.86837,929.59995,0.00026,0.03755,472609.31155,0.0
0.0049,79.00576,9623587.58732,7467.99953,2.078,78.86601,3.86832,929.28979,0.00027,0.03754,472602.97123,0.0
0.005,79.00518,9623458.05168,7467.89901,2.07761,78.85133,3.86827,928.97975,0.00027,0.03753,472596.60989,0.0
0.0051,79.00459,9623328.08803,7467.79816,2.07722,78.83664,3.86822,928.66982,0.00028,0.03753,472590.22753,0.0
0.0052,79.00401,9623197.69641,7467.69697,2.07684,78.82196,3.86817,928.36002,0.00029,0.03752,472583.82415,0.0
0.0053,79.00342,9623066.87682,7467.59546,2.07645,78.80728,3.86811,928.05032,0.00029,0.03752,472577.39975,0.0
0.0054,79.00284,9622935.62929,7467.49361,2.07606,78.79259,3.86806,927.74075,0.0003,0.03751,472570.95434,0.0
0.0055,79.00225,9622803.95384,7467.39142,2.07567,78.77791,3.86801,927.43129,0.0003,0.03751,472564.48792,0.0
0.0056,79.00165,9622671.85049,7467.28891,2.07529,78.76323,3.86795,927.12195,0.00031,0.0375,472558.00048,0.0
0.0057,79.00106,9622539.31924,7467.18607,2.0749,78.74855,3.8679,926.81273,0.00031,0.0375,472551.49203,0.0
0.0058,79.00047,9622406.36014,7467.08289,2.07451,78.73386,3.86785,926.50362,0.00032,0.03749,472544.96256,0.0
0.0059,78.99987,9622272.97318,7466.97938,2.07413,78.71918,3.8678,926.19463,0.00032,0.03749,472538.41209,0.0
0.006,78.99927,9622139.15839,7466.87554,2.07374,78.7045,3.86774,925.88576,0.00033,0.03748,472531.8406,0.0
0.0061,78.99867,9622004.91579,7466.77136,2.07335,78.68982,3.86769,925.577,0.00033,0.03747,472525.24811,0.0
0.0062,78.99806,9621870.2454,7466.66686,2.07297,78.67514,3.86763,925.26836,0.00034,0.03747,472518.63461,0.0
0.0063,78.99746,9621735.14724,7466.56202,2.07258,78.66046,3.86758,924.95984,0.00035,0.03746,472512.00009,0.0
0.0064,78.99685,9621599.62133,7466.45685,2.07219,78.64577,3.86753,924.65143,0.00035,0.03746,472505.34458,0.0
0.0065,78.99624,9621463.66768,7466.35135,2.07181,78.63109,3.86747,924.34314,0.00036,0.03745,472498.66806,0.0
0.0066,78.99563,9621327.28631,7466.24552,2.07142,78.61641,3.86742,924.03497,0.00036,0.03745,472491.97053,0.0
0.0067,78.99502,9621190.47725,7466.13935,2.07103,78.60173,3.86736,923.72691,0.00037,0.03744,472485.252,0.0
0.0068,78.9944,9621053.24052,7466.03285,2.07065,78.58705,3.86731,923.41897,0.00037,0.03744,472478.51246,0.0
0.0069,78.99379,9620915.57613,7465.92603,2.07026,78.57237,3.86725,923.11114,0.00038,0.03743,472471.75193,0.0
0.007,78.99317,9620777.4841,7465.81886,2.06987,78.55769,3.8672,922.80343,0.00038,0.03743,472464.97039,0.0
0.0071,78.99255,9620638.96445,7465.71137,2.06949,78.54301,3.86714,922.49584,0.00039,0.03742,472458.16786,0.0
0.0072,78.99192,9620500.0172,7465.60355,2.0691,78.52833,3.86709,922.18836,0.00039,0.03741,472451.34432,0.0
0.0073,78.9913,9620360.64238,7465.49539,2.06871,78.51366,3.86703,921.881,0.0004,0.03741,472444.49979,0.0
0.0074,78.99067,9620220.84,7465.3869,2.06833,78.49898,3.86698,921.57376,0.00041,0.0374,472437.63426,0.0
0.0075,78.99005,9620080.61008,7465.27808,2.06794,78.4843,3.86692,921.26663,0.00041,0.0374,472430.74774,0.0
0.0076,78.98941,9619939.95264,7465.16893,2.06755,78.46962,3.86686,920.95962,0.00042,0.03739,472423.84022,0.0
0.0077,78.98878,9619798.8677,7465.05945,2.06717,78.45494,3.86681,920.65272,0.00042,0.03739,472416.9117,0.0
0.0078,78.98815,9619657.35528,7464.94963,2.06678,78.44026,3.86675,920.34594,0.00043,0.03738,472409.9622,0.0
0.0079,78.98751,9619515.4154,7464.83949,2.06639,78.42559,3.86669,920.03927,0.00043,0.03738,472402.9917,0.0
0.008,78.98687,9619373.04809,7464.72901,2.06601,78.41091,3.86664,919.73272,0.00044,0.03737,472396.00021,0.0
0.0081,78.98623,9619230.25335,7464.6182,2.06562,78.39623,3.86658,919.42628,0.00044,0.03736,472388.98773,0.0
0.0082,78.98559,9619087.03122,7464.50706,2.06523,78.38155,3.86652,919.11996,0.00045,0.03736,472381.95426,0.0
0.0083,78.98495,9618943.38171,7464.39558,2.06485,78.36688,3.86646,918.81376,0.00046,0.03735,472374.8998,0.0
0.0084,78.9843,9618799.30484,7464.28378,2.06446,78.3522,3.86641,918.50767,0.00046,0.03735,472367.82436,0.0
0.0085,78.98366,9618654.80064,7464.17164,2.06407,78.33752,3.86635,918.2017,0.00047,0.03734,472360.72793,0.0
0.0086,78.98301,9618509.86912,7464.05917,2.06369,78.32285,3.86629,917.89584,0.00047,0.03734,472353.61051,0.0
0.0087,78.98236,9618364.5103,7463.94637,2.0633,78.30817,3.86623,917.59009,0.00048,0.03733,472346.47211,0.0
0.0088,78.9817,9618218.7242,7463.83324,2.06291,78.2935,3.86617,917.28446,0.00048,0.03733,472339.31273,0.0
0.0089,78.98105,9618072.51085,7463.71978,2.06253,78.27882,3.86612,916.97895,0.00049,0.03732,472332.13237,0.0
0.009,78.98039,9617925.87027,7463.60598,2.06214,78.26415,3.86606,916.67355,0.00049,0.03732,472324.93102,0.0
