Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,36.20651,49730629.55153,0,0.5523,62.91179,0,0,0,0.01082,0,0
0.0001,36.2642,49886756.40808,45648.27868,0.5523,62.67384,0.0,21777.47443,5e-05,0.01078,1411938.69108,0.0
0.0002,36.32186,50043017.70303,45791.2637,0.55021,62.43514,20.88948,21731.56781,9e-05,0.01073,1416361.33516,0.0
0.0003,36.37947,50199411.14584,45934.36965,0.54812,62.1957,20.95502,21685.74872,0.00014,0.01068,1420787.71942,0.0
0.0004,36.43704,50355934.43183,46077.5944,0.54601,61.95551,21.02062,21640.01669,0.00019,0.01064,1425217.7786,0.0
0.0005,36.49457,50512585.24216,46220.93585,0.5439,61.71457,21.08628,21594.37126,0.00024,0.01059,1429651.4471,0.0
0.0006,36.55206,50669361.24386,46364.39185,0.54179,61.47288,21.15199,21548.81198,0.00028,0.01054,1434088.65886,0.0
0.0007,36.6095,50826260.08986,46507.96026,0.53967,61.23044,21.21775,21503.33839,0.00033,0.01049,1438529.34748,0.0
0.0008,36.6669,50983279.41901,46651.63892,0.53754,60.98725,21.28356,21457.95006,0.00038,0.01045,1442973.44612,0.0
0.0009,36.72426,51140416.85613,46795.42565,0.5354,60.74331,21.34943,21412.64653,0.00043,0.0104,1447420.88755,0.0
0.001,36.78158,51297670.01202,46939.31826,0.53326,60.49862,21.41535,21367.42737,0.00047,0.01035,1451871.60415,0.0
0.0011,36.83884,51455036.48348,47083.31457,0.53111,60.25318,21.48131,21322.29213,0.00052,0.0103,1456325.52791,0.0
0.0012,36.89607,51612513.85336,47227.41235,0.52896,60.00699,21.54733,21277.2404,0.00057,0.01025,1460782.59042,0.0
0.0013,36.95324,51770099.69059,47371.60938,0.5268,59.76004,21.61339,21232.27174,0.00062,0.01021,1465242.72286,0.0
0.0014,37.01037,51927791.55018,47515.90343,0.52463,59.51233,21.6795,21187.38573,0.00067,0.01016,1469705.85604,0.0
0.0015,37.06745,52085586.97332,47660.29224,0.52246,59.26388,21.74565,21142.58195,0.00071,0.01011,1474171.92037,0.0
0.0016,37.12449,52243483.48733,47804.77355,0.52028,59.01467,21.81185,21097.85998,0.00076,0.01006,1478640.84586,0.0
0.0017,37.18147,52401478.60577,47949.34509,0.51809,58.7647,21.87809,21053.21942,0.00081,0.01001,1483112.56214,0.0
