Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,123.6875,2079374.00615,0,1.14725,76.67461,0,0,0,0.02003,0,0
0.0001,123.69001,2079436.55336,789.38996,1.14725,76.67212,0.0,300.25617,0.0,0.02003,67362.8961,0.0
0.0002,123.69253,2079499.09962,789.41371,1.14721,76.66963,0.37295,300.24221,0.0,0.02003,67364.92228,0.0
0.0003,123.69504,2079561.64491,789.43745,1.14717,76.66714,0.37297,300.22825,0.0,0.02003,67366.94842,0.0
0.0004,123.69756,2079624.18924,789.46119,1.14713,76.66464,0.37298,300.21429,0.0,0.02003,67368.97453,0.0
0.0005,123.70007,2079686.73261,789.48494,1.1471,76.66215,0.37299,300.20033,0.0,0.02003,67371.00061,0.0
0.0006,123.70259,2079749.27502,789.50868,1.14706,76.65966,0.373,300.18637,0.0,0.02003,67373.02665,0.0
0.0007,123.7051,2079811.81646,789.53242,1.14702,76.65716,0.37301,300.17242,1e-05,0.02003,67375.05267,0.0
0.0008,123.70762,2079874.35695,789.55616,1.14698,76.65467,0.37302,300.15846,1e-05,0.02003,67377.07866,0.0
0.0009,123.71013,2079936.89647,789.5799,1.14695,76.65218,0.37303,300.14451,1e-05,0.02003,67379.10461,0.0
0.001,123.71265,2079999.43503,789.60364,1.14691,76.64969,0.37304,300.13055,1e-05,0.02003,67381.13053,0.0
0.0011,123.71516,2080061.97263,789.62738,1.14687,76.64719,0.37306,300.1166,1e-05,0.02002,67383.15643,0.0
0.0012,123.71768,2080124.50927,789.65112,1.14684,76.6447,0.37307,300.10265,1e-05,0.02002,67385.18229,0.0
0.0013,123.72019,2080187.04494,789.67486,1.1468,76.64221,0.37308,300.0887,1e-05,0.02002,67387.20812,0.0
0.0014,123.72271,2080249.57965,789.6986,1.14676,76.63971,0.37309,300.07475,1e-05,0.02002,67389.23391,0.0
0.0015,123.72522,2080312.1134,789.72234,1.14672,76.63722,0.3731,300.0608,1e-05,0.02002,67391.25968,0.0
0.0016,123.72774,2080374.64618,789.74608,1.14669,76.63472,0.37311,300.04685,1e-05,0.02002,67393.28542,0.0
0.0017,123.73025,2080437.178,789.76982,1.14665,76.63223,0.37312,300.0329,1e-05,0.02002,67395.31112,0.0
0.0018,123.73277,2080499.70886,789.79356,1.14661,76.62974,0.37313,300.01896,1e-05,0.02002,67397.3368,0.0
0.0019,123.73528,2080562.23876,789.81729,1.14657,76.62724,0.37315,300.00501,1e-05,0.02002,67399.36244,0.0
0.002,123.7378,2080624.76769,789.84103,1.14654,76.62475,0.37316,299.99107,2e-05,0.02002,67401.38805,0.0
0.0021,123.74031,2080687.29566,789.86477,1.1465,76.62225,0.37317,299.97713,2e-05,0.02002,67403.41363,0.0
0.0022,123.74282,2080749.82266,789.8885,1.14646,76.61976,0.37318,299.96318,2e-05,0.02002,67405.43918,0.0
0.0023,123.74534,2080812.3487,789.91224,1.14642,76.61727,0.37319,299.94924,2e-05,0.02002,67407.4647,0.0
0.0024,123.74785,2080874.87378,789.93597,1.14639,76.61477,0.3732,299.9353,2e-05,0.02001,67409.49018,0.0
0.0025,123.75037,2080937.39789,789.95971,1.14635,76.61228,0.37321,299.92136,2e-05,0.02001,67411.51564,0.0
0.0026,123.75288,2080999.92103,789.98344,1.14631,76.60978,0.37322,299.90743,2e-05,0.02001,67413.54106,0.0
0.0027,123.75539,2081062.44322,790.00718,1.14628,76.60729,0.37324,299.89349,2e-05,0.02001,67415.56645,0.0
0.0028,123.75791,2081124.96444,790.03091,1.14624,76.60479,0.37325,299.87955,2e-05,0.02001,67417.59181,0.0
0.0029,123.76042,2081187.48469,790.05465,1.1462,76.6023,0.37326,299.86562,2e-05,0.02001,67419.61714,0.0
0.003,123.76294,2081250.00398,790.07838,1.14616,76.5998,0.37327,299.85168,2e-05,0.02001,67421.64244,0.0
0.0031,123.76545,2081312.5223,790.10211,1.14613,76.59731,0.37328,299.83775,2e-05,0.02001,67423.66771,0.0
0.0032,123.76796,2081375.03966,790.12585,1.14609,76.59481,0.37329,299.82382,2e-05,0.02001,67425.69295,0.0
0.0033,123.77048,2081437.55605,790.14958,1.14605,76.59232,0.3733,299.80988,3e-05,0.02001,67427.71815,0.0
0.0034,123.77299,2081500.07148,790.17331,1.14601,76.58982,0.37331,299.79595,3e-05,0.02001,67429.74333,0.0
0.0035,123.7755,2081562.58594,790.19704,1.14598,76.58733,0.37332,299.78202,3e-05,0.02001,67431.76847,0.0
0.0036,123.77802,2081625.09944,790.22077,1.14594,76.58483,0.37334,299.7681,3e-05,0.02001,67433.79358,0.0
0.0037,123.78053,2081687.61197,790.2445,1.1459,76.58234,0.37335,299.75417,3e-05,0.02,67435.81866,0.0
0.0038,123.78304,2081750.12353,790.26823,1.14586,76.57984,0.37336,299.74024,3e-05,0.02,67437.84371,0.0
0.0039,123.78556,2081812.63413,790.29196,1.14583,76.57735,0.37337,299.72632,3e-05,0.02,67439.86872,0.0
0.004,123.78807,2081875.14376,790.31569,1.14579,76.57485,0.37338,299.71239,3e-05,0.02,67441.89371,0.0
0.0041,123.79058,2081937.65243,790.33942,1.14575,76.57236,0.37339,299.69847,3e-05,0.02,67443.91867,0.0
0.0042,123.7931,2082000.16013,790.36315,1.14572,76.56986,0.3734,299.68454,3e-05,0.02,67445.94359,0.0
0.0043,123.79561,2082062.66686,790.38688,1.14568,76.56737,0.37341,299.67062,3e-05,0.02,67447.96848,0.0
0.0044,123.79812,2082125.17263,790.41061,1.14564,76.56487,0.37343,299.6567,3e-05,0.02,67449.99334,0.0
