Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,118.84448,20740442.56345,0,1.11273,0.51318,80.49785,0,0,0,0,0,0,0.02531,0.01633,0,0
0.0001,118.86911,20747800.91456,10688.65352,1.11273,0.51318,80.46826,0.0,0.0,2284.96895,4275.15852,1e-05,1e-05,0.0253,0.01632,1571240.57697,0.0
0.0002,118.89372,20755156.8804,10692.44309,1.11235,0.51296,80.43867,3.80115,5.97589,2283.78892,12812.5199,2e-05,2e-05,0.02529,0.01631,1571797.64767,0.0
0.0003,118.91832,20762510.45678,10696.23144,1.11197,0.51274,80.40906,3.8021,5.97801,2282.60954,12798.61505,3e-05,3e-05,0.02528,0.01631,1572354.53742,0.0
0.0004,118.94291,20769861.6395,10700.01855,1.11159,0.51253,80.37944,3.80306,5.98013,2281.43082,12784.73315,3e-05,3e-05,0.02527,0.0163,1572911.24589,0.0
0.0005,118.96749,20777210.42437,10703.80443,1.11121,0.51231,80.34981,3.80401,5.98225,2280.25276,12770.87414,4e-05,4e-05,0.02527,0.01629,1573467.77278,0.0
0.0006,118.99205,20784556.80721,10707.58907,1.11083,0.51209,80.32017,3.80496,5.98436,2279.07536,12757.03796,5e-05,5e-05,0.02526,0.01628,1574024.11775,0.0
0.0007,119.01661,20791900.78381,10711.37246,1.11045,0.51187,80.29052,3.80592,5.98648,2277.8986,12743.22458,6e-05,6e-05,0.02525,0.01627,1574580.2805,0.0
0.0008,119.04115,20799242.34998,10715.15462,1.11006,0.51165,80.26086,3.80687,5.9886,2276.7225,12729.43392,7e-05,7e-05,0.02524,0.01626,1575136.26071,0.0
0.0009,119.06568,20806581.50154,10718.93554,1.10968,0.51144,80.23119,3.80782,5.99071,2275.54706,12715.66593,8e-05,8e-05,0.02523,0.01625,1575692.05806,0.0
0.001,119.0902,20813918.2343,10722.7152,1.1093,0.51122,80.20151,3.80877,5.99283,2274.37227,12701.92058,9e-05,9e-05,0.02522,0.01624,1576247.67223,0.0
0.0011,119.11471,20821252.54405,10726.49362,1.10892,0.511,80.17182,3.80972,5.99494,2273.19813,12688.19779,0.0001,0.0001,0.02521,0.01624,1576803.10291,0.0
0.0012,119.1392,20828584.42661,10730.27079,1.10854,0.51078,80.14212,3.81067,5.99705,2272.02464,12674.49751,0.0001,0.0001,0.0252,0.01623,1577358.34977,0.0
0.0013,119.16369,20835913.87779,10734.04671,1.10816,0.51056,80.11241,3.81162,5.99917,2270.8518,12660.81971,0.00011,0.00011,0.0252,0.01622,1577913.41251,0.0
0.0014,119.18816,20843240.8934,10737.82137,1.10778,0.51034,80.08269,3.81257,6.00128,2269.67961,12647.16431,0.00012,0.00012,0.02519,0.01621,1578468.29079,0.0
0.0015,119.21262,20850565.46926,10741.59478,1.1074,0.51012,80.05295,3.81352,6.00339,2268.50808,12633.53127,0.00013,0.00013,0.02518,0.0162,1579022.98432,0.0
0.0016,119.23707,20857887.60116,10745.36692,1.10702,0.5099,80.02321,3.81447,6.0055,2267.33719,12619.92054,0.00014,0.00014,0.02517,0.01619,1579577.49276,0.0
0.0017,119.26151,20865207.28492,10749.13781,1.10663,0.50969,79.99346,3.81541,6.00761,2266.16695,12606.33206,0.00015,0.00015,0.02516,0.01618,1580131.8158,0.0
0.0018,119.28593,20872524.51635,10752.90743,1.10625,0.50947,79.96369,3.81636,6.00972,2264.99736,12592.76578,0.00016,0.00016,0.02515,0.01617,1580685.95313,0.0
0.0019,119.31035,20879839.29127,10756.67578,1.10587,0.50925,79.93392,3.81731,6.01183,2263.82842,12579.22165,0.00017,0.00017,0.02514,0.01617,1581239.90442,0.0
0.002,119.33475,20887151.60548,10760.44287,1.10549,0.50903,79.90413,3.81825,6.01394,2262.66012,12565.69962,0.00017,0.00017,0.02513,0.01616,1581793.66936,0.0
0.0021,119.35914,20894461.4548,10764.20869,1.10511,0.50881,79.87434,3.8192,6.01604,2261.49247,12552.19964,0.00018,0.00018,0.02513,0.01615,1582347.24764,0.0
0.0022,119.38352,20901768.83503,10767.97324,1.10472,0.50859,79.84453,3.82014,6.01815,2260.32547,12538.72165,0.00019,0.00019,0.02512,0.01614,1582900.63893,0.0
0.0023,119.40788,20909073.742,10771.73651,1.10434,0.50837,79.81471,3.82109,6.02026,2259.15911,12525.2656,0.0002,0.0002,0.02511,0.01613,1583453.84292,0.0
0.0024,119.43224,20916376.17151,10775.4985,1.10396,0.50815,79.78489,3.82203,6.02236,2257.9934,12511.83145,0.00021,0.00021,0.0251,0.01612,1584006.85929,0.0
0.0025,119.45658,20923676.11938,10779.25922,1.10358,0.50793,79.75505,3.82298,6.02447,2256.82834,12498.41913,0.00022,0.00022,0.02509,0.01611,1584559.68773,0.0
0.0026,119.48091,20930973.58142,10783.01866,1.1032,0.50771,79.7252,3.82392,6.02657,2255.66391,12485.02861,0.00023,0.00023,0.02508,0.0161,1585112.32791,0.0
0.0027,119.50523,20938268.55344,10786.77681,1.10281,0.50749,79.69534,3.82486,6.02867,2254.50013,12471.65982,0.00024,0.00024,0.02507,0.0161,1585664.77952,0.0
0.0028,119.52954,20945561.03126,10790.53368,1.10243,0.50727,79.66547,3.8258,6.03077,2253.33699,12458.31273,0.00024,0.00024,0.02506,0.01609,1586217.04224,0.0
0.0029,119.55384,20952851.0107,10794.28926,1.10205,0.50705,79.6356,3.82675,6.03288,2252.1745,12444.98727,0.00025,0.00025,0.02506,0.01608,1586769.11576,0.0
0.003,119.57812,20960138.48756,10798.04355,1.10167,0.50682,79.60571,3.82769,6.03498,2251.01265,12431.68339,0.00026,0.00026,0.02505,0.01607,1587320.99976,0.0
0.0031,119.60239,20967423.45767,10801.79656,1.10128,0.5066,79.57581,3.82863,6.03708,2249.85143,12418.40106,0.00027,0.00027,0.02504,0.01606,1587872.69393,0.0
0.0032,119.62665,20974705.91684,10805.54826,1.1009,0.50638,79.5459,3.82957,6.03918,2248.69086,12405.14021,0.00028,0.00028,0.02503,0.01605,1588424.19793,0.0
0.0033,119.6509,20981985.86089,10809.29868,1.10052,0.50616,79.51598,3.83051,6.04127,2247.53093,12391.9008,0.00029,0.00029,0.02502,0.01604,1588975.51147,0.0
0.0034,119.67514,20989263.28562,10813.04779,1.10013,0.50594,79.48605,3.83144,6.04337,2246.37164,12378.68278,0.0003,0.0003,0.02501,0.01603,1589526.63422,0.0
0.0035,119.69936,20996538.18687,10816.7956,1.09975,0.50572,79.4561,3.83238,6.04547,2245.21299,12365.4861,0.00031,0.00031,0.025,0.01603,1590077.56586,0.0
0.0036,119.72357,21003810.56044,10820.54212,1.09937,0.5055,79.42615,3.83332,6.04757,2244.05497,12352.31071,0.00031,0.00031,0.02499,0.01602,1590628.30608,0.0
0.0037,119.74777,21011080.40216,10824.28732,1.09898,0.50528,79.39619,3.83426,6.04966,2242.8976,12339.15655,0.00032,0.00032,0.02499,0.01601,1591178.85456,0.0
0.0038,119.77196,21018347.70783,10828.03122,1.0986,0.50505,79.36622,3.83519,6.05176,2241.74086,12326.02359,0.00033,0.00033,0.02498,0.016,1591729.21099,0.0
0.0039,119.79614,21025612.47329,10831.77382,1.09822,0.50483,79.33624,3.83613,6.05385,2240.58476,12312.91176,0.00034,0.00034,0.02497,0.01599,1592279.37504,0.0
0.004,119.8203,21032874.69435,10835.5151,1.09783,0.50461,79.30624,3.83707,6.05594,2239.42929,12299.82103,0.00035,0.00035,0.02496,0.01598,1592829.34641,0.0
0.0041,119.84446,21040134.36683,10839.25507,1.09745,0.50439,79.27624,3.838,6.05804,2238.27446,12286.75135,0.00036,0.00036,0.02495,0.01597,1593379.12477,0.0
0.0042,119.8686,21047391.48654,10842.99372,1.09706,0.50417,79.24623,3.83893,6.06013,2237.12026,12273.70266,0.00037,0.00037,0.02494,0.01596,1593928.70981,0.0
0.0043,119.89273,21054646.04931,10846.73106,1.09668,0.50394,79.2162,3.83987,6.06222,2235.9667,12260.67491,0.00038,0.00038,0.02493,0.01596,1594478.10121,0.0
