Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,190.26548,23532211.20417,0,3.0582,1.46422,72.2051,0,0,0,0,0,0,0.03058,0.02011,0,0
0.0001,190.2754,23534175.18096,16626.71409,3.0582,1.46422,72.19343,0.0,0.0,1048.40396,1555.75255,0.0,0.0,0.03058,0.02011,1401510.29638,0.0
0.0002,190.28531,23536138.71621,16628.10132,3.05776,1.46394,72.18176,4.44672,7.31021,1048.21523,4257.20356,1e-05,1e-05,0.03058,0.0201,1401627.22909,0.0
0.0003,190.29522,23538101.8098,16629.48823,3.05731,1.46365,72.17009,4.44699,7.31082,1048.02653,4255.93829,1e-05,1e-05,0.03057,0.0201,1401744.1355,0.0
0.0004,190.30513,23540064.46162,16630.87483,3.05687,1.46336,72.15841,4.44726,7.31143,1047.83787,4254.67356,2e-05,2e-05,0.03057,0.02009,1401861.0156,0.0
0.0005,190.31503,23542026.67154,16632.26111,3.05642,1.46308,72.14674,4.44753,7.31204,1047.64925,4253.40936,2e-05,2e-05,0.03056,0.02009,1401977.86938,0.0
0.0006,190.32494,23543988.43945,16633.64709,3.05598,1.46279,72.13506,4.44779,7.31265,1047.46066,4252.14571,3e-05,3e-05,0.03056,0.02008,1402094.69684,0.0
0.0007,190.33484,23545949.76522,16635.03275,3.05553,1.46251,72.12338,4.44806,7.31326,1047.27211,4250.88258,3e-05,3e-05,0.03055,0.02008,1402211.49797,0.0
0.0008,190.34473,23547910.64875,16636.4181,3.05509,1.46222,72.1117,4.44833,7.31387,1047.0836,4249.61999,4e-05,4e-05,0.03055,0.02008,1402328.27277,0.0
0.0009,190.35463,23549871.0899,16637.80313,3.05465,1.46193,72.10003,4.4486,7.31448,1046.89513,4248.35794,4e-05,4e-05,0.03054,0.02007,1402445.02122,0.0
0.001,190.36452,23551831.08857,16639.18786,3.0542,1.46165,72.08834,4.44886,7.31509,1046.7067,4247.09643,4e-05,4e-05,0.03054,0.02007,1402561.74331,0.0
0.0011,190.37441,23553790.64463,16640.57227,3.05376,1.46136,72.07666,4.44913,7.3157,1046.5183,4245.83544,5e-05,5e-05,0.03054,0.02006,1402678.43905,0.0
0.0012,190.3843,23555749.75797,16641.95637,3.05331,1.46107,72.06498,4.4494,7.31631,1046.32994,4244.575,5e-05,5e-05,0.03053,0.02006,1402795.10843,0.0
0.0013,190.39418,23557708.42846,16643.34015,3.05287,1.46079,72.0533,4.44967,7.31692,1046.14162,4243.31508,6e-05,6e-05,0.03053,0.02005,1402911.75143,0.0
0.0014,190.40407,23559666.65599,16644.72362,3.05242,1.4605,72.04161,4.44993,7.31752,1045.95334,4242.05571,6e-05,6e-05,0.03052,0.02005,1403028.36806,0.0
0.0015,190.41395,23561624.44044,16646.10678,3.05198,1.46021,72.02993,4.4502,7.31813,1045.7651,4240.79686,7e-05,7e-05,0.03052,0.02004,1403144.95829,0.0
0.0016,190.42382,23563581.78169,16647.48963,3.05153,1.45993,72.01824,4.45047,7.31874,1045.57689,4239.53855,7e-05,7e-05,0.03051,0.02004,1403261.52214,0.0
0.0017,190.4337,23565538.67962,16648.87216,3.05109,1.45964,72.00656,4.45073,7.31935,1045.38872,4238.28077,8e-05,8e-05,0.03051,0.02004,1403378.05958,0.0
0.0018,190.44357,23567495.13412,16650.25438,3.05064,1.45935,71.99487,4.451,7.31996,1045.20058,4237.02352,8e-05,8e-05,0.0305,0.02003,1403494.57062,0.0
0.0019,190.45344,23569451.14507,16651.63629,3.05019,1.45906,71.98318,4.45127,7.32056,1045.01249,4235.76681,8e-05,8e-05,0.0305,0.02003,1403611.05524,0.0
0.002,190.46331,23571406.71234,16653.01788,3.04975,1.45878,71.97149,4.45153,7.32117,1044.82443,4234.51063,9e-05,9e-05,0.0305,0.02002,1403727.51344,0.0
0.0021,190.47317,23573361.83582,16654.39916,3.0493,1.45849,71.9598,4.4518,7.32178,1044.63641,4233.25498,9e-05,9e-05,0.03049,0.02002,1403843.94521,0.0
0.0022,190.48303,23575316.51539,16655.78013,3.04886,1.4582,71.94811,4.45207,7.32239,1044.44843,4231.99986,0.0001,0.0001,0.03049,0.02001,1403960.35054,0.0
