Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,205.11607,45987997.02829,0,4.02749,67.02286,0,0,0,0.02958,0,0
0.0001,205.12727,45992290.53445,23022.77474,4.02749,67.00366,0.0,2014.9148,1e-05,0.02957,3700813.37141,0.0
0.0002,205.13847,45996581.59978,23024.92276,4.02634,66.98447,11.5341,2014.30457,2e-05,0.02956,3701158.65606,0.0
0.0003,205.14965,46000870.22357,23027.06955,4.02518,66.96527,11.53517,2013.69456,3e-05,0.02955,3701503.74425,0.0
0.0004,205.16083,46005156.40507,23029.21512,4.02403,66.94607,11.53625,2013.08475,3e-05,0.02954,3701848.63592,0.0
0.0005,205.172,46009440.14356,23031.35947,4.02287,66.92687,11.53733,2012.47516,4e-05,0.02953,3702193.33101,0.0
0.0006,205.18317,46013721.43831,23033.5026,4.02172,66.90767,11.5384,2011.86578,5e-05,0.02952,3702537.82946,0.0
0.0007,205.19432,46018000.28858,23035.6445,4.02057,66.88846,11.53947,2011.25661,6e-05,0.02952,3702882.13121,0.0
0.0008,205.20548,46022276.69365,23037.78518,4.01941,66.86925,11.54055,2010.64765,7e-05,0.02951,3703226.23621,0.0
0.0009,205.21662,46026550.65278,23039.92463,4.01826,66.85004,11.54162,2010.03891,8e-05,0.0295,3703570.1444,0.0
0.001,205.22776,46030822.16526,23042.06286,4.0171,66.83083,11.54269,2009.43037,9e-05,0.02949,3703913.85571,0.0
0.0011,205.23889,46035091.23034,23044.19987,4.01595,66.81162,11.54376,2008.82205,0.0001,0.02948,3704257.37009,0.0
0.0012,205.25001,46039357.8473,23046.33565,4.0148,66.79241,11.54484,2008.21393,0.0001,0.02947,3704600.68748,0.0
0.0013,205.26113,46043622.01541,23048.4702,4.01364,66.77319,11.54591,2007.60603,0.00011,0.02946,3704943.80782,0.0
0.0014,205.27224,46047883.73395,23050.60353,4.01249,66.75398,11.54698,2006.99833,0.00012,0.02946,3705286.73105,0.0
0.0015,205.28335,46052143.00219,23052.73563,4.01133,66.73476,11.54805,2006.39085,0.00013,0.02945,3705629.45712,0.0
0.0016,205.29444,46056399.8194,23054.8665,4.01018,66.71553,11.54911,2005.78358,0.00014,0.02944,3705971.98596,0.0
0.0017,205.30553,46060654.18485,23056.99615,4.00902,66.69631,11.55018,2005.17652,0.00015,0.02943,3706314.31752,0.0
0.0018,205.31662,46064906.09783,23059.12456,4.00787,66.67709,11.55125,2004.56966,0.00016,0.02942,3706656.45174,0.0
0.0019,205.32769,46069155.55759,23061.25175,4.00671,66.65786,11.55232,2003.96302,0.00016,0.02941,3706998.38856,0.0
0.002,205.33876,46073402.56343,23063.37772,4.00556,66.63863,11.55338,2003.35659,0.00017,0.0294,3707340.12792,0.0
0.0021,205.34982,46077647.1146,23065.50245,4.0044,66.6194,11.55445,2002.75037,0.00018,0.02939,3707681.66976,0.0
