Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,131.37638,177010976.26906,0,2.20598,69.24947,0,0,0,0.02354,0,0
0.0001,131.4889,177298086.10266,104737.982,2.20598,69.07974,0.0,17784.25165,6e-05,0.02348,2434298.67157,0.0
0.0002,131.60114,177584728.61478,104907.31467,2.20058,68.90973,54.07025,17742.47381,0.00013,0.02342,2438234.26672,0.0
0.0003,131.71311,177870899.5926,105076.36878,2.19516,68.73944,54.15788,17700.80257,0.00019,0.02335,2442163.3877,0.0
0.0004,131.82481,178156594.82291,105245.14185,2.18974,68.56888,54.24536,17659.23746,0.00025,0.02329,2446085.97669,0.0
0.0005,131.93624,178441810.09219,105413.63138,2.1843,68.39805,54.3327,17617.77801,0.00032,0.02323,2450001.97582,0.0
0.0006,132.0474,178726541.18675,105581.83489,2.17886,68.22694,54.41989,17576.42374,0.00038,0.02316,2453911.32724,0.0
0.0007,132.15828,179010783.8928,105749.74989,2.17341,68.05557,54.50694,17535.17419,0.00044,0.0231,2457813.9731,0.0
0.0008,132.26888,179294533.99659,105917.37388,2.16795,67.88391,54.59384,17494.02889,0.00051,0.02304,2461709.85555,0.0
0.0009,132.37922,179577787.28449,106084.70438,2.16248,67.71199,54.68059,17452.98738,0.00057,0.02297,2465598.91672,0.0
0.001,132.48927,179860539.54313,106251.7389,2.15701,67.5398,54.76718,17412.04921,0.00064,0.02291,2469481.09877,0.0
0.0011,132.59905,180142786.55945,106418.47496,2.15152,67.36733,54.85363,17371.21393,0.0007,0.02285,2473356.34386,0.0
0.0012,132.70854,180424524.12088,106584.91005,2.14603,67.19459,54.93992,17330.48108,0.00076,0.02278,2477224.59414,0.0
0.0013,132.81776,180705748.01539,106751.0417,2.14052,67.02159,55.02606,17289.85021,0.00083,0.02272,2481085.79178,0.0
0.0014,132.9267,180986454.03163,106916.86741,2.13501,66.84831,55.11204,17249.32089,0.00089,0.02265,2484939.87897,0.0
0.0015,133.03535,181266637.95903,107082.3847,2.12949,66.67477,55.19787,17208.89267,0.00095,0.02259,2488786.7979,0.0
0.0016,133.14372,181546295.58789,107247.59109,2.12396,66.50096,55.28353,17168.56511,0.00102,0.02253,2492626.49075,0.0
0.0017,133.25181,181825422.70954,107412.48408,2.11843,66.32688,55.36904,17128.33778,0.00108,0.02246,2496458.89975,0.0
0.0018,133.35961,182104015.11637,107577.06119,2.11288,66.15253,55.45439,17088.21025,0.00115,0.0224,2500283.96713,0.0
0.0019,133.46712,182382068.60203,107741.31993,2.10733,65.97791,55.53957,17048.18209,0.00121,0.02233,2504101.63514,0.0
0.002,133.57435,182659578.96147,107905.25783,2.10176,65.80303,55.62459,17008.25288,0.00128,0.02227,2507911.84604,0.0
0.0021,133.68129,182936541.99107,108068.87239,2.09619,65.62788,55.70944,16968.42219,0.00134,0.02221,2511714.5421,0.0
0.0022,133.78794,183212953.48877,108232.16114,2.09061,65.45247,55.79413,16928.6896,0.0014,0.02214,2515509.66565,0.0
0.0023,133.89431,183488809.25416,108395.12159,2.08503,65.27679,55.87865,16889.0547,0.00147,0.02208,2519297.15901,0.0
