Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,435.83113,15567602.38031,0,2.44135,1.07483,59.44417,0,0,0,0,0,0,0.02283,0.02302,0,0
0.0001,435.83513,15567812.45437,4832.50087,2.44135,1.07483,59.44044,0.0,0.0,178.07875,860.06017,0.0,0.0,0.02283,0.02302,596954.51483,0.0
0.0002,435.83913,15568022.49173,4832.56607,2.44118,1.07478,59.43671,1.68627,2.20509,178.0698,4188.51291,0.0,0.0,0.02283,0.02302,596962.5688,0.0
0.0003,435.84313,15568232.49238,4832.63126,2.44101,1.07472,59.43298,1.68627,2.20512,178.06085,4187.62716,0.0,0.0,0.02283,0.02302,596970.62137,0.0
0.0004,435.84713,15568442.45633,4832.69644,2.44085,1.07467,59.42925,1.68626,2.20515,178.0519,4186.74169,1e-05,1e-05,0.02283,0.02302,596978.67253,0.0
0.0005,435.85113,15568652.38356,4832.7616,2.44068,1.07462,59.42553,1.68626,2.20518,178.04295,4185.8565,1e-05,1e-05,0.02282,0.02301,596986.72228,0.0
0.0006,435.85512,15568862.27409,4832.82675,2.44051,1.07457,59.4218,1.68626,2.20521,178.034,4184.97159,1e-05,1e-05,0.02282,0.02301,596994.77062,0.0
0.0007,435.85912,15569072.12791,4832.8919,2.44034,1.07452,59.41807,1.68626,2.20524,178.02505,4184.08696,1e-05,1e-05,0.02282,0.02301,597002.81756,0.0
0.0008,435.86311,15569281.94502,4832.95703,2.44017,1.07446,59.41434,1.68626,2.20527,178.0161,4183.20261,1e-05,1e-05,0.02282,0.02301,597010.86309,0.0
0.0009,435.86711,15569491.72542,4833.02215,2.44,1.07441,59.41061,1.68626,2.2053,178.00715,4182.31854,1e-05,1e-05,0.02282,0.02301,597018.90721,0.0
0.001,435.8711,15569701.4691,4833.08725,2.43983,1.07436,59.40689,1.68625,2.20533,177.9982,4181.43475,1e-05,1e-05,0.02282,0.02301,597026.94992,0.0
0.0011,435.87509,15569911.17607,4833.15235,2.43966,1.07431,59.40316,1.68625,2.20536,177.98925,4180.55124,2e-05,2e-05,0.02282,0.02301,597034.99122,0.0
0.0012,435.87909,15570120.84633,4833.21743,2.4395,1.07426,59.39943,1.68625,2.20539,177.9803,4179.66801,2e-05,2e-05,0.02281,0.023,597043.03112,0.0
0.0013,435.88308,15570330.47986,4833.28251,2.43933,1.0742,59.3957,1.68625,2.20541,177.97136,4178.78506,2e-05,2e-05,0.02281,0.023,597051.06961,0.0
0.0014,435.88707,15570540.07668,4833.34757,2.43916,1.07415,59.39197,1.68625,2.20544,177.96241,4177.90239,2e-05,2e-05,0.02281,0.023,597059.10669,0.0
0.0015,435.89106,15570749.63678,4833.41262,2.43899,1.0741,59.38824,1.68625,2.20547,177.95346,4177.02,2e-05,2e-05,0.02281,0.023,597067.14236,0.0
0.0016,435.89505,15570959.16016,4833.47766,2.43882,1.07405,59.38451,1.68625,2.2055,177.94452,4176.13788,2e-05,2e-05,0.02281,0.023,597075.17663,0.0
0.0017,435.89904,15571168.64682,4833.54269,2.43865,1.074,59.38079,1.68624,2.20553,177.93557,4175.25605,2e-05,2e-05,0.02281,0.023,597083.20948,0.0
0.0018,435.90302,15571378.09675,4833.60771,2.43848,1.07394,59.37706,1.68624,2.20556,177.92663,4174.37449,3e-05,3e-05,0.02281,0.023,597091.24093,0.0
0.0019,435.90701,15571587.50996,4833.67271,2.43832,1.07389,59.37333,1.68624,2.20559,177.91768,4173.49321,3e-05,3e-05,0.0228,0.02299,597099.27097,0.0
0.002,435.911,15571796.88645,4833.7377,2.43815,1.07384,59.3696,1.68624,2.20562,177.90874,4172.61221,3e-05,3e-05,0.0228,0.02299,597107.2996,0.0
0.0021,435.91498,15572006.22621,4833.80269,2.43798,1.07379,59.36587,1.68624,2.20565,177.89979,4171.73149,3e-05,3e-05,0.0228,0.02299,597115.32683,0.0
0.0022,435.91897,15572215.52924,4833.86766,2.43781,1.07374,59.36214,1.68624,2.20568,177.89085,4170.85104,3e-05,3e-05,0.0228,0.02299,597123.35264,0.0
0.0023,435.92295,15572424.79555,4833.93262,2.43764,1.07369,59.35841,1.68623,2.20571,177.8819,4169.97088,3e-05,3e-05,0.0228,0.02299,597131.37705,0.0
0.0024,435.92694,15572634.02512,4833.99757,2.43747,1.07363,59.35468,1.68623,2.20574,177.87296,4169.09099,3e-05,3e-05,0.0228,0.02299,597139.40005,0.0
0.0025,435.93092,15572843.21797,4834.0625,2.4373,1.07358,59.35095,1.68623,2.20577,177.86402,4168.21138,4e-05,4e-05,0.0228,0.02299,597147.42164,0.0
0.0026,435.9349,15573052.37408,4834.12743,2.43714,1.07353,59.34723,1.68623,2.2058,177.85507,4167.33205,4e-05,4e-05,0.02279,0.02298,597155.44182,0.0
0.0027,435.93888,15573261.49346,4834.19234,2.43697,1.07348,59.3435,1.68623,2.20583,177.84613,4166.45299,4e-05,4e-05,0.02279,0.02298,597163.4606,0.0
0.0028,435.94286,15573470.5761,4834.25725,2.4368,1.07343,59.33977,1.68623,2.20586,177.83719,4165.57422,4e-05,4e-05,0.02279,0.02298,597171.47796,0.0
0.0029,435.94684,15573679.62201,4834.32214,2.43663,1.07337,59.33604,1.68623,2.20589,177.82825,4164.69572,4e-05,4e-05,0.02279,0.02298,597179.49392,0.0
0.003,435.95082,15573888.63119,4834.38702,2.43646,1.07332,59.33231,1.68622,2.20592,177.81931,4163.81749,4e-05,4e-05,0.02279,0.02298,597187.50846,0.0
0.0031,435.9548,15574097.60362,4834.45188,2.43629,1.07327,59.32858,1.68622,2.20595,177.81037,4162.93955,4e-05,4e-05,0.02279,0.02298,597195.5216,0.0
0.0032,435.95878,15574306.53932,4834.51674,2.43612,1.07322,59.32485,1.68622,2.20598,177.80143,4162.06188,5e-05,5e-05,0.02279,0.02297,597203.53333,0.0
0.0033,435.96276,15574515.43828,4834.58159,2.43596,1.07317,59.32112,1.68622,2.20601,177.79249,4161.18449,5e-05,5e-05,0.02278,0.02297,597211.54365,0.0
0.0034,435.96673,15574724.30049,4834.64642,2.43579,1.07311,59.31739,1.68622,2.20604,177.78355,4160.30737,5e-05,5e-05,0.02278,0.02297,597219.55256,0.0
0.0035,435.97071,15574933.12597,4834.71124,2.43562,1.07306,59.31366,1.68622,2.20607,177.77461,4159.43053,5e-05,5e-05,0.02278,0.02297,597227.56007,0.0
0.0036,435.97468,15575141.9147,4834.77606,2.43545,1.07301,59.30993,1.68621,2.2061,177.76567,4158.55397,5e-05,5e-05,0.02278,0.02297,597235.56616,0.0
0.0037,435.97866,15575350.66668,4834.84086,2.43528,1.07296,59.3062,1.68621,2.20613,177.75673,4157.67768,5e-05,5e-05,0.02278,0.02297,597243.57085,0.0
0.0038,435.98263,15575559.38193,4834.90564,2.43511,1.07291,59.30247,1.68621,2.20616,177.74779,4156.80167,5e-05,5e-05,0.02278,0.02297,597251.57412,0.0
0.0039,435.9866,15575768.06042,4834.97042,2.43494,1.07285,59.29874,1.68621,2.20619,177.73885,4155.92594,6e-05,6e-05,0.02278,0.02296,597259.57599,0.0
0.004,435.99057,15575976.70216,4835.03519,2.43477,1.0728,59.29501,1.68621,2.20621,177.72991,4155.05048,6e-05,6e-05,0.02277,0.02296,597267.57645,0.0
0.0041,435.99455,15576185.30716,4835.09994,2.43461,1.07275,59.29128,1.68621,2.20624,177.72098,4154.1753,6e-05,6e-05,0.02277,0.02296,597275.5755,0.0
0.0042,435.99852,15576393.87541,4835.16468,2.43444,1.0727,59.28755,1.6862,2.20627,177.71204,4153.3004,6e-05,6e-05,0.02277,0.02296,597283.57314,0.0
0.0043,436.00249,15576602.4069,4835.22942,2.43427,1.07265,59.28382,1.6862,2.2063,177.7031,4152.42577,6e-05,6e-05,0.02277,0.02296,597291.56937,0.0
0.0044,436.00646,15576810.90165,4835.29414,2.4341,1.07259,59.28009,1.6862,2.20633,177.69417,4151.55141,6e-05,6e-05,0.02277,0.02296,597299.56419,0.0
0.0045,436.01042,15577019.35963,4835.35885,2.43393,1.07254,59.27636,1.6862,2.20636,177.68523,4150.67733,6e-05,6e-05,0.02277,0.02296,597307.5576,0.0
0.0046,436.01439,15577227.78087,4835.42354,2.43376,1.07249,59.27263,1.6862,2.20639,177.6763,4149.80353,7e-05,7e-05,0.02277,0.02295,597315.5496,0.0
0.0047,436.01836,15577436.16535,4835.48823,2.43359,1.07244,59.2689,1.6862,2.20642,177.66736,4148.93,7e-05,7e-05,0.02276,0.02295,597323.5402,0.0
0.0048,436.02233,15577644.51307,4835.5529,2.43343,1.07239,59.26517,1.68619,2.20645,177.65843,4148.05675,7e-05,7e-05,0.02276,0.02295,597331.52938,0.0
