Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,1163.50451,462676588.32259,0,3.81399,0.58942,1.62133,71.61423,0,0,0,0,0,0,0,0,0,0.03095,0.01647,0.0223,0,0
0.0001,1163.7963,462872949.64837,75292.56282,3.81399,0.58942,1.62133,71.57176,0.0,0.0,0.0,4312.81235,9313.28122,3970.48687,2e-05,2e-05,2e-05,0.03094,0.01645,0.02229,10697717.97943,0.0
0.0002,1164.08787,463069199.96128,75324.48559,3.81204,0.58896,1.62017,71.52927,19.47224,24.07845,35.73083,4310.47591,53636.6431,13299.31476,3e-05,3e-05,3e-05,0.03092,0.01644,0.02227,10702253.63117,0.0
0.0003,1164.37923,463265339.06214,75356.39028,3.8101,0.5885,1.619,71.48676,19.47869,24.08949,35.74599,4308.14061,53509.66972,13289.76089,5e-05,5e-05,5e-05,0.0309,0.01642,0.02225,10706786.71263,0.0
0.0004,1164.67037,463461366.75186,75388.27684,3.80815,0.58804,1.61784,71.44423,19.48512,24.10053,35.76114,4305.80642,53383.16426,13280.21468,7e-05,7e-05,7e-05,0.03089,0.0164,0.02223,10711317.21921,0.0
0.0005,1164.96129,463657282.8314,75420.14525,3.8062,0.58757,1.61667,71.40169,19.49156,24.11156,35.77628,4303.47336,53257.12432,13270.67611,8e-05,8e-05,8e-05,0.03087,0.01639,0.02222,10715845.14629,0.0
0.0006,1165.252,463853087.10177,75451.99547,3.80425,0.58711,1.6155,71.35913,19.49799,24.12258,35.79142,4301.14143,53131.54756,13261.14517,0.0001,0.0001,0.0001,0.03085,0.01637,0.0222,10720370.48929,0.0
0.0007,1165.5425,464048779.36402,75483.82747,3.8023,0.58665,1.61433,71.31655,19.50442,24.1336,35.80654,4298.81062,53006.43163,13251.62185,0.00012,0.00012,0.00012,0.03084,0.01635,0.02218,10724893.24361,0.0
0.0008,1165.83277,464244359.4193,75515.64122,3.80035,0.58619,1.61317,71.27395,19.51084,24.14461,35.82166,4296.48093,52881.77419,13242.10615,0.00013,0.00013,0.00013,0.03082,0.01634,0.02217,10729413.40465,0.0
0.0009,1166.12283,464439827.06877,75547.43668,3.7984,0.58572,1.612,71.23133,19.51726,24.15562,35.83677,4294.15236,52757.57294,13232.59805,0.00015,0.00015,0.00015,0.0308,0.01632,0.02215,10733930.96782,0.0
0.001,1166.41268,464635182.11367,75579.21383,3.79644,0.58526,1.61083,71.1887,19.52368,24.16662,35.85186,4291.82492,52633.82558,13223.09754,0.00017,0.00017,0.00017,0.03079,0.0163,0.02213,10738445.92852,0.0
0.0011,1166.7023,464830424.35531,75610.97263,3.79449,0.58479,1.60966,71.14605,19.53009,24.17762,35.86696,4289.49859,52510.52982,13213.60461,0.00019,0.00019,0.00019,0.03077,0.01629,0.02212,10742958.28216,0.0
0.0012,1166.99171,465025553.59503,75642.71304,3.79254,0.58433,1.60849,71.10338,19.5365,24.18861,35.88204,4287.17339,52387.68338,13204.11926,0.0002,0.0002,0.0002,0.03075,0.01627,0.0221,10747468.02415,0.0
0.0013,1167.2809,465220569.63426,75674.43505,3.79058,0.58386,1.60732,71.06069,19.5429,24.1996,35.89711,4284.8493,52265.28402,13194.64148,0.00022,0.00022,0.00022,0.03074,0.01625,0.02208,10751975.14989,0.0
0.0014,1167.56987,465415472.27445,75706.1386,3.78863,0.5834,1.60615,71.01798,19.5493,24.21058,35.91218,4282.52634,52143.32949,13185.17124,0.00024,0.00024,0.00024,0.03072,0.01623,0.02207,10756479.65481,0.0
0.0015,1167.85863,465610261.31715,75737.82368,3.78667,0.58293,1.60498,70.97526,19.5557,24.22155,35.92723,4280.20449,52021.81757,13175.70856,0.00025,0.00025,0.00025,0.0307,0.01622,0.02205,10760981.53431,0.0
0.0016,1168.14716,465804936.56394,75769.49025,3.78472,0.58246,1.60381,70.93252,19.56209,24.23252,35.94228,4277.88376,51900.74603,13166.2534,0.00027,0.00027,0.00027,0.03068,0.0162,0.02203,10765480.78382,0.0
0.0017,1168.43548,465999497.81648,75801.13828,3.78276,0.582,1.60264,70.88976,19.56848,24.24349,35.95732,4275.56414,51780.11269,13156.80578,0.00029,0.00029,0.00029,0.03067,0.01618,0.02202,10769977.39873,0.0
0.0018,1168.72358,466193944.87647,75832.76773,3.7808,0.58153,1.60147,70.84698,19.57486,24.25445,35.97235,4273.24564,51659.91535,13147.36567,0.0003,0.0003,0.0003,0.03065,0.01617,0.022,10774471.37448,0.0
0.0019,1169.01147,466388277.54568,75864.37857,3.77884,0.58106,1.60029,70.80419,19.58124,24.2654,35.98737,4270.92826,51540.15184,13137.93306,0.00032,0.00032,0.00032,0.03063,0.01615,0.02198,10778962.70648,0.0
0.002,1169.29913,466582495.62594,75895.97078,3.77688,0.58059,1.59912,70.76138,19.58762,24.27635,36.00238,4268.61198,51420.82001,13128.50795,0.00034,0.00034,0.00034,0.03062,0.01613,0.02196,10783451.39014,0.0
0.0021,1169.58657,466776598.91915,75927.54431,3.77492,0.58012,1.59795,70.71855,19.59399,24.28729,36.01738,4266.29683,51301.91771,13119.09034,0.00035,0.00035,0.00035,0.0306,0.01612,0.02195,10787937.4209,0.0
0.0022,1169.8738,466970587.22727,75959.09914,3.77296,0.57965,1.59678,70.6757,19.60036,24.29823,36.03238,4263.98278,51183.44281,13109.6802,0.00037,0.00037,0.00037,0.03058,0.0161,0.02193,10792420.79418,0.0
0.0023,1170.1608,467164460.3523,75990.63524,3.771,0.57918,1.5956,70.63283,19.60672,24.30916,36.04736,4261.66985,51065.39319,13100.27752,0.00039,0.00039,0.00039,0.03057,0.01608,0.02191,10796901.50539,0.0
0.0024,1170.44759,467358218.09632,76022.15256,3.76904,0.57871,1.59443,70.58995,19.61308,24.32009,36.06234,4259.35803,50947.76675,13090.88231,0.00041,0.00041,0.00041,0.03055,0.01607,0.0219,10801379.54996,0.0
0.0025,1170.73416,467551860.26148,76053.65108,3.76708,0.57824,1.59325,70.54705,19.61944,24.33101,36.07731,4257.04732,50830.56139,13081.49455,0.00042,0.00042,0.00042,0.03053,0.01605,0.02188,10805854.92333,0.0
