Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,184.57873,20565044.76396,0,1.58127,0.912,1.62798,70.34139,0,0,0,0,0,0,0,0,0,0.01557,0.0135,0.02473,0,0
0.0001,184.59723,20568384.49629,18511.44198,1.58127,0.912,1.62798,70.32852,0.0,0.0,0.0,1717.39171,2009.98961,1539.84064,0.0,0.0,0.0,0.01556,0.0135,0.02472,949228.1172,0.0
0.0002,184.61572,20571724.18354,18514.44768,1.58094,0.91179,1.62777,70.31565,3.27918,5.38293,7.54089,1717.14931,5356.90541,6056.70121,1e-05,1e-05,1e-05,0.01556,0.0135,0.02472,949382.2433,0.0
0.0003,184.63421,20575063.82556,18517.45334,1.58061,0.91158,1.62755,70.30278,3.27969,5.38385,7.54212,1716.90696,5355.58738,6055.40407,1e-05,1e-05,1e-05,0.01556,0.01349,0.02472,949536.36732,0.0
0.0004,184.6527,20578403.42217,18520.45896,1.58028,0.91137,1.62734,70.2899,3.2802,5.38477,7.54334,1716.66466,5354.26987,6054.10733,2e-05,2e-05,2e-05,0.01555,0.01349,0.02471,949690.48925,0.0
0.0005,184.67119,20581742.9732,18523.46454,1.57995,0.91116,1.62712,70.27702,3.28071,5.38569,7.54457,1716.42239,5352.95286,6052.81099,2e-05,2e-05,2e-05,0.01555,0.01348,0.02471,949844.60907,0.0
0.0006,184.68967,20585082.47851,18526.47008,1.57963,0.91095,1.62691,70.26414,3.28121,5.38661,7.54579,1716.18016,5351.63636,6051.51506,2e-05,2e-05,2e-05,0.01554,0.01348,0.0247,949998.72678,0.0
0.0007,184.70816,20588421.93791,18529.47558,1.5793,0.91074,1.62669,70.25126,3.28172,5.38753,7.54702,1715.93798,5350.32037,6050.21952,3e-05,3e-05,3e-05,0.01554,0.01348,0.0247,950152.84237,0.0
0.0008,184.72664,20591761.35125,18532.48103,1.57897,0.91053,1.62647,70.23837,3.28223,5.38845,7.54824,1715.69583,5349.00489,6048.92439,3e-05,3e-05,3e-05,0.01554,0.01347,0.0247,950306.95584,0.0
0.0009,184.74512,20595100.71836,18535.48644,1.57864,0.91032,1.62626,70.22548,3.28274,5.38937,7.54946,1715.45373,5347.68991,6047.62966,3e-05,3e-05,3e-05,0.01553,0.01347,0.02469,950461.06717,0.0
