Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,54.12896,11937927.33969,0,1.67908,87.40903,0,0,0,0.02283,0,0
0.0001,54.14922,11945498.96904,9503.32275,1.67908,87.38886,0.0,6866.13141,1e-05,0.02282,288260.9741,0.0
0.0002,54.16948,11953072.96997,9509.3483,1.67869,87.36867,3.87574,6862.68209,2e-05,0.02282,288443.74494,0.0
0.0003,54.18975,11960649.34125,9515.37574,1.67831,87.34847,3.8782,6859.23571,2e-05,0.02281,288626.57298,0.0
0.0004,54.21002,11968228.08161,9521.40505,1.67792,87.32825,3.88066,6855.79228,3e-05,0.0228,288809.45819,0.0
0.0005,54.23029,11975809.18982,9527.43626,1.67753,87.30802,3.88312,6852.35179,4e-05,0.02279,288992.40054,0.0
0.0006,54.25056,11983392.66461,9533.46934,1.67714,87.28778,3.88558,6848.91425,5e-05,0.02279,289175.4,0.0
0.0007,54.27083,11990978.50474,9539.50431,1.67675,87.26753,3.88804,6845.47963,5e-05,0.02278,289358.45654,0.0
0.0008,54.2911,11998566.70894,9545.54116,1.67636,87.24726,3.8905,6842.04795,6e-05,0.02277,289541.57012,0.0
0.0009,54.31137,12006157.27595,9551.57988,1.67597,87.22699,3.89297,6838.6192,7e-05,0.02276,289724.74072,0.0
0.001,54.33164,12013750.20452,9557.62049,1.67559,87.20669,3.89543,6835.19336,8e-05,0.02275,289907.96831,0.0
0.0011,54.35192,12021345.49337,9563.66297,1.6752,87.18639,3.89789,6831.77045,8e-05,0.02275,290091.25286,0.0
0.0012,54.3722,12028943.14126,9569.70733,1.67481,87.16607,3.90036,6828.35045,9e-05,0.02274,290274.59433,0.0
0.0013,54.39247,12036543.1469,9575.75357,1.67442,87.14574,3.90282,6824.93335,0.0001,0.02273,290457.9927,0.0
0.0014,54.41275,12044145.50904,9581.80168,1.67402,87.1254,3.90529,6821.51916,0.00011,0.02272,290641.44794,0.0
