Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,73.00154,2911683.55507,0,0.44636,68.03168,0,0,0,0.01357,0,0
0.0001,73.00396,2911845.07334,993.45802,0.44636,68.02383,0.0,466.5629,0.0,0.01357,124185.81773,0.0
0.0002,73.00639,2912006.57085,993.51312,0.44631,68.01598,0.51493,466.50739,0.0,0.01356,124192.70536,0.0
0.0003,73.00882,2912168.04761,993.56821,0.44626,68.00813,0.51496,466.45189,1e-05,0.01356,124199.5921,0.0
0.0004,73.01124,2912329.5036,993.6233,0.44621,68.00028,0.51498,466.3964,1e-05,0.01356,124206.47795,0.0
0.0005,73.01367,2912490.93883,993.67838,0.44616,67.99243,0.51501,466.34092,1e-05,0.01356,124213.36292,0.0
0.0006,73.01609,2912652.35328,993.73345,0.4461,67.98458,0.51504,466.28544,1e-05,0.01356,124220.24701,0.0
0.0007,73.01852,2912813.74696,993.78851,0.44605,67.97673,0.51507,466.22997,1e-05,0.01356,124227.1302,0.0
0.0008,73.02094,2912975.11985,993.84357,0.446,67.96888,0.5151,466.17451,1e-05,0.01355,124234.01252,0.0
0.0009,73.02336,2913136.47196,993.89862,0.44595,67.96103,0.51513,466.11906,2e-05,0.01355,124240.89394,0.0
0.001,73.02579,2913297.80329,993.95366,0.4459,67.95318,0.51516,466.06362,2e-05,0.01355,124247.77448,0.0
0.0011,73.02821,2913459.11382,994.0087,0.44585,67.94532,0.51518,466.00818,2e-05,0.01355,124254.65413,0.0
0.0012,73.03063,2913620.40356,994.06372,0.4458,67.93747,0.51521,465.95275,2e-05,0.01355,124261.5329,0.0
0.0013,73.03306,2913781.67249,994.11875,0.44574,67.92962,0.51524,465.89733,2e-05,0.01355,124268.41077,0.0
0.0014,73.03548,2913942.92062,994.17376,0.44569,67.92176,0.51527,465.84192,2e-05,0.01354,124275.28776,0.0
0.0015,73.0379,2914104.14794,994.22877,0.44564,67.91391,0.5153,465.78652,3e-05,0.01354,124282.16387,0.0
0.0016,73.04032,2914265.35445,994.28377,0.44559,67.90606,0.51533,465.73112,3e-05,0.01354,124289.03908,0.0
0.0017,73.04274,2914426.54014,994.33876,0.44554,67.8982,0.51536,465.67573,3e-05,0.01354,124295.91341,0.0
0.0018,73.04516,2914587.70501,994.39375,0.44549,67.89034,0.51538,465.62035,3e-05,0.01354,124302.78685,0.0
0.0019,73.04758,2914748.84905,994.44873,0.44543,67.88249,0.51541,465.56498,3e-05,0.01354,124309.6594,0.0
0.002,73.05,2914909.97227,994.5037,0.44538,67.87463,0.51544,465.50962,3e-05,0.01353,124316.53106,0.0
0.0021,73.05242,2915071.07465,994.55866,0.44533,67.86678,0.51547,465.45426,4e-05,0.01353,124323.40184,0.0
0.0022,73.05484,2915232.1562,994.61362,0.44528,67.85892,0.5155,465.39891,4e-05,0.01353,124330.27172,0.0
0.0023,73.05726,2915393.2169,994.66857,0.44523,67.85106,0.51553,465.34357,4e-05,0.01353,124337.14072,0.0
0.0024,73.05968,2915554.25676,994.72351,0.44518,67.8432,0.51555,465.28824,4e-05,0.01353,124344.00883,0.0
0.0025,73.06209,2915715.27576,994.77845,0.44513,67.83534,0.51558,465.23292,4e-05,0.01353,124350.87605,0.0
0.0026,73.06451,2915876.27392,994.83338,0.44507,67.82748,0.51561,465.1776,4e-05,0.01352,124357.74238,0.0
0.0027,73.06693,2916037.25121,994.8883,0.44502,67.81962,0.51564,465.12229,5e-05,0.01352,124364.60782,0.0
0.0028,73.06935,2916198.20764,994.94321,0.44497,67.81176,0.51567,465.06699,5e-05,0.01352,124371.47237,0.0
0.0029,73.07176,2916359.14321,994.99812,0.44492,67.8039,0.5157,465.0117,5e-05,0.01352,124378.33603,0.0
