Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,114.77039,10917874.68977,0,1.55916,80.36402,0,0,0,0.03405,0,0
0.0001,114.76987,10917793.55805,4729.32959,1.55916,80.35113,0.0,801.79245,0.0,0.03405,725306.04912,0.0
0.0002,114.76934,10917712.09161,4729.2943,1.55891,80.33824,2.50055,801.55458,1e-05,0.03404,725300.63702,0.0
0.0003,114.76881,10917630.29045,4729.25887,1.55866,80.32536,2.50053,801.31678,1e-05,0.03404,725295.2027,0.0
0.0004,114.76828,10917548.15459,4729.22329,1.55841,80.31247,2.50051,801.07908,2e-05,0.03403,725289.74613,0.0
0.0005,114.76775,10917465.68402,4729.18757,1.55816,80.29958,2.50049,800.84145,2e-05,0.03403,725284.26733,0.0
0.0006,114.76721,10917382.87875,4729.1517,1.55791,80.28669,2.50047,800.60391,3e-05,0.03403,725278.7663,0.0
0.0007,114.76667,10917299.73879,4729.11568,1.55766,80.2738,2.50046,800.36646,3e-05,0.03402,725273.24303,0.0
0.0008,114.76613,10917216.26416,4729.07952,1.55741,80.26092,2.50044,800.12908,3e-05,0.03402,725267.69753,0.0
0.0009,114.76559,10917132.45484,4729.04322,1.55716,80.24803,2.50042,799.8918,4e-05,0.03401,725262.12979,0.0
0.001,114.76505,10917048.31086,4729.00677,1.55691,80.23514,2.5004,799.65459,4e-05,0.03401,725256.53982,0.0
0.0011,114.7645,10916963.83221,4728.97018,1.55666,80.22225,2.50038,799.41747,5e-05,0.034,725250.92762,0.0
0.0012,114.76395,10916879.01891,4728.93344,1.55641,80.20936,2.50036,799.18043,5e-05,0.034,725245.29318,0.0
0.0013,114.7634,10916793.87096,4728.89655,1.55616,80.19648,2.50034,798.94348,6e-05,0.034,725239.63651,0.0
0.0014,114.76285,10916708.38837,4728.85952,1.55591,80.18359,2.50032,798.70661,6e-05,0.03399,725233.95761,0.0
0.0015,114.76229,10916622.57115,4728.82235,1.55566,80.1707,2.5003,798.46982,6e-05,0.03399,725228.25649,0.0
0.0016,114.76173,10916536.4193,4728.78503,1.55541,80.15782,2.50028,798.23312,7e-05,0.03398,725222.53313,0.0
0.0017,114.76117,10916449.93283,4728.74757,1.55516,80.14493,2.50026,797.9965,7e-05,0.03398,725216.78754,0.0
0.0018,114.76061,10916363.11175,4728.70996,1.55491,80.13204,2.50024,797.75997,8e-05,0.03397,725211.01972,0.0
0.0019,114.76005,10916275.95606,4728.6722,1.55466,80.11915,2.50022,797.52351,8e-05,0.03397,725205.22967,0.0
0.002,114.75948,10916188.46577,4728.6343,1.55441,80.10627,2.5002,797.28714,9e-05,0.03397,725199.41739,0.0
0.0021,114.75891,10916100.64089,4728.59626,1.55416,80.09338,2.50018,797.05086,9e-05,0.03396,725193.58289,0.0
0.0022,114.75834,10916012.48143,4728.55807,1.55391,80.08049,2.50016,796.81465,9e-05,0.03396,725187.72616,0.0
0.0023,114.75777,10915923.98739,4728.51974,1.55366,80.06761,2.50014,796.57854,0.0001,0.03395,725181.8472,0.0
0.0024,114.75719,10915835.15878,4728.48126,1.55341,80.05472,2.50012,796.3425,0.0001,0.03395,725175.94601,0.0
0.0025,114.75662,10915745.99562,4728.44264,1.55316,80.04184,2.5001,796.10655,0.00011,0.03394,725170.0226,0.0
0.0026,114.75604,10915656.49789,4728.40387,1.55291,80.02895,2.50008,795.87068,0.00011,0.03394,725164.07696,0.0
0.0027,114.75546,10915566.66562,4728.36496,1.55266,80.01606,2.50006,795.63489,0.00012,0.03394,725158.1091,0.0
0.0028,114.75487,10915476.49881,4728.3259,1.55241,80.00318,2.50004,795.39919,0.00012,0.03393,725152.11901,0.0
0.0029,114.75429,10915385.99747,4728.28669,1.55216,79.99029,2.50002,795.16357,0.00012,0.03393,725146.1067,0.0
0.003,114.7537,10915295.1616,4728.24735,1.55191,79.97741,2.5,794.92803,0.00013,0.03392,725140.07217,0.0
0.0031,114.75311,10915203.99121,4728.20785,1.55166,79.96452,2.49998,794.69257,0.00013,0.03392,725134.01541,0.0
0.0032,114.75252,10915112.48632,4728.16822,1.55141,79.95164,2.49996,794.4572,0.00014,0.03391,725127.93643,0.0
0.0033,114.75192,10915020.64692,4728.12843,1.55116,79.93875,2.49994,794.22191,0.00014,0.03391,725121.83523,0.0
0.0034,114.75133,10914928.47303,4728.08851,1.55091,79.92587,2.49992,793.9867,0.00014,0.03391,725115.7118,0.0
0.0035,114.75073,10914835.96465,4728.04843,1.55066,79.91298,2.4999,793.75158,0.00015,0.0339,725109.56616,0.0
0.0036,114.75013,10914743.12179,4728.00822,1.55041,79.9001,2.49987,793.51654,0.00015,0.0339,725103.39829,0.0
0.0037,114.74952,10914649.94446,4727.96785,1.55016,79.88721,2.49985,793.28158,0.00016,0.03389,725097.20821,0.0
0.0038,114.74892,10914556.43266,4727.92735,1.54991,79.87433,2.49983,793.0467,0.00016,0.03389,725090.9959,0.0
