Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,69.29462,4470070.53303,0,1.15707,89.99282,0,0,0,0.03056,0,0
0.0001,69.29913,4470541.29514,2101.04054,1.15707,89.98379,0.0,1390.60294,0.0,0.03056,137282.05667,0.0
0.0002,69.30364,4471011.971,2101.26175,1.15696,89.97476,1.16126,1390.16807,1e-05,0.03056,137296.51025,0.0
0.0003,69.30816,4471482.56055,2101.48292,1.15684,89.96572,1.16138,1389.7334,1e-05,0.03055,137310.96119,0.0
0.0004,69.31267,4471953.06378,2101.70404,1.15672,89.95669,1.1615,1389.29894,1e-05,0.03055,137325.40947,0.0
0.0005,69.31718,4472423.48065,2101.92512,1.15661,89.94765,1.16163,1388.86468,2e-05,0.03055,137339.85511,0.0
0.0006,69.32169,4472893.81113,2102.14617,1.15649,89.93862,1.16175,1388.43062,2e-05,0.03054,137354.29808,0.0
0.0007,69.3262,4473364.05518,2102.36717,1.15638,89.92958,1.16187,1387.99677,2e-05,0.03054,137368.73841,0.0
0.0008,69.3307,4473834.21277,2102.58813,1.15626,89.92054,1.16199,1387.56311,3e-05,0.03054,137383.17608,0.0
0.0009,69.33521,4474304.28387,2102.80905,1.15614,89.9115,1.16212,1387.12966,3e-05,0.03053,137397.61109,0.0
0.001,69.33971,4474774.26844,2103.02993,1.15603,89.90246,1.16224,1386.69642,3e-05,0.03053,137412.04345,0.0
0.0011,69.34422,4475244.16646,2103.25077,1.15591,89.89342,1.16236,1386.26337,4e-05,0.03053,137426.47315,0.0
0.0012,69.34872,4475713.97789,2103.47157,1.1558,89.88438,1.16248,1385.83053,4e-05,0.03053,137440.90019,0.0
0.0013,69.35322,4476183.70269,2103.69233,1.15568,89.87533,1.1626,1385.39789,4e-05,0.03052,137455.32457,0.0
0.0014,69.35773,4476653.34084,2103.91305,1.15556,89.86629,1.16273,1384.96545,5e-05,0.03052,137469.74629,0.0
0.0015,69.36223,4477122.8923,2104.13373,1.15545,89.85724,1.16285,1384.53322,5e-05,0.03052,137484.16535,0.0
0.0016,69.36673,4477592.35704,2104.35436,1.15533,89.8482,1.16297,1384.10118,5e-05,0.03051,137498.58174,0.0
0.0017,69.37122,4478061.73503,2104.57496,1.15521,89.83915,1.16309,1383.66935,5e-05,0.03051,137512.99547,0.0
0.0018,69.37572,4478531.02623,2104.79551,1.1551,89.8301,1.16321,1383.23772,6e-05,0.03051,137527.40654,0.0
0.0019,69.38022,4479000.23061,2105.01603,1.15498,89.82105,1.16334,1382.80629,6e-05,0.0305,137541.81494,0.0
0.002,69.38471,4479469.34814,2105.2365,1.15486,89.812,1.16346,1382.37506,6e-05,0.0305,137556.22067,0.0
0.0021,69.38921,4479938.37878,2105.45693,1.15475,89.80295,1.16358,1381.94403,7e-05,0.0305,137570.62373,0.0
0.0022,69.3937,4480407.32251,2105.67733,1.15463,89.7939,1.1637,1381.5132,7e-05,0.03049,137585.02413,0.0
0.0023,69.39819,4480876.17928,2105.89768,1.15452,89.78485,1.16382,1381.08257,7e-05,0.03049,137599.42185,0.0
0.0024,69.40268,4481344.94908,2106.11799,1.1544,89.77579,1.16395,1380.65215,8e-05,0.03049,137613.8169,0.0
0.0025,69.40717,4481813.63186,2106.33826,1.15428,89.76674,1.16407,1380.22192,8e-05,0.03048,137628.20929,0.0
0.0026,69.41166,4482282.22759,2106.55848,1.15417,89.75768,1.16419,1379.7919,8e-05,0.03048,137642.59899,0.0
0.0027,69.41615,4482750.73624,2106.77867,1.15405,89.74863,1.16431,1379.36207,9e-05,0.03048,137656.98603,0.0
0.0028,69.42064,4483219.15778,2106.99882,1.15393,89.73957,1.16443,1378.93244,9e-05,0.03047,137671.37039,0.0
0.0029,69.42512,4483687.49217,2107.21892,1.15382,89.73051,1.16455,1378.50302,9e-05,0.03047,137685.75207,0.0
0.003,69.42961,4484155.73938,2107.43899,1.1537,89.72145,1.16468,1378.07379,0.0001,0.03047,137700.13108,0.0
0.0031,69.43409,4484623.89938,2107.65901,1.15358,89.71239,1.1648,1377.64477,0.0001,0.03046,137714.5074,0.0
0.0032,69.43858,4485091.97214,2107.87899,1.15347,89.70333,1.16492,1377.21594,0.0001,0.03046,137728.88105,0.0
0.0033,69.44306,4485559.95762,2108.09893,1.15335,89.69427,1.16504,1376.78731,0.00011,0.03046,137743.25202,0.0
0.0034,69.44754,4486027.85579,2108.31883,1.15323,89.68521,1.16516,1376.35888,0.00011,0.03045,137757.62031,0.0
0.0035,69.45202,4486495.66662,2108.53869,1.15312,89.67614,1.16528,1375.93065,0.00011,0.03045,137771.98592,0.0
0.0036,69.4565,4486963.39007,2108.75851,1.153,89.66708,1.16541,1375.50262,0.00012,0.03045,137786.34884,0.0
0.0037,69.46098,4487431.02612,2108.97829,1.15289,89.65801,1.16553,1375.07479,0.00012,0.03044,137800.70908,0.0
0.0038,69.46545,4487898.57473,2109.19802,1.15277,89.64894,1.16565,1374.64716,0.00012,0.03044,137815.06663,0.0
0.0039,69.46993,4488366.03586,2109.41772,1.15265,89.63988,1.16577,1374.21973,0.00013,0.03044,137829.4215,0.0
0.004,69.47441,4488833.4095,2109.63737,1.15254,89.63081,1.16589,1373.79249,0.00013,0.03043,137843.77368,0.0
0.0041,69.47888,4489300.69559,2109.85698,1.15242,89.62174,1.16601,1373.36545,0.00013,0.03043,137858.12317,0.0
