Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,202.52526,319859115.69467,0,1.17328,0.58285,3.58858,73.71043,0,0,0,0,0,0,0,0,0,0.01853,0.01036,0.03675,0,0
0.0001,202.70576,320374491.62449,252521.43473,1.17328,0.58285,3.58858,73.54353,0.0,0.0,0.0,7608.81814,22606.0978,36390.675,6e-05,6e-05,6e-05,0.01847,0.0103,0.03668,14231232.64151,0.0
0.0002,202.88566,320888525.59043,252926.59993,1.16898,0.57977,3.58386,73.37636,42.97636,73.76853,121.02112,7591.09191,55723.93446,105441.48179,0.00012,0.00012,0.00012,0.01841,0.01024,0.03662,14254066.34752,0.0
0.0003,203.06496,321401208.0703,253330.69988,1.16468,0.57668,3.57912,73.20892,42.99355,73.85879,121.21589,7573.37924,55463.80234,104926.48785,0.00018,0.00018,0.00018,0.01835,0.01018,0.03656,14276840.01968,0.0
0.0004,203.24366,321912529.55332,253733.72708,1.16038,0.57359,3.57438,73.04121,43.01044,73.94865,121.41015,7555.68019,55205.27875,104415.07828,0.00024,0.00024,0.00024,0.01829,0.01011,0.0365,14299553.23553,0.0
0.0005,203.42175,322422480.54053,254135.67405,1.15607,0.57049,3.56962,72.87323,43.02706,74.03811,121.6039,7537.99482,54948.34933,103907.21671,0.00031,0.00031,0.00031,0.01822,0.01005,0.03644,14322205.5731,0.0
0.0006,203.59924,322931051.54502,254536.5333,1.15177,0.56738,3.56485,72.70499,43.04339,74.12717,121.79714,7520.32322,54692.99984,103402.86725,0.00037,0.00037,0.00037,0.01816,0.00999,0.03638,14344796.611,0.0
0.0007,203.77611,323438233.09225,254936.29738,1.14746,0.56426,3.56008,72.53649,43.05943,74.21582,121.98985,7502.66543,54439.21624,102901.99447,0.00043,0.00043,0.00043,0.0181,0.00993,0.03632,14367325.92834,0.0
0.0008,203.95238,323944015.72036,255334.95881,1.14316,0.56114,3.55529,72.36772,43.07519,74.30408,122.18204,7485.02154,54186.98464,102404.56339,0.00049,0.00049,0.00049,0.01804,0.00987,0.03626,14389793.10483,0.0
0.0009,204.12803,324448389.98045,255732.51016,1.13885,0.55801,3.55049,72.19869,43.09067,74.39192,122.3737,7467.3916,53936.29132,101910.53951,0.00055,0.00055,0.00055,0.01798,0.00981,0.03619,14412197.72074,0.0
0.001,204.30306,324951346.4369,256128.94399,1.13454,0.55487,3.54568,72.02939,43.10585,74.47936,122.56484,7449.77568,53687.12271,101419.88877,0.00061,0.00061,0.00061,0.01792,0.00975,0.03613,14434539.35695,0.0
0.0011,204.47748,325452875.66768,256524.25287,1.13023,0.55173,3.54086,71.85983,43.12075,74.56639,122.75544,7432.17385,53439.46539,100932.57756,0.00067,0.00067,0.00067,0.01786,0.00968,0.03607,14456817.5949,0.0
0.0012,204.65128,325952968.2646,256918.42938,1.12591,0.54858,3.53603,71.69002,43.13535,74.65301,122.9455,7414.58618,53193.30611,100448.57268,0.00074,0.00074,0.00074,0.01779,0.00962,0.03601,14479032.0167,0.0
0.0013,204.82446,326451614.83369,257311.46613,1.1216,0.54542,3.53119,71.51994,43.14967,74.73921,123.13502,7397.01272,52948.63177,99967.84139,0.0008,0.0008,0.0008,0.01773,0.00956,0.03595,14501182.20504,0.0
0.0014,204.99701,326948805.99543,257703.35571,1.11728,0.54225,3.52634,71.3496,43.1637,74.82499,123.324,7379.45355,52705.4294,99490.35135,0.00086,0.00086,0.00086,0.01767,0.0095,0.03589,14523267.7433,0.0
0.0015,205.16895,327444532.38508,258094.09075,1.11296,0.53908,3.52148,71.179,43.17743,74.91036,123.51243,7361.90873,52463.6862,99016.07065,0.00092,0.00092,0.00092,0.01761,0.00944,0.03582,14545288.21547,0.0
0.0016,205.34025,327938784.653,258483.66387,1.10864,0.5359,3.51661,71.00814,43.19088,74.99531,123.70031,7344.37833,52223.38952,98544.96777,0.00098,0.00098,0.00098,0.01755,0.00938,0.03576,14567243.20624,0.0
0.0017,205.51092,328431553.4649,258872.06772,1.10432,0.53271,3.51173,70.83703,43.20403,75.07983,123.88764,7326.86241,51984.52682,98077.01161,0.00105,0.00105,0.00105,0.01749,0.00931,0.0357,14589132.30099,0.0
0.0018,205.68097,328922829.50221,259259.29496,1.1,0.52951,3.50684,70.66565,43.21688,75.16393,124.0744,7309.36103,51747.08575,97612.17147,0.00111,0.00111,0.00111,0.01742,0.00925,0.03564,14610955.08576,0.0
0.0019,205.85038,329412603.46232,259645.33825,1.09568,0.52631,3.50194,70.49403,43.22944,75.2476,124.26061,7291.87426,51511.05405,97150.41701,0.00117,0.00117,0.00117,0.01736,0.00919,0.03558,14632711.14734,0.0
0.002,206.01915,329900866.05892,260030.19028,1.09135,0.5231,3.49703,70.32214,43.24171,75.33084,124.44624,7274.40217,51276.41964,96691.71831,0.00123,0.00123,0.00123,0.0173,0.00913,0.03551,14654400.07322,0.0
0.0021,206.18729,330387608.02227,260413.84373,1.08703,0.51989,3.49211,70.15001,43.25368,75.41366,124.63131,7256.94481,51043.17055,96236.04581,0.00129,0.00129,0.00129,0.01724,0.00907,0.03545,14676021.45163,0.0
