Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Propellant Mass(G3;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flow(G3;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Mass Flux(G3;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Regression Depth(G3;m),Web(G1;m),Web(G2;m),Web(G3;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,319.20174,407460058.07902,0,1.96403,1.93616,2.606,64.53213,0,0,0,0,0,0,0,0,0,0.01768,0.02767,0.03015,0,0
0.0001,319.28641,407667826.07301,286979.87616,1.96403,1.93616,2.606,64.37701,0.0,0.0,0.0,15835.08341,6050.99329,13375.47539,6e-05,6e-05,6e-05,0.01763,0.02761,0.03009,29128691.10114,0.0
0.0002,319.37042,407874037.9481,287125.04008,1.95822,1.93123,2.6011,64.2218,58.11046,107.39959,156.39653,15800.21603,14830.30915,48215.52104,0.00011,0.00011,0.00011,0.01757,0.02756,0.03004,29143425.35689,0.0
0.0003,319.45378,408078690.93095,287269.1066,1.9524,1.9263,2.5962,64.06652,58.16784,107.4475,156.47611,15765.43624,14802.74862,48069.4325,0.00017,0.00017,0.00017,0.01751,0.0275,0.02998,29158048.22664,0.0
0.0004,319.53648,408281782.26779,287412.0738,1.94658,1.92138,2.59129,63.91117,58.22503,107.495,156.55509,15730.74372,14775.21566,47923.86283,0.00023,0.00023,0.00023,0.01746,0.02744,0.02992,29172559.51362,0.0
0.0005,319.61853,408483309.22445,287553.93975,1.94075,1.91645,2.58638,63.75573,58.28203,107.5421,156.63348,15696.1381,14747.71031,47778.80941,0.00028,0.00028,0.00028,0.0174,0.02739,0.02987,29186959.02246,0.0
0.0006,319.69992,408683269.08648,287694.70253,1.93492,1.91152,2.58147,63.60022,58.33883,107.58879,156.71127,15661.61905,14720.23259,47634.26963,0.00034,0.00034,0.00034,0.01734,0.02733,0.02981,29201246.55923,0.0
0.0007,319.78065,408881659.15917,287834.36024,1.92908,1.9066,2.57656,63.44463,58.39545,107.63506,156.78845,15627.18622,14692.78251,47490.2409,0.0004,0.0004,0.0004,0.01728,0.02727,0.02975,29215421.93137,0.0
0.0008,319.86072,409078476.76765,287972.91102,1.92324,1.90168,2.57164,63.28897,58.45188,107.68092,156.86504,15592.83929,14665.36011,47346.72063,0.00045,0.00045,0.00045,0.01723,0.02722,0.0297,29229484.94777,0.0
0.0009,319.94014,409273719.25694,288110.35298,1.91738,1.89676,2.56672,63.13323,58.50812,107.72638,156.94102,15558.57791,14637.96541,47203.70627,0.00051,0.00051,0.00051,0.01717,0.02716,0.02964,29243435.4187,0.0
0.001,320.01889,409467383.99204,288246.68427,1.91153,1.89184,2.56179,62.97742,58.56416,107.77142,157.0164,15524.40176,14610.59842,47061.19529,0.00057,0.00057,0.00057,0.01711,0.0271,0.02958,29257273.15591,0.0
0.0011,320.09699,409659468.35795,288381.90306,1.90567,1.88692,2.55686,62.82153,58.62001,107.81604,157.09117,15490.31049,14583.25917,46919.18515,0.00063,0.00063,0.00063,0.01706,0.02704,0.02953,29270997.97255,0.0
0.0012,320.17442,409849969.75977,288516.0075,1.8998,1.882,2.55193,62.66558,58.67566,107.86025,157.16534,15456.30379,14555.94769,46777.67337,0.00068,0.00068,0.00068,0.017,0.02699,0.02947,29284609.68319,0.0
0.0013,320.25119,410038885.62277,288648.9958,1.89393,1.87708,2.547,62.50954,58.73113,107.90405,157.2389,15422.38132,14528.664,46636.65745,0.00074,0.00074,0.00074,0.01694,0.02693,0.02941,29298108.10388,0.0
0.0014,320.3273,410226213.39244,288780.86616,1.88805,1.87216,2.54206,62.35344,58.78639,107.94744,157.31185,15388.54277,14501.40811,46496.13491,0.0008,0.0008,0.0008,0.01689,0.02687,0.02936,29311493.05209,0.0
0.0015,320.40275,410411950.53454,288911.61678,1.88216,1.86725,2.53712,62.19727,58.84146,107.9904,157.38419,15354.78779,14474.18006,46356.10332,0.00085,0.00085,0.00085,0.01683,0.02682,0.0293,29324764.34673,0.0
0.0016,320.47753,410596094.5352,289041.2459,1.87627,1.86234,2.53218,62.04102,58.89634,108.03295,157.45593,15321.11609,14446.97985,46216.56024,0.00091,0.00091,0.00091,0.01677,0.02676,0.02924,29337921.8082,0.0
0.0017,320.55165,410778642.90094,289169.75177,1.87038,1.85742,2.52724,61.88471,58.95102,108.07509,157.52705,15287.52733,14419.80753,46077.50324,0.00097,0.00097,0.00097,0.01672,0.0267,0.02918,29350965.25833,0.0
0.0018,320.62511,410959593.15878,289297.13264,1.86448,1.85251,2.52229,61.72833,59.0055,108.11681,157.59756,15254.0212,14392.66311,45938.92994,0.00102,0.00102,0.00102,0.01666,0.02665,0.02913,29363894.52041,0.0
0.0019,320.6979,411138942.85625,289423.38679,1.85857,1.8476,2.51734,61.57187,59.05978,108.1581,157.66746,15220.59738,14365.5466,45800.83793,0.00108,0.00108,0.00108,0.0166,0.02659,0.02907,29376709.41921,0.0
0.002,320.77002,411316689.5615,289548.5125,1.85266,1.84269,2.51238,61.41535,59.11387,108.19898,157.73675,15187.25556,14338.45804,45663.22487,0.00114,0.00114,0.00114,0.01654,0.02653,0.02901,29389409.78098,0.0
