Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Propellant Mass(G2;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s),Mass Flux(G1;kg/(m^2*s)),Mass Flux(G2;kg/(m^2*s)),Regression Depth(G1;m),Regression Depth(G2;m),Web(G1;m),Web(G2;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,429.84261,14980425.4148,0,0.78757,1.32441,63.33099,0,0,0,0,0,0,0.01949,0.01854,0,0
0.0001,429.84453,14980542.28044,3050.07204,0.78757,1.32441,63.32588,0.0,0.0,297.15335,293.30986,0.0,0.0,0.01949,0.01854,250981.53274,0.0
0.0002,429.84645,14980659.08058,3050.09582,0.7875,1.3243,63.32077,0.63903,1.70391,297.12243,493.54422,0.0,0.0,0.01949,0.01853,250983.48959,0.0
0.0003,429.84836,14980775.81523,3050.11959,0.78744,1.3242,63.31566,0.63903,1.70392,297.09151,493.50556,0.0,0.0,0.01949,0.01853,250985.44534,0.0
0.0004,429.85028,14980892.48438,3050.14334,0.78738,1.32409,63.31055,0.63903,1.70393,297.0606,493.46691,1e-05,1e-05,0.01949,0.01853,250987.4,0.0
0.0005,429.85219,14981009.08803,3050.16708,0.78731,1.32398,63.30544,0.63904,1.70395,297.02969,493.42825,1e-05,1e-05,0.01948,0.01853,250989.35356,0.0
0.0006,429.85411,14981125.62619,3050.19081,0.78725,1.32388,63.30033,0.63904,1.70396,296.99878,493.3896,1e-05,1e-05,0.01948,0.01853,250991.30602,0.0
0.0007,429.85602,14981242.09885,3050.21453,0.78718,1.32377,63.29522,0.63905,1.70397,296.96788,493.35096,1e-05,1e-05,0.01948,0.01853,250993.25738,0.0
0.0008,429.85793,14981358.506,3050.23823,0.78712,1.32367,63.29011,0.63905,1.70399,296.93698,493.31231,1e-05,1e-05,0.01948,0.01853,250995.20765,0.0
0.0009,429.85984,14981474.84765,3050.26191,0.78706,1.32356,63.285,0.63906,1.704,296.90608,493.27367,1e-05,1e-05,0.01948,0.01852,250997.15682,0.0
0.001,429.86175,14981591.1238,3050.28559,0.78699,1.32345,63.27989,0.63906,1.70401,296.87519,493.23504,1e-05,1e-05,0.01948,0.01852,250999.10489,0.0
0.0011,429.86366,14981707.33444,3050.30925,0.78693,1.32335,63.27478,0.63906,1.70403,296.8443,493.1964,2e-05,2e-05,0.01948,0.01852,251001.05186,0.0
0.0012,429.86557,14981823.47957,3050.3329,0.78686,1.32324,63.26967,0.63907,1.70404,296.81341,493.15777,2e-05,2e-05,0.01947,0.01852,251002.99774,0.0
0.0013,429.86747,14981939.55919,3050.35653,0.7868,1.32313,63.26456,0.63907,1.70405,296.78253,493.11914,2e-05,2e-05,0.01947,0.01852,251004.94252,0.0
0.0014,429.86938,14982055.5733,3050.38015,0.78674,1.32303,63.25945,0.63908,1.70407,296.75165,493.08051,2e-05,2e-05,0.01947,0.01852,251006.8862,0.0
0.0015,429.87128,14982171.5219,3050.40376,0.78667,1.32292,63.25434,0.63908,1.70408,296.72078,493.04188,2e-05,2e-05,0.01947,0.01852,251008.82878,0.0
0.0016,429.87319,14982287.40499,3050.42735,0.78661,1.32281,63.24923,0.63909,1.70409,296.68991,493.00326,2e-05,2e-05,0.01947,0.01851,251010.77027,0.0
0.0017,429.87509,14982403.22256,3050.45093,0.78654,1.32271,63.24412,0.63909,1.70411,296.65904,492.96464,2e-05,2e-05,0.01947,0.01851,251012.71066,0.0
0.0018,429.87699,14982518.97461,3050.4745,0.78648,1.3226,63.23901,0.63909,1.70412,296.62818,492.92603,3e-05,3e-05,0.01947,0.01851,251014.64995,0.0
0.0019,429.87889,14982634.66115,3050.49805,0.78642,1.32249,63.2339,0.6391,1.70413,296.59732,492.88741,3e-05,3e-05,0.01946,0.01851,251016.58814,0.0
0.002,429.88079,14982750.28216,3050.5216,0.78635,1.32239,63.22879,0.6391,1.70415,296.56646,492.8488,3e-05,3e-05,0.01946,0.01851,251018.52524,0.0
0.0021,429.88269,14982865.83766,3050.54512,0.78629,1.32228,63.22368,0.63911,1.70416,296.53561,492.81019,3e-05,3e-05,0.01946,0.01851,251020.46123,0.0
0.0022,429.88458,14982981.32763,3050.56864,0.78623,1.32217,63.21857,0.63911,1.70417,296.50476,492.77159,3e-05,3e-05,0.01946,0.01851,251022.39613,0.0
0.0023,429.88648,14983096.75207,3050.59214,0.78616,1.32207,63.21346,0.63911,1.70419,296.47392,492.73299,3e-05,3e-05,0.01946,0.0185,251024.32994,0.0
0.0024,429.88837,14983212.11099,3050.61562,0.7861,1.32196,63.20835,0.63912,1.7042,296.44307,492.69439,3e-05,3e-05,0.01946,0.0185,251026.26264,0.0
0.0025,429.89027,14983327.40438,3050.6391,0.78603,1.32185,63.20324,0.63912,1.70421,296.41224,492.65579,4e-05,4e-05,0.01946,0.0185,251028.19425,0.0
0.0026,429.89216,14983442.63224,3050.66256,0.78597,1.32175,63.19813,0.63913,1.70423,296.3814,492.61719,4e-05,4e-05,0.01945,0.0185,251030.12476,0.0
0.0027,429.89405,14983557.79457,3050.68601,0.78591,1.32164,63.19302,0.63913,1.70424,296.35057,492.5786,4e-05,4e-05,0.01945,0.0185,251032.05417,0.0
0.0028,429.89594,14983672.89137,3050.70944,0.78584,1.32154,63.18791,0.63914,1.70425,296.31975,492.54001,4e-05,4e-05,0.01945,0.0185,251033.98248,0.0
0.0029,429.89783,14983787.92264,3050.73286,0.78578,1.32143,63.1828,0.63914,1.70426,296.28892,492.50143,4e-05,4e-05,0.01945,0.0185,251035.90969,0.0
0.003,429.89972,14983902.88837,3050.75627,0.78571,1.32132,63.17769,0.63914,1.70428,296.2581,492.46284,4e-05,4e-05,0.01945,0.01849,251037.83581,0.0
0.0031,429.9016,14984017.78856,3050.77966,0.78565,1.32122,63.17258,0.63915,1.70429,296.22729,492.42426,5e-05,5e-05,0.01945,0.01849,251039.76083,0.0
0.0032,429.90349,14984132.62322,3050.80304,0.78559,1.32111,63.16747,0.63915,1.7043,296.19648,492.38568,5e-05,5e-05,0.01945,0.01849,251041.68475,0.0
0.0033,429.90537,14984247.39233,3050.82641,0.78552,1.321,63.16236,0.63916,1.70432,296.16567,492.34711,5e-05,5e-05,0.01944,0.01849,251043.60757,0.0
0.0034,429.90726,14984362.09591,3050.84976,0.78546,1.3209,63.15724,0.63916,1.70433,296.13487,492.30854,5e-05,5e-05,0.01944,0.01849,251045.5293,0.0
0.0035,429.90914,14984476.73394,3050.8731,0.78539,1.32079,63.15213,0.63916,1.70434,296.10406,492.26997,5e-05,5e-05,0.01944,0.01849,251047.44992,0.0
0.0036,429.91102,14984591.30642,3050.89643,0.78533,1.32068,63.14702,0.63917,1.70436,296.07327,492.2314,5e-05,5e-05,0.01944,0.01848,251049.36945,0.0
0.0037,429.9129,14984705.81336,3050.91975,0.78527,1.32058,63.14191,0.63917,1.70437,296.04247,492.19283,5e-05,5e-05,0.01944,0.01848,251051.28788,0.0
0.0038,429.91478,14984820.25476,3050.94305,0.7852,1.32047,63.1368,0.63918,1.70438,296.01169,492.15427,6e-05,6e-05,0.01944,0.01848,251053.20522,0.0
0.0039,429.91666,14984934.6306,3050.96633,0.78514,1.32036,63.13169,0.63918,1.7044,295.9809,492.11571,6e-05,6e-05,0.01944,0.01848,251055.12145,0.0
0.004,429.91854,14985048.94089,3050.98961,0.78507,1.32026,63.12658,0.63919,1.70441,295.95012,492.07716,6e-05,6e-05,0.01943,0.01848,251057.03659,0.0
0.0041,429.92041,14985163.18564,3051.01287,0.78501,1.32015,63.12147,0.63919,1.70442,295.91934,492.0386,6e-05,6e-05,0.01943,0.01848,251058.95062,0.0
0.0042,429.92229,14985277.36482,3051.03611,0.78495,1.32004,63.11636,0.63919,1.70443,295.88856,492.00005,6e-05,6e-05,0.01943,0.01848,251060.86356,0.0
0.0043,429.92416,14985391.47846,3051.05935,0.78488,1.31994,63.11125,0.6392,1.70445,295.85779,491.9615,6e-05,6e-05,0.01943,0.01847,251062.7754,0.0
