Time(s),Kn,Chamber Pressure(Pa),Thrust(N),Propellant Mass(G1;kg),Volume Loading(%),Mass Flow(G1;kg/s),Mass Flux(G1;kg/(m^2*s)),Regression Depth(G1;m),Web(G1;m),Nozzle Exit Pressure(Pa),Change in Throat Diameter(m)
0,41.81088,1436729.79721,0,0.86266,72.99232,0,0,0,0.01459,0,0
0.0001,41.81279,1436834.15182,1253.4582,0.86266,72.98728,0.0,697.41595,0.0,0.01459,27693.20534,0.0
0.0002,41.8147,1436938.50696,1253.54924,0.8626,72.98224,0.59576,697.36465,0.0,0.01459,27695.21666,0.0
0.0003,41.81661,1437042.86261,1253.64028,0.86254,72.9772,0.59581,697.31336,0.0,0.01459,27697.22798,0.0
0.0004,41.81852,1437147.21878,1253.73131,0.86248,72.97215,0.59585,697.26207,0.0,0.01459,27699.23932,0.0
0.0005,41.82043,1437251.57546,1253.82235,0.86242,72.96711,0.59589,697.21079,1e-05,0.01459,27701.25067,0.0
0.0006,41.82234,1437355.93266,1253.91339,0.86236,72.96207,0.59594,697.15951,1e-05,0.01458,27703.26202,0.0
0.0007,41.82425,1437460.29037,1254.00443,0.8623,72.95703,0.59598,697.10824,1e-05,0.01458,27705.27339,0.0
0.0008,41.82615,1437564.64859,1254.09547,0.86224,72.95198,0.59602,697.05697,1e-05,0.01458,27707.28476,0.0
0.0009,41.82806,1437669.00733,1254.18651,0.86218,72.94694,0.59607,697.00571,1e-05,0.01458,27709.29615,0.0
0.001,41.82997,1437773.36657,1254.27755,0.86212,72.94189,0.59611,696.95446,1e-05,0.01458,27711.30755,0.0
0.0011,41.83188,1437877.72633,1254.36859,0.86206,72.93685,0.59615,696.90321,1e-05,0.01458,27713.31895,0.0
0.0012,41.83379,1437982.08659,1254.45963,0.862,72.9318,0.5962,696.85196,1e-05,0.01458,27715.33037,0.0
0.0013,41.8357,1438086.44736,1254.55067,0.86194,72.92676,0.59624,696.80072,2e-05,0.01458,27717.34179,0.0
0.0014,41.83761,1438190.80864,1254.64171,0.86188,72.92171,0.59628,696.74949,2e-05,0.01457,27719.35323,0.0
